"rownum","Hideout_NPCsKey","Regular_NPCsKeys","HideoutDoodadsKey","NPCMasterKey","i32","i32","i32","rid","i32","bool"
0,168,[163],1160,0,990,2565,287,125,41,""
1,169,[171],1162,1,2565,2565,112,115,41,""
2,326,"[340,325]",1163,2,2565,2565,606,117,41,""
3,338,"[24,226,337]",1159,3,2565,243,1155,11,41,""
4,333,"[328,331]",1164,4,2565,2565,68,118,41,""
5,336,[334],1165,5,2565,2565,592,126,41,""
6,130,[114],1161,6,2565,2565,91,106,41,""
7,392,"[390,391]",1166,13,2565,2565,372,130,41,""
8,396,[393],1167,14,2565,2565,660,131,41,""
9,409,[407],1168,15,2565,2565,351,105,41,""
10,501,[501],1169,21,2565,2565,1092,"",40,1
11,510,[502],1170,22,2565,2565,1093,"",40,1
12,511,[503],1171,23,2565,2565,1094,"",40,1
13,512,[504],1172,24,2565,2565,1095,"",40,1
