"rownum","string","MapStatConditionsKeys","StatsKeys","AchievementItemsKeys","MapTierAchievementsKeys","bool","WorldAreasKeys"
0,"IIQGrind",[],[1041],[],[],1,[0]
1,"TierGrind",[],[10062],[8218],[],1,[0]
2,"LeaguestoneGrind",[8],[],[],[],1,[0]
3,"Twinned",[3],[],[],[28],1,[0]
4,"RareUnid","[1,4]",[],[],[27],1,[0]
5,"Rare8Mod","[1,6]",[],[],[],1,[0]
6,"Rare8ModRed","[1,6,16]",[],[8094],[],1,[0]
7,"ShaperInfluenceGrind",[11],[],[],[],1,[0]
8,"ElderInfluenceGrind",[12],[],[],[],1,[0]
9,"ShaperElderInfluenceGrind",[13],[],[],[],1,[0]
10,"ZanaMod",[9],[],[],[],1,[0]
11,"CraftedMods",[10],[],[],[],1,[0]
12,"Corrupted",[5],[],[],[],1,[0]
13,"AnySextant",[17],[],[],[],1,[0]
14,"NemesisSextant",[18],[],[],[],1,[0]
15,"GroundHasteSextant",[19],[],[],[],1,[0]
16,"NoReflectSextant",[20],[],[],[],1,[0]
17,"ExtraTeamMonstersSextant",[21],[],[],[],1,[0]
18,"BodyguardsSextant",[22],[],[],[],1,[0]
19,"BarrelSextant","[23,24,25,26,27,28]",[],[],[],"",[0]
20,"ConvertOnDeathSextant",[29],[],[],[],1,[0]
21,"OnslaughtIfHitRecentlySextant",[30],[],[],[],1,[0]
22,"QualityAffectsRaritySextant",[31],[],[],[],1,[0]
23,"CorruptedDropsSextant",[32],[],[],[],1,[0]
24,"MinStrongboxRaritySextant",[33],[],[],[],1,[0]
25,"PossessedRustedScarabSextant",[34],[],[],[],1,[0]
26,"PossessedPolishedScarabSextant",[35],[],[],[],1,[0]
27,"PossessedGildedScarabSextant",[36],[],[],[],1,[0]
28,"PossessedUniqueDropSextant",[38],[],[],[],1,[0]
29,"PossessedMapDropSextant",[39],[],[],[],1,[0]
30,"ShrineDurationSextant",[40],[],[],[],1,[0]
31,"CurrencyShardSextant",[41],[],[],[],1,[0]
32,"VaalMonstersSextant",[42],[],[],[],1,[0]
33,"BeyondSextant",[43],[],[],[],1,[0]
34,"TormentBetrayersSextant",[44],[],[],[],1,[0]
35,"TormentHereticsSextant",[45],[],[],[],1,[0]
36,"TormentGraverobbersSextant",[46],[],[],[],1,[0]
37,"CorruptEssenceSextant",[47],[],[],[],1,[0]
38,"LegionSextant","[17,49]",[],[],[],1,[0]
39,"Tempest",[48],[],[],[],1,[0]
40,"Total10Mods",[7],[],[1023],[],1,[0]
41,"HasQuality",[50],[],[],[],1,[0]
42,"RareDeliriumMap","[1,51]",[],[],[],1,[0]
43,"RareDeliriumMapMaxDelirium","[1,52]",[],[7101],[],1,[0]
44,"TwinnedMapMaxDelirium","[3,52]",[],[],[],1,[0]
45,"RareMapAwakening8MaxDelirium","[1,53,52]",[],[],[],1,[0]
46,"ElderGuardianMapMaxDelirium","[54,52]",[],[],[],1,[0]
47,"RareBlightedMap","[1,55]",[],[],[],1,[0]
48,"UniqueMap_HallOfGrandmasters",[],[],[4219],[],1,"[1185,993,858,782]"
49,"UniqueMap_WhakawairuaTuahu",[],[],[8168],[],1,"[1098,962,871,793]"
50,"UniqueMap_VinktarSquare",[],[],[8169],[],1,"[1152,1001,910]"
51,"UniqueMap_VaultsOfAtziri",[],[],[8159],[],1,"[1148,938,845,768]"
52,"UniqueMap_PutridCloister",[],[],[8171],[],1,"[1171,940]"
53,"UniqueMap_PoorjoysAsylum",[],[],[8163],[],1,"[1168,997,868,790]"
54,"UniqueMap_PerandusManor",[],[],[8175],[],1,"[1100,1009,899]"
55,"UniqueMap_OlmecsSanctum",[],[],[8166],[],1,"[1138,969,876,809]"
56,"UniqueMap_ObasCursedTrove",[],[],[8165],[],1,"[1204,1013,878,798]"
57,"UniqueMap_MaoKun",[],[],[8164],[],1,"[1155,995,847,770]"
58,"UniqueMap_MaelstromOfChaos",[],[],[8160],[],1,"[1126,980,838,761]"
59,"UniqueMap_HallowedGround",[],[],[8172],[],1,"[1128,922]"
60,"UniqueMap_DeathAndTaxes",[],[],[8167],[],1,"[1206,1019,894,813]"
61,"UniqueMap_CowardsTrial",[],[],[8161],[],1,"[1182,987,826,748]"
62,"UniqueMap_CaerBlaidd",[],[],[8170],[],1,"[1140,1006,861]"
63,"UniqueMap_ActonsNightmare",[],[],[8162],[],1,"[1199,991,853,777]"
64,"UniqueMap_DoryanisMachinarium",[],[],[8176],[],1,[1110]
65,"UniqueMap_TwilightTemple",[],[],[8173],[],1,[1160]
66,"UniqueMap_PillarsOfArun",[],[],[8174],[],1,[1136]
67,"VaalTemple",[],[],[],[],1,"[1234,1049,917,824]"
68,"TwinnedCaldera",[3],[],[],[],1,"[1208,1039,920]"
69,"TwinnedColosseum",[3],[],[],[],1,"[1217,1040,921]"
70,"TwinnedCore",[3],[],[],[],1,"[1216,1041,919]"
71,"TwinnedMalformation",[3],[],[],[],1,"[1211,1002,892]"
72,"TwinnedMaze",[3],[],[],[],1,"[1109,1033,916,808]"
73,"TwinnedMuseum",[3],[],[],[],1,"[1170,988,850,773]"
74,"TwinnedNecropolis",[3],[],[],[],1,"[1205,1018,893,812]"
75,"TwinnedPalace",[3],[],[],[],1,"[1223,1035,913,822]"
76,"TwinnedPark",[3],[],[],[],1,[1210]
77,"TwinnedPhantasmagoria",[3],[],[],[],1,"[1120,944,859]"
78,"TwinnedPlaza",[3],[],[],[],1,"[1221,1029,918]"
79,"TwinnedScriptorium",[3],[],[],[],1,"[1172,1030]"
80,"TwinnedShrine",[3],[],[],[],1,"[1213,1036,914,820]"
81,"TwinnedTortureChamber",[3],[],[],[],1,"[1203,1012,877,797]"
82,"TwinnedWasteland",[3],[],[],[],1,"[1177,1015,908]"
83,"TwinnedAcademy",[3],[],[],[],1,"[1121,939,902,818]"
84,"TwinnedCarcass",[3],[],[],[],1,[1228]
85,"TwinnedTribunal",[3],[],[],[],1,[1130]
86,"TwinnedBoneCrypt",[3],[],[],[],1,"[1137,968,875,774]"
87,"TwinnedSepulchre",[3],[],[],[],1,[1161]
88,"TwinnedLair",[3],[],[],[],1,"[1186,1025]"
89,"TwinnedOvergrownShrine",[3],[],[],[],1,"[1198,990,852,776]"
90,"TwinnedArsenal",[3],[],[],[],1,"[1214,999,907,758]"
91,"TwinnedAcidLakes",[3],[],[],[],1,"[1218,941]"
92,"TwinnedCrimsonTemple",[3],[],[],[],1,[1220]
93,"TwinnedLookout",[3],[],[],[],1,[1074]
94,"TwinnedStrand",[3],[],[],[],1,"[1097,961,870,792]"
95,"TwinnedSpiderLair",[3],[],[],[],1,"[1115,954,843,766]"
96,"TwinnedJungleValley",[3],[],[],[],1,"[1119,926,881,801]"
97,"TwinnedVaalPyramid",[3],[],[],[],1,"[1147,937,844,767]"
98,"TwinnedOrchard",[3],[],[],[],1,"[1183,989,887,756]"
99,"TwinnedSpiderForest",[3],[],[],[],1,"[1189,960,856,780]"
100,"TwinnedFactory",[3],[],[],[],1,"[1192,928]"
101,"TwinnedMesa",[3],[],[],[],1,"[1193,950]"
