"rownum","NPCsKey","MonsterVarietiesKey","SkillLevel_HeistJobsKeys","PortraitFile","HeistNPCStatsKeys","StatValues","f32","SkillLevel_Values","Name","i32","i32","i32","i32","i32","i32","[f32]","string","[rid]","rid","[rid]","string","rid"
0,457,7745,"[0,2,6]","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/KarstCharacterPortrait",[112],[-15],1.1,"[5,3,2]","Karst, the Lockpick",280,0,1155,0,-16843010,-16843010,[-5],"/2DArt/UIImages/InGame/Heist/ActiveNPCs/KarstIcon",[],0,[7325],"Metadata/NPC/League/Heist/Karst/Karst.ao",45
1,458,7746,"[4,7]","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/NilesCharacterPortrait","[57,106]","[1,1]",1.2,"[5,4]","Niles, the Interrogator",926,0,742,50,2,0,"[0,0]","㈀䐀䄀爀琀⼀唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀䠀攀椀猀琀⼀䄀挀琀椀瘀攀一倀䌀猀⼀䬀愀爀猀琀䤀挀漀渀",[],4,[7326],"Metadata/NPC/League/Heist/Niles/Niles.ao",46
2,459,7747,"[0,1,3,8]","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/HuckCharacterPortrait","[107,133]","[1,5]",0.7,"[3,3,3,3]","Huck, the Soldier",1602,0,739,50,0,0,"[0,5]","2DArt/UIImages/InGame/Heist/ActiveNPCs/KarstIcon",[],"",[7327],"Metadata/NPC/League/Heist/Huck/Huck.ao",47
3,460,7748,"[1,3]","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/TibbsCharacterPortrait",[58],[1],0.9,"[5,4]","Tibbs, the Giant",2202,0,1155,0,-16843010,-16843010,[0.2],"䐀䄀爀琀⼀唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀䠀攀椀猀琀⼀䄀挀琀椀瘀攀一倀䌀猀⼀䬀愀爀猀琀䤀挀漀渀",[],1,[7328],"Metadata/NPC/League/Heist/Tibbs/Tibbs.ao",48
4,461,7750,"[2,4]","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/NenetCharacterPortrait","[108,113]","[1,-5]",1,"[5,4]","Nenet, the Scout",2826,0,741,50,6,0,"[0,-3]","DArt/UIImages/InGame/Heist/ActiveNPCs/KarstIcon",[],2,[7329],"Metadata/NPC/League/Heist/Nenet/Nenet.ao",49
5,462,7751,"[3,5,8]","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/VinderiCharacterPortrait","[114,56]","[10,4]",1.2,"[5,5,2]","Vinderi, the Dismantler",3500,0,743,50,1,0,"[4,2]","䄀爀琀⼀唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀䠀攀椀猀琀⼀䄀挀琀椀瘀攀一倀䌀猀⼀䬀愀爀猀琀䤀挀漀渀",[],3,[7330],"Metadata/NPC/League/Heist/Vinderi/Vinderi.ao",50
6,463,7752,"[6,0,5]","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/TullinaCharacterPortrait","[109,115]","[6,-4]",0.9,"[5,3,2]","Tullina, the Catburglar",4178,0,740,50,3,0,"[4,-2]","Art/UIImages/InGame/Heist/ActiveNPCs/KarstIcon",[],6,[7331],"Metadata/NPC/League/Heist/Tullina/Tullina.ao",51
7,464,7753,"[7,2,4]","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/GiannaCharacterPortrait","[106,110]","[1,-5]",1.1,"[5,2,3]","Gianna, the Master of Disguise",4872,0,744,50,5,0,"[0,-5]","爀琀⼀唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀䠀攀椀猀琀⼀䄀挀琀椀瘀攀一倀䌀猀⼀䬀愀爀猀琀䤀挀漀渀",[],7,[7332],"Metadata/NPC/League/Heist/Gianna/Gianna.ao",52
8,465,7755,"[8,5]","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/IslaCharacterPortrait","[16,116]","[25,25]",1,"[5,4]","Isla, the Engineer",5510,0,1155,0,-16843010,-16843010,"[5,5]","rt/UIImages/InGame/Heist/ActiveNPCs/KarstIcon",[],8,[7333],"Metadata/NPC/League/Heist/Isla/Isla.ao",53
9,455,7757,[2],"Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/AdiyahCharacterPortrait",[],[],1,[5],"Adiyah, the Wayfinder",6090,0,1155,0,-16843010,-16843010,[],"⼀䤀渀䜀愀洀攀⼀䠀攀椀猀琀⼀䄀挀琀椀瘀攀一倀䌀猀⼀䬀愀爀猀琀䤀挀漀渀",[],2,[],"Metadata/NPC/League/Heist/Adiyah/Adiyah.ao",""
10,453,7758,[0],"Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/KuraCharacterPortrait",[],[],1,[5],"Kurai, the Administrator",6660,0,1155,0,-16843010,-16843010,[],"/InGame/Heist/ActiveNPCs/KarstIcon",[],0,[],"Metadata/NPC/League/Heist/Kura/Kura.ao",""
