"rownum","Id","i32","MinLevel","MaxLevel","MonsterPacksKeys","i32","[i32]","i32"
0,"PerandusEarlyPack1",2,2,10,[1011],2,[3],113
1,"PerandusEarlyPack2",2,2,10,[1012],2,[3],114
2,"PerandusEarlyPack3",3,2,13,[1013],2,[3],115
3,"PerandusEarlyPackBig",6,4,25,"[1012,1011]",3,"[2,2]",114
4,"PerandusMidPack1",8,8,26,[997],6,[5],120
5,"PerandusMidPack2",8,14,26,[994],8,[5],117
6,"PerandusMidPack3",8,14,26,[999],8,[5],122
7,"PerandusMidPack4",6,14,26,[996],8,[5],119
8,"PerandusMidPack5",6,16,26,[998],10,[6],121
9,"PerandusMidPack6",8,16,26,[995],10,[6],118
10,"PerandusLatePack1",6,26,26,"[996,1011]",8,"[5,3]",119
11,"PerandusLatePack2",6,26,26,"[998,1012]",8,"[5,3]",121
12,"PerandusMidExPack1",8,22,100,"[997,1000]",8,"[5,3]",120
13,"PerandusMidExPack2",8,22,100,"[994,1001]",8,"[5,3]",117
14,"PerandusMidExPack3",8,22,100,"[999,1002]",8,"[5,3]",122
15,"PerandusMidExPack4",6,22,100,"[996,1003]",8,"[5,3]",119
16,"PerandusMidExPack5",6,22,100,"[998,1001]",8,"[5,3]",121
17,"PerandusMidExPack6",8,22,100,"[995,1002]",8,"[5,3]",118
18,"PerandusLargePack1",10,38,100,[1004],10,[8],116
19,"PerandusLargePack2",10,38,100,[1005],10,[8],117
20,"PerandusLargePack3",10,38,100,[1006],10,[8],118
21,"PerandusLargePack4",10,38,100,[1007],10,[8],119
22,"PerandusLargePack5",10,38,100,[1008],10,[8],120
23,"PerandusLargePack6",10,38,100,"[1009,1003]",8,"[8,3]",121
24,"PerandusLargePack7",10,38,100,"[1010,1000]",8,"[8,3]",122
25,"PerandusMiscSmallPack2",0,0,100,[1001],10,[6],0
