"rownum","Id","Text","BackgroundImage","i32","f32","f32","string","string","ForegroundImage","OGGFile","i32"
0,"LegionMapDeviceAward","You have unlocked an additional item slot on the Map Device","Art/2DArt/UIImages/InGame/GenericRewardBackground",6,3,2,"","","Art/2DArt/UIImages/InGame/GenericRewardMapDevice5","Audio/Sound Effects/UI/Atlas/Upgrade.ogg",2565
1,"AtlasMissionZana","Atlas Mission from Zana Received","Art/2DArt/UIImages/InGame/AtlasMissionNotificationZana",1155,3,2,"","","","Audio/Sound Effects/UI/Atlas/Receive.ogg",2565
2,"AtlasMissionAlva","Atlas Mission from Alva Received","Art/2DArt/UIImages/InGame/AtlasMissionNotificationAlva",1155,3,2,"","","","Audio/Sound Effects/UI/Atlas/Receive.ogg",2565
3,"AtlasMissionNiko","Atlas Mission from Niko Received","Art/2DArt/UIImages/InGame/AtlasMissionNotificationNiko",1155,3,2,"","","","Audio/Sound Effects/UI/Atlas/Receive.ogg",2565
4,"AtlasMissionEinhar","Atlas Mission from Einhar Received","Art/2DArt/UIImages/InGame/AtlasMissionNotificationEinhar",1155,3,2,"","","","Audio/Sound Effects/UI/Atlas/Receive.ogg",2565
5,"AtlasMissionJun","Atlas Mission from Jun Received","Art/2DArt/UIImages/InGame/AtlasMissionNotificationJun",1155,3,2,"","","","Audio/Sound Effects/UI/Atlas/Receive.ogg",2565
6,"AtlasCitadelOutsideTopLeft","Haewark Hamlet\nAtlas Citadel Unlocked","Art/2DArt/UIImages/InGame/GenericRewardBackground",399,3,2,"","","Art/2DArt/UIImages/InGame/CitadelAwardDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2565
7,"AtlasCitadelInsideTopLeft","Tirn's End\nAtlas Citadel Unlocked","Art/2DArt/UIImages/InGame/GenericRewardBackground",400,3,2,"","","Art/2DArt/UIImages/InGame/CitadelAwardDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2565
8,"AtlasCitadelInsideTopRight","Lex Proxima\nAtlas Citadel Unlocked","Art/2DArt/UIImages/InGame/GenericRewardBackground",401,3,2,"","","Art/2DArt/UIImages/InGame/CitadelAwardDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2565
9,"AtlasCitadelOutsideTopRight","Lex Ejoris\nAtlas Citadel Unlocked","Art/2DArt/UIImages/InGame/GenericRewardBackground",402,3,2,"","","Art/2DArt/UIImages/InGame/CitadelAwardDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2565
10,"AtlasCitadelOutsideBottomLeft","New Vastir\nAtlas Citadel Unlocked","Art/2DArt/UIImages/InGame/GenericRewardBackground",403,3,2,"","","Art/2DArt/UIImages/InGame/CitadelAwardDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2565
11,"AtlasCitadelInsideBottomLeft","Glennach Cairns\nAtlas Citadel Unlocked","Art/2DArt/UIImages/InGame/GenericRewardBackground",404,3,2,"","","Art/2DArt/UIImages/InGame/CitadelAwardDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2565
12,"AtlasCitadelInsideBottomRight","Valdo's Rest\nAtlas Citadel Unlocked","Art/2DArt/UIImages/InGame/GenericRewardBackground",405,3,2,"","","Art/2DArt/UIImages/InGame/CitadelAwardDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2565
13,"AtlasCitadelOutsideBottomRight","Lira Arthain\nAtlas Citadel Unlocked","Art/2DArt/UIImages/InGame/GenericRewardBackground",406,3,2,"","","Art/2DArt/UIImages/InGame/CitadelAwardDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2565
14,"FavouredMapSlotUnlockedOutsideTopLeft","Haewark Hamlet\nFavoured Map Slot Unlocked","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",1155,3,2,"","","Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2565
15,"FavouredMapSlotUnlockedInsideTopLeft","Tirn's End\nFavoured Map Slot Unlocked","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",1155,3,2,"","","Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2565
16,"FavouredMapSlotUnlockedInsideTopRight","Lex Proxima\nFavoured Map Slot Unlocked","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",1155,3,2,"","","Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2565
17,"FavouredMapSlotUnlockedOutsideTopRight","Lex Ejoris\nFavoured Map Slot Unlocked","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",1155,3,2,"","","Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2565
18,"FavouredMapSlotUnlockedOutsideBottomLeft","New Vastir\nFavoured Map Slot Unlocked","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",1155,3,2,"","","Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2565
19,"FavouredMapSlotUnlockedInsideBottomLeft","Glennach Cairns\nFavoured Map Slot Unlocked","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",1155,3,2,"","","Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2565
20,"FavouredMapSlotUnlockedInsideBottomRight","Valdo's Rest\nFavoured Map Slot Unlocked","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",1155,3,2,"","","Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2565
21,"FavouredMapSlotUnlockedOutsideBottomRight","Lira Arthain\nFavoured Map Slot Unlocked","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",1155,3,2,"","","Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2565
22,"HarvestCraftingBenchUnlocked","Horticrafting Station decoration now available in your Hideout","Art/2DArt/UIImages/InGame/GenericRewardBackground",1155,3,2,"","","Art/2DArt/UIImages/InGame/HorticraftingDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2565
23,"HarvestSeedStashUnlocked","Seed Stockpile decoration now available in your Hideout","Art/2DArt/UIImages/InGame/GenericRewardBackground",1155,3,2,"","","Art/2DArt/UIImages/InGame/SeedStashDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2565
24,"HeistStashUnlocked","Heist Locker decoration now available in your Hideout","Art/2DArt/UIImages/InGame/GenericRewardBackground",1155,3,2,"","","Art/2DArt/UIImages/InGame/HeistStashDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2565
25,"ExpeditionStashUnlocked","Expedition Locker decoration now available in your Hideout","Art/2DArt/UIImages/InGame/GenericRewardBackground",1155,3,2,"","","Art/2DArt/UIImages/InGame/ExpeditionStashDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2565
