"rownum","InfluenceMod","UpgradedMod"
0,13495,22991
1,13496,22992
2,13497,13498
3,13498,22993
4,13499,13500
5,13500,22994
6,13501,13502
7,13502,22995
8,13503,22996
9,13505,22997
10,13507,13508
11,13508,22998
12,13509,13510
13,13510,22999
14,13511,23000
15,13512,13513
16,13513,23001
17,13514,13515
18,13515,23002
19,13516,13517
20,13517,23003
21,13518,13519
22,13519,23004
23,13520,13521
24,13521,23005
25,13522,13523
26,13523,23006
27,13524,13525
28,13525,23007
29,13526,13527
30,13527,23008
31,13528,13529
32,13529,23009
33,13530,13531
34,13531,23010
35,19241,19242
36,19242,23011
37,19315,19316
38,19316,23012
39,19317,23013
40,19321,19322
41,19322,23016
42,19323,23017
43,19324,19325
44,19325,23018
45,19326,19327
46,19327,23019
47,19328,19329
48,19329,23020
49,19330,23021
50,19331,23022
51,19332,19333
52,19333,19334
53,19334,23023
54,19335,19336
55,19336,23024
56,19337,23025
57,19338,19339
58,19339,23026
59,19340,19341
60,19341,23027
61,19342,23028
62,19343,19344
63,19344,23029
64,19345,23030
65,19346,23031
66,19347,23032
67,19348,19349
68,19349,23033
69,19350,23034
70,19351,19352
71,19352,23035
72,19353,19354
73,19354,23036
74,19355,19356
75,19356,23037
76,19357,19358
77,19358,23038
78,19359,19360
79,19360,23039
80,19361,23040
81,19362,23041
82,19363,19364
83,19364,23042
84,19365,19366
85,19366,23043
86,19367,19368
87,19368,23044
88,19369,19370
89,19370,23045
90,13428,13429
91,13429,13430
92,13430,23046
93,13431,13432
94,13432,13433
95,13433,23047
96,13434,13435
97,13435,23048
98,13436,13437
99,13437,13438
100,13438,23049
101,13439,13440
102,13440,13441
103,13441,23050
104,13445,13446
105,13446,13447
106,13447,23052
107,13448,13449
108,13449,13450
109,13450,23053
110,13451,13452
111,13452,13453
112,13453,23054
113,13454,13455
114,13455,13456
115,13456,23055
116,13457,13458
117,13458,13459
118,13459,23056
119,13460,13461
120,13461,13462
121,13462,23057
122,13463,13464
123,13464,23058
124,13465,23059
125,13466,13467
126,13467,13468
127,13468,23060
128,13469,13470
129,13470,13471
130,13471,23061
131,13472,13473
132,13473,13474
133,13474,23062
134,13475,13476
135,13476,13477
136,13477,23063
137,13478,13479
138,13479,13480
139,13480,23064
140,13481,13482
141,13482,23065
142,13483,13484
143,13484,23066
144,13485,13486
145,13486,23067
146,13487,13488
147,13488,13489
148,13489,23068
149,13490,13491
150,13491,13492
151,13492,23069
152,13493,23070
153,13494,23071
154,19134,19135
155,19135,23072
156,19239,19240
157,19240,23073
158,19243,19244
159,19244,23074
160,19245,23075
161,19246,19247
162,19247,23076
163,19248,19249
164,19249,23077
165,19250,23078
166,19251,19252
167,19252,19253
168,19253,23079
169,19254,19255
170,19255,19256
171,19256,23080
172,19257,19258
173,19258,19259
174,19259,23081
175,19260,23082
176,19261,19262
177,19262,23083
178,19263,19264
179,19264,19265
180,19265,23084
181,19266,19267
182,19267,23085
183,19268,23086
184,19269,19270
185,19270,19271
186,19271,23087
187,19272,19273
188,19273,23088
189,19274,23089
190,19275,19276
191,19276,19277
192,19277,23090
193,19278,19279
194,19279,23091
195,19280,19281
196,19281,23092
197,19282,23093
198,19283,23094
199,19284,19285
200,19285,23095
201,19286,19287
202,19287,23096
203,19288,19289
204,19289,23097
205,19290,19291
206,19291,23098
207,19292,19293
208,19293,23099
209,19294,19295
210,19295,19296
211,19296,23100
212,19297,19298
213,19298,19299
214,19299,23101
215,19300,19301
216,19301,19302
217,19302,23102
218,19303,19304
219,19304,19305
220,19305,23103
221,19306,19307
222,19307,19308
223,19308,23104
224,19309,23105
225,19310,19311
226,19311,23106
227,19312,23107
228,19313,23108
229,19314,23109
230,13366,13367
231,13367,13368
232,13368,23110
233,13369,13370
234,13370,13371
235,13371,23111
236,13372,13373
237,13373,13374
238,13374,23112
239,13375,23113
240,13376,13377
241,13377,13378
242,13378,23114
243,13379,13380
244,13380,13381
245,13381,23115
246,13382,13383
247,13383,13384
248,13384,23116
249,13385,23117
250,13389,13390
251,13390,13391
252,13391,23119
253,13392,13393
254,13393,13394
255,13394,23120
256,13395,13396
257,13396,13397
258,13397,23121
259,13398,13399
260,13399,13400
261,13400,23122
262,13401,13402
263,13402,13403
264,13403,23123
265,13404,13405
266,13405,13406
267,13406,23124
268,13407,13408
269,13408,13409
270,13409,23125
271,13410,13411
272,13411,23126
273,13414,13415
274,13415,13416
275,13416,23127
276,13417,13418
277,13418,23128
278,13419,13420
279,13420,13421
280,13421,23129
281,13422,13423
282,13423,13424
283,13424,23130
284,13425,13426
285,13426,13427
286,13427,23131
287,16702,16703
288,16703,23132
289,16716,16717
290,16717,23133
291,16731,16732
292,16732,23134
293,16747,16748
294,16748,23135
295,19125,19126
296,19126,19127
297,19127,23136
298,19170,19171
299,19171,23137
300,19172,19173
301,19173,23138
302,19174,19175
303,19175,23139
304,19176,19177
305,19177,23140
306,19178,23141
307,19179,23142
308,19180,19181
309,19181,19182
310,19182,23143
311,19183,19184
312,19184,19185
313,19185,23144
314,19186,23145
315,19187,19188
316,19188,19189
317,19189,23146
318,19190,19191
319,19191,19192
320,19192,23147
321,19193,19194
322,19194,19195
323,19195,23148
324,19196,19197
325,19197,19198
326,19198,23149
327,19199,23150
328,19200,19201
329,19201,23151
330,19202,23152
331,19203,19204
332,19204,23153
333,19205,19206
334,19206,23154
335,19207,19208
336,19208,23155
337,19209,19210
338,19210,23156
339,19211,19212
340,19212,23157
341,19213,19214
342,19214,19215
343,19215,23158
344,19216,19217
345,19217,23159
346,19218,19219
347,19219,23160
348,19220,23161
349,19221,23162
350,19222,23163
351,19223,23164
352,19224,19225
353,19225,23165
354,19227,19228
355,19228,23166
356,19229,19230
357,19230,23167
358,19231,19232
359,19232,23168
360,19233,19234
361,19234,23169
362,19235,19236
363,19236,23170
364,19237,19238
365,19238,23171
366,19448,23172
367,13328,23173
368,13329,23174
369,13330,23175
370,13331,23176
371,13332,23177
372,13333,23178
373,13334,23179
374,13335,13336
375,13336,13337
376,13337,23180
377,13338,13339
378,13339,13340
379,13340,23181
380,13341,13342
381,13342,13343
382,13343,23182
383,13344,13345
