"rownum","string","[string]","i32"
0,"steelskin_hit","[""欀椀渀开栀椀琀""]",0
1,"steelskin_hit","[""开眀攀愀瀀漀渀开爀椀最栀琀""]",1
2,"steelskin_hit","[""kin_hit""]",2
3,"steelskin_fadeout","[""攀氀猀欀椀渀开栀椀琀""]",0
4,"steelskin_fadeout","[""_weapon_right""]",1
5,"steelskin_fadeout","[""elskin_hit""]",2
6,"divine_cry_weapon_left","[""椀渀开猀琀爀椀欀攀开搀愀猀栀""]",0
7,"divine_cry_weapon_right","[""ain_strike_dash""]",0
8,"chain_strike_dash","[""teelskin_hit""]",0
9,"chain_strike_dash","[""渀开猀琀爀椀欀攀开搀愀猀栀""]",1
10,"chain_strike_hit","[""攀攀氀猀欀椀渀开栀椀琀""]",0
11,"chain_strike_hit","[""n_strike_dash""]",1
12,"arcane_cloak_block","[""""]",0
13,"arcane_cloak_block","[""开猀琀爀椀欀攀开搀愀猀栀""]",1
14,"arcane_cloak_fade_out","[""""]",0
15,"arcane_cloak_fade_out","[""_strike_dash""]",1
16,"igniting_flask_in_hand","[""猀琀爀椀欀攀开搀愀猀栀""]",0
17,"igniting_flask_in_hand_scion_pls","[""strike_dash""]",0
18,"weapon_trap_weapon","[""rike_dash""]",0
19,"ambush_teleport_in","[""e_dash""]",0
20,"ambush_teleport_out","[""开搀愀猀栀""]",0
21,"rage_slash_weapon","[""_dash""]",0
22,"soulfeast_hand_surge","[""搀愀猀栀""]",0
23,"lightning_strike_proj_hit","[""dash""]",0
24,"lightning_strike_proj_hit","[""dash""]",1
25,"lightning_strike_proj_hit","[""dash""]",2
26,"lightning_strike_vaal_blade","[""ash""]",0
27,"lightning_strike_vaal_blade","[""ash""]",1
28,"lightning_strike_vaal_blade","[""ash""]",2
29,"burning_arrow_stuck_fade","[""""]",0
30,"burning_arrow_stuck_fade","[""栀""]",1
31,"dash_afterimage","[""""]",0
32,"dash_char","[""ÿ""]",0
33,"dash_afterimage","[""""]",1
34,"dash_char","[""""]",1
35,"dash_afterimage","[""""]",2
36,"dash_char","[""""]",2
37,"dash_afterimage","[""""]",3
38,"dash_char","[""""]",3
39,"dash_afterimage","[""""]",4
40,"dash_char","[""""]",4
41,"dash_afterimage","[""""]",5
42,"dash_char","[""h""]",5
