"rownum","string","[rid]","bool","i32","[rid]","bool","i32","rid","bool","rid","i32","bool","[rid]","i32","rid","rid"
0,"IsNormal",[],"",1,[],"",1,0,"","",0,"",[],1,"",""
1,"IsMagic",[],"",1,[],"",1,1,"","",0,"",[],1,"",""
2,"IsRare",[],"",1,[],"",1,2,"","",0,"",[],1,"",""
3,"IsUnique",[],"",1,[],"",1,3,"","",0,"",[],1,"",""
4,"IsHarbinger",[],"",1,[6456],"",1,"","","",0,"",[],1,"",""
5,"IsRogueExile",[],"",1,[8921],"",1,"","","",0,"",[],1,"",""
6,"IsInvasionBoss",[],"",1,[3549],"",1,"","","",0,"",[],1,"",""
7,"IsMapBoss",[],"",1,[891],"",0,"",1,"",0,"",[],1,"",""
8,"RhoaFullyEnraged",[754],"",3,[],"",1,"","","",0,"",[],1,"",""
9,"HasSoulEaterX30",[268],"",30,[],"",1,"","","",0,"",[],1,"",""
10,"HasNoLightningShield",[772],"",0,[],"",1,"","","",0,"",[],1,"",""
11,"Has4Totems",[],"",1,[3412],"",4,"","","",0,"",[],1,"",""
12,"HasDuetEnrage",[450],"",1,[],"",1,"","","",0,"",[],1,"",""
13,"IsPossessed",[],"",1,[2634],"",1,"","","",0,"",[],1,"",""
14,"IsTouchedByTormentSpirit",[],"",1,[],"",1,"","",8117,0,"",[],1,"",""
15,"IsBeyondBoss",[],"",1,[5739],"",1,"","","",0,"",[],1,"",""
16,"IsBreachMonster",[],"",1,[5172],"",1,"","","",0,"",[],1,"",""
17,"HasOnslaught",[],"",1,[4455],"",1,"","","",0,"",[],1,"",""
18,"IsPossessedByBootlegger",[],"",1,[2634],"",1,"","",8020,0,"",[],1,"",""
19,"IsPossessedByBuccaneer",[],"",1,[2634],"",1,"","",8023,0,"",[],1,"",""
20,"IsCursed",[],"",1,[720],"",1,"","","",0,"",[],1,"",""
21,"HasEssence",[],"",1,[],"",1,"","","",1,"",[],1,"",""
22,"HasEssenceX3",[],"",1,[],"",1,"","","",3,"",[],1,"",""
23,"HasEssenceX5",[],"",1,[],"",1,"","","",5,"",[],1,"",""
24,"HasTalisman",[],"",1,[],"",1,"","","",0,1,[],1,"",""
25,"IsPantingOrDancing",[],"",1,[],"",1,"","","",0,"","[90,70]",1,"",""
26,"HasIceTotemsX4",[],"",1,[],"",1,"","","",0,"",[],1,"",""
27,"HasIceMinionsX10",[],"",1,[],"",1,"","","",0,"",[],1,"",""
28,"HasBloodRavensX3",[],"",1,[],"",1,"","","",0,"",[],1,"",""
29,"HasFireSkelliesX10",[],"",1,[],"",1,"","","",0,"",[],1,"",""
30,"IsEnraged",[669],"",1,[],"",1,"","","",0,"",[],1,"",""
31,"IsScreeching",[],"",1,[],"",1,"","","",0,"",[],1,935,""
32,"HasHotdogsX10",[],"",1,[],"",1,"","","",0,"",[],10,"",741
33,"IsOnFullEnergyShield",[],"",1,[2390],"",1,"","","",0,"",[],1,"",""
34,"IsInAfflictionMist",[],"",1,[11022],"",1,"","","",0,"",[],1,"",""
35,"IsBleeding",[],"",1,[2044],"",1,"","","",0,"",[],1,"",""
36,"HasImmortalCall",[],"",1,[717],"",1,"","","",0,"",[],1,"",""
37,"CastingScorchingRay",[],"",1,[],"",1,"","","",0,"",[],1,680,""
38,"IsMavenBuffed",[],"",1,[],"",1,"","",23235,0,"",[],1,"",""
39,"IsUsingWolfBarrage",[],"",1,[],"",1,"","","",0,"",[],1,591,""
40,"IsTaunted",[],"",1,[3433],"",1,"","","",0,"",[],1,"",""
41,"HasMoltenShell",[111],"",1,[],"",1,"","","",0,"",[],1,"",""
42,"ThicketBossIsChannellingSunder",[],"",1,[],"",1,"","","",0,"",[47],1,"",""
43,"HasVolatileSurge",[772],"",1,[],"",1,"","","",0,"",[],1,"",""
