"rownum","BaseItemTypesKey","SpawnWeight","Cost","MinDepth","IsEnabled"
0,272,100,300,0,1
1,273,100,750,0,1
2,274,100,3750,0,1
3,268,100,200,0,1
4,269,100,500,0,1
5,270,100,2500,0,1
6,235,100,1000,0,""
7,236,100,1000,0,""
8,237,100,1000,0,""
9,238,100,1000,0,""
10,239,100,1000,0,""
11,240,100,1000,0,""
12,241,100,1000,0,""
13,242,40,10000,19,""
14,243,40,10000,19,""
15,244,40,10000,19,""
16,245,40,10000,19,""
17,246,40,10000,19,""
18,247,40,10000,19,""
19,248,40,10000,19,""
20,249,40,10000,19,""
21,250,40,10000,19,""
22,251,10,100000,35,""
23,252,10,1000000,75,""
24,253,10,1000000,75,""
25,254,10,1000000,75,""
26,255,10,1000000,75,""
27,256,10,1000000,75,""
28,257,10,1000000,75,""
29,258,10,100000,35,""
30,259,10,100000,35,""
