"rownum","Level","Favour"
0,1,259
1,2,287
2,3,317
3,4,349
4,5,382
5,6,418
6,7,455
7,8,494
8,9,536
9,10,579
10,11,624
11,12,672
12,13,722
13,14,774
14,15,828
15,16,884
16,17,943
17,18,1003
18,19,1067
19,20,1132
20,21,1200
21,22,1271
22,23,1343
23,24,1419
24,25,1497
25,26,1577
26,27,1660
27,28,1745
28,29,1834
29,30,1924
30,31,2018
31,32,2114
32,33,2213
33,34,2314
34,35,2419
35,36,2526
36,37,2636
37,38,2749
38,39,2865
39,40,2983
40,41,3105
41,42,3229
42,43,3357
43,44,3487
44,45,3621
45,46,3757
46,47,3897
47,48,4040
48,49,4185
49,50,4334
50,51,4486
51,52,4642
52,53,4800
53,54,4962
54,55,5127
55,56,5295
56,57,5467
57,58,5642
58,59,5820
59,60,6001
60,61,6186
61,62,6374
62,63,6566
63,64,6761
64,65,6960
65,66,7162
66,67,7368
67,68,7577
68,69,7789
69,70,8006
70,71,8225
71,72,8449
72,73,8676
73,74,8907
74,75,9141
75,76,9379
76,77,9621
77,78,9866
78,79,10115
79,80,10368
80,81,10625
81,82,10885
82,83,11150
83,84,11418
84,85,11690
85,86,11966
86,87,12245
87,88,12529
88,89,12817
89,90,13108
90,91,13404
91,92,13703
92,93,14006
93,94,14314
94,95,14625
95,96,14941
96,97,15261
97,98,15584
98,99,15912
99,100,16244
