"rownum","BaseItemTypesKey","i32","Description","Hash","AchievementItemsKeys"
0,7641,111,"Essence Item",52571,[]
1,7642,131,"Currency Item",52259,[]
2,7643,151,"Unique Item",18701,[]
3,7644,121,"Map Item",22038,[]
4,7645,251,"Unique Map Item",6696,[]
5,7646,301,"Rare Abyss Item",41772,[]
6,7647,301,"Fragment Item",60390,[]
7,7648,301,"Scarab Item",32186,[]
8,7649,151,"Essence Item",23218,[]
9,7650,301,"Fossil Item",19642,[]
10,7651,181,"Perandus Item",40101,[]
11,7652,151,"Stacked Decks",34745,[]
12,7653,151,"Talisman Item",43064,[]
13,7654,161,"Enchanted Helmet",19352,[]
14,7655,1001,"6-Linked Armour Item",6078,[]
15,7656,141,"Currency Item",14134,[]
16,7657,1501,"League-specific Unique Item",4526,[]
17,7658,501,"Shaper or Elder Armour Item",61377,[]
18,7659,501,"Shaper or Elder Weapon Item",53204,[]
19,7660,701,"Shaper or Elder Trinket Item",61894,[]
20,7661,501,"Elder Map Item",39336,[]
21,7662,351,"Breach Item",43164,[]
22,7663,351,"valuable Currency Shards or Harbinger Item",50482,[]
23,7664,501,"high level Corrupted Gem or Valuable Gem",15068,[]
24,7665,301,"Item",31223,[]
25,7666,121,"Quality Gem",16288,[]
26,7667,151,"Bestiary Item",28161,[]
27,7668,221,"Blight Item",19373,[]
28,7669,221,"Metamorph Item",62324,[]
29,7670,431,"Delirium Item",23535,[]
