"rownum","BaseItemTypesKey","Armour","Evasion","EnergyShield","IncreasedMovementSpeed","Ward","i32"
0,4160,9,0,0,-3,0,0
1,4161,46,0,0,-3,0,0
2,4162,53,0,0,-3,0,0
3,4163,108,0,0,-3,0,0
4,4164,191,0,0,-3,0,0
5,4165,287,0,0,-3,0,0
6,4166,217,0,0,-3,0,0
7,4167,177,0,0,-3,0,0
8,4168,265,0,0,-3,0,0
9,4169,367,0,0,-3,0,0
10,4170,481,0,0,-3,0,0
11,4171,338,0,0,-3,0,0
12,4172,261,0,0,-3,0,0
13,4173,412,0,0,-3,0,0
14,4174,522,0,0,-3,0,0
15,4175,632,0,0,-3,0,0
16,4176,467,0,0,-3,0,0
17,4177,125,0,0,-3,0,0
18,4178,205,0,0,-3,0,0
19,4179,440,0,0,-3,0,0
20,4180,0,12,0,-3,0,0
21,4181,0,43,0,-3,0,0
22,4182,0,109,0,-3,0,0
23,4183,0,96,0,-3,0,0
24,4184,0,145,0,-3,0,0
25,4185,0,197,0,-3,0,0
26,4186,0,188,0,-3,0,0
27,4187,0,277,0,-3,0,0
28,4188,0,189,0,-3,0,0
29,4189,0,246,0,-3,0,0
30,4190,0,310,0,-3,0,0
31,4191,0,280,0,-3,0,0
32,4192,0,440,0,-3,0,0
33,4193,0,275,0,-3,0,0
34,4194,0,330,0,-3,0,0
35,4195,0,385,0,-3,0,0
36,4196,0,112,0,-3,0,0
37,4197,0,185,0,-3,0,0
38,4198,0,302,0,-3,0,0
39,4199,0,0,5,-3,0,0
40,4200,0,0,9,-3,0,0
41,4201,0,0,14,-3,0,0
42,4202,0,0,20,-3,0,0
43,4203,0,0,24,-3,0,0
44,4204,0,0,33,-3,0,0
45,4205,0,0,30,-3,0,0
46,4206,0,0,33,-3,0,0
47,4207,0,0,36,-3,0,0
48,4208,0,0,39,-3,0,0
49,4209,0,0,51,-3,0,0
50,4210,0,0,45,-3,0,0
51,4211,0,0,47,-3,0,0
52,4212,0,0,53,-3,0,0
53,4213,0,0,55,-3,0,0
54,4214,0,0,64,-3,0,0
55,4215,0,0,23,-3,0,0
56,4216,0,0,36,-3,0,0
57,4217,0,0,53,-3,0,0
58,4218,13,13,0,-3,0,0
59,4219,29,29,0,-3,0,0
60,4220,46,46,0,-3,0,0
61,4221,87,87,0,-3,0,0
62,4222,75,75,0,-3,0,0
63,4223,88,88,0,-3,0,0
64,4224,102,102,0,-3,0,0
65,4225,155,155,0,-3,0,0
66,4226,122,122,0,-3,0,0
67,4227,131,131,0,-3,0,0
68,4228,154,154,0,-3,0,0
69,4229,209,209,0,-3,0,0
70,4230,148,148,0,-3,0,0
71,4231,18,0,4,-3,0,0
72,4232,43,0,10,-3,0,0
73,4233,65,0,14,-3,0,0
74,4234,62,0,13,-3,0,0
75,4235,77,0,16,-3,0,0
76,4236,127,0,25,-3,0,0
77,4237,146,0,29,-3,0,0
78,4238,113,0,22,-3,0,0
79,4239,124,0,24,-3,0,0
80,4240,186,0,36,-3,0,0
81,4241,215,0,42,-3,0,0
82,4242,147,0,28,-3,0,0
83,4243,156,0,30,-3,0,0
84,4244,0,13,4,-3,0,0
85,4245,0,46,10,-3,0,0
86,4246,0,56,12,-3,0,0
87,4247,0,62,13,-3,0,0
88,4248,0,120,24,-3,0,0
89,4249,0,142,28,-3,0,0
90,4250,0,122,24,-3,0,0
91,4251,0,111,22,-3,0,0
92,4252,0,195,38,-3,0,0
93,4253,0,209,41,-3,0,0
94,4254,0,181,35,-3,0,0
95,4255,0,151,29,-3,0,0
96,4256,0,242,47,-3,0,0
97,4257,0,0,0,-3,0,0
98,4258,9,0,0,0,0,0
99,4259,38,0,0,0,0,0
100,4260,92,0,0,0,0,0
101,4261,130,0,0,0,0,0
102,4262,174,0,0,0,0,0
103,4263,198,0,0,0,0,0
104,4264,237,0,0,0,0,0
105,4265,276,0,0,0,0,0
106,4266,346,0,0,0,0,0
107,4267,377,0,0,0,0,0
