"rownum","Mod","Categories","DestroyAchievements"
0,23411,[0],[]
1,23412,[0],[8128]
2,23413,[0],[8117]
3,23414,[0],[8129]
4,23415,[0],[8130]
5,23416,[0],[8125]
6,23417,[0],[8120]
7,23418,[0],[8122]
8,23419,[0],[8123]
9,23420,[0],[8124]
10,23421,[0],[8126]
11,23422,[1],[]
12,23423,[1],[8119]
13,23424,[1],[8118]
14,23425,[3],[]
15,23426,[0],[8127]
16,23427,[0],[8131]
17,23428,[0],[8132]
18,23429,[1],[8133]
19,23430,[0],[]
20,23431,[0],[]
21,23432,[0],[]
22,23433,[0],[8134]
23,23434,[0],[]
24,23435,[0],[8121]
25,23436,[0],[8135]
26,23437,[0],[8115]
27,23438,[0],[8114]
28,23439,[0],[8113]
29,23440,[0],[8116]
30,23441,[0],[8136]
31,23442,[0],[8137]
32,23443,[0],[8138]
33,23444,[0],[8139]
34,23445,[0],[8140]
35,23446,[0],[8141]
36,23447,[0],[8142]
37,23448,[0],[8143]
38,23449,[3],[]
39,23459,[3],[]
40,23458,[3],[]
41,23450,[0],[]
42,23451,[2],[]
43,23452,[0],[]
44,23453,[2],[]
45,23454,[0],[]
46,23455,[0],[]
47,23456,[0],[]
48,23457,[0],[]
49,23460,[0],[]
50,23461,[2],[]
51,23462,[0],[]
52,23463,[2],[]
53,23464,[1],[]
54,23465,[1],[]
55,23466,[1],[]
56,23467,[1],[]
57,23468,[2],[]
58,23469,[2],[]
59,23470,[2],[]
60,23471,[2],[]
61,23494,[1],[]
62,23472,[2],[]
63,23473,[2],[]
64,23474,[2],[]
65,23475,[1],[]
66,23476,[1],[]
67,23477,[1],[]
68,23495,[1],[]
69,23496,[1],[]
70,23497,[1],[]
71,23498,[1],[]
72,23499,[1],[]
73,23500,[1],[]
74,23501,[1],[]
75,23502,[1],[]
76,23503,[1],[]
77,23504,[1],[]
78,23488,[1],[]
79,23489,[1],[]
80,23491,[1],[]
81,23492,[1],[]
82,23490,[2],[]
83,23493,[2],[]
84,23505,[2],[]
85,23506,[2],[]
86,23507,[2],[]
87,23508,[2],[]
88,23509,[2],[]
89,23510,[2],[]
90,23511,[2],[]
91,23512,[2],[]
92,23513,[2],[]
93,23514,[2],[]
94,23515,[2],[]
95,23408,[0],[]
96,23410,[0],[]
97,23409,[0],[]
98,23376,[1],[]
99,23378,[1],[]
100,23380,[1],[]
101,23382,[1],[]
102,23384,[1],[]
103,23386,[1],[]
104,23388,[1],[]
105,23390,[1],[]
106,23392,[1],[]
107,23394,[1],[]
108,23396,[1],[]
109,23398,[1],[]
110,23400,[1],[]
111,23402,[1],[]
112,23404,[1],[]
113,23406,[1],[]
114,23478,[1],[]
115,23480,[1],[]
116,23482,[1],[]
117,23484,[1],[]
118,23479,[2],[]
119,23481,[2],[]
120,23483,[2],[]
121,23485,[2],[]
122,23377,[2],[]
123,23379,[2],[]
124,23381,[2],[]
125,23383,[2],[]
126,23385,[2],[]
127,23387,[2],[]
128,23389,[2],[]
129,23391,[2],[]
130,23393,[2],[]
131,23395,[2],[]
132,23397,[2],[]
133,23399,[2],[]
134,23401,[2],[]
135,23403,[2],[]
136,23405,[2],[]
137,23407,[2],[]
