"rownum","Name","ModSellPriceTypesKeys"
0,"IncreasedLife",[1]
1,"FireDamage",[0]
2,"FireDamageWithBows",[0]
3,"FireDamageWithBowsJewel",[0]
4,"ColdDamage",[0]
5,"LightningDamage",[0]
6,"EnergyShield",[1]
7,"LocalEnergyShield",[1]
8,"LocalEnergyShieldPercent",[1]
9,"LocalEnergyShieldPercentSuffix",[2]
10,"IncreasedMana",[0]
11,"LocalIncreasedPhysicalDamagePercentAndAccuracyRating",[1]
12,"LocalColdDamage",[0]
13,"LocalColdDamageTwoHand",[0]
14,"LocalColdDamageRanged",[0]
15,"PhysicalDamage",[1]
16,"PhysicalDamageWithBows",[1]
17,"PhysicalDamageWithBowsJewel",[]
18,"LifeLeech",[1]
19,"LifeLeechLocal",[1]
20,"LifeLeechPermyriad",[1]
21,"LifeLeechLocalPermyriad",[1]
22,"MonsterLifeLeech",[]
23,"MonsterLifeLeechAndDegen",[]
24,"ManaLeech",[2]
25,"ManaLeechLocal",[2]
26,"ManaLeechPermyriad",[2]
27,"ManaLeechLocalPermyriad",[2]
28,"AdditionalArrows",[6]
29,"LocalKnockback",[4]
30,"CannotBeFrozen",[5]
31,"CannotBeSlowedBelowValue",[]
32,"ShieldArmourIncrease",[1]
33,"MaxQuality",[]
34,"IncreasedShieldBlockPercentage",[5]
35,"LocalEvasionRatingIncreasePercent",[1]
36,"LocalEvasionRatingIncreasePercentSuffix",[2]
37,"LocalEvasionRatingAndStunRecoveryIncreasePercent",[1]
38,"LocalPhysicalDamageReductionRatingAndStunRecoveryPercent",[1]
39,"LocalPhysicalDamageReductionRatingPercentAndBlockChance",[1]
40,"LocalEnergyShieldAndStunRecoveryPercent",[1]
41,"GlobalEvasionRatingPercent",[1]
42,"GlobalEvasionAndArmourPercent",[6]
43,"MonsterEvasionRatingPercent",[]
44,"LocalPhysicalDamage",[2]
45,"LocalPhysicalDamageTwoHanded",[2]
46,"EvasionRating",[1]
47,"LocalEvasionRating",[1]
48,"PhysicalDamageReductionRating",[1]
49,"LocalPhysicalDamageReductionRating",[1]
50,"GlobalPhysicalDamageReductionRatingPercent",[1]
51,"GlobalPhysicalDamageReductionRatingPercentUnused",[1]
52,"MonsterPhysicalDamageReductionRatingPercent",[]
