"rownum","Id","Text"
0,"AccountNameAlreadyExists","An account with this name already exists."
1,"AccountNameInvalid","Account name must be at least 3 characters in length and is restricted to the characters a-z, 0-9 and _"
2,"EmailInvalid","This is not a valid email address."
3,"EmailAlreadyExists","An account with this email address already exists."
4,"AccountDoesNotExist","The specified account does not exist."
5,"InvalidPassword","The password is not correct for this account."
6,"AlreadyLoggedOn","The operation could not be completed because this account was already logged on by someone else."
7,"InvalidProtocolVersion","There has been a patch that you need to update to. Please restart Path of Exile."
8,"NotAllowedGameLogin","Access to the game is not currently enabled on this account."
9,"OtherAccountLoggedOn","Another person has logged into this account."
10,"AccountNotLoggedIn","This operation requires the account to be logged in."
11,"Timeout","The operation timed out."
12,"Disconnected","Disconnected from server."
13,"TerrainGenerationOutOfSync","The terrain generator for the client is out of sync with the server. Please create a new instance and try again."
14,"UnexpectedDisconnect","An unexpected disconnection occurred."
15,"CharacterDoesNotExist","The specified character does not exist."
16,"NotCharacterOwner","An attempt was made to retreive a character that this account is not the owner of."
17,"LinkedItemDoesNotExist","The specified linked item does not exist."
18,"DatabaseError","An unexpected database error occurred. Try again."
19,"TransferredToInstance","Account has been transfered to another instance."
20,"CharacterNameAlreadyExists","A character with this name already exists."
21,"CharacterNameInvalid","The character name contains invalid characters. Valid names only contain letters and underscores."
22,"CharacterNameTooShort","The character name is too short."
23,"CharacterNameTooLong","The character name is too long."
24,"CharacterInvalidClass","Invalid character class."
25,"LeagueDoesNotExist","This league does not exist."
26,"InvalidCharacterFlags","Invalid character flags."
27,"LeagueNameAlreadyExists","A league with this name already exists."
28,"LeagueNameInvalid","This is not a valid league name."
29,"LeagueDescriptionInvalid","This is not a valid league description."
30,"AlreadyInParty","The operation could not be completed because you are already in a party."
31,"NotItemOwner","Your character is not the owner of this item."
32,"NotAPartyMember","The target of this operation was not a party member."
33,"PartyPromotionRequired","You cannot perform this operation because you are not a promoted party member"
34,"PartyDoesNotExist","The party does not exist."
35,"ServiceDoesNotExist","The service does not exist."
36,"CommandInvalid","The service does not respond to this command, or there was an error in the syntax."
37,"DestinationUnreachable","Unable to make contact with service."
38,"NotInPartyWith","You must be in a party with this player."
39,"NotInParty","You are not in this party."
40,"InstanceFull","The instance is full."
41,"InvalidInstanceTransfer","Transfer to this instance is not allowed using this method."
42,"PortalDoesNotExist","The other side of the portal disconnected."
43,"OutOfYourLeague","That character is out of your league (and you know it)."
44,"DownForMaintenance","The realm is currently down for maintenance. Try again later."
45,"InstanceAuthenticationInvalid","Your authentication for instance transfer was invalid."
46,"PartyFull","Your party is full."
47,"TooManyCharacters","You have no character slots left."
48,"InvalidActivationKey","Invalid activation key."
49,"EmailValidationRequired","An account has been created with this email address already. You must verify your account by email before logging in."
50,"MissingRequiredField","Please fill out all required fields."
51,"InvalidArgument","An argument was invalid."
52,"GameComplete","The game has ended."
53,"LeagueHasEnded","The league has ended. You cannot create characters in it anymore."
54,"LeagueClosedForEntry","Entry to this league has closed."
55,"AlreadyOnIgnoreList","This account is already on your ignore list."
56,"NotOnIgnoreList","This account is not on your ignore list."
57,"IgnoreListFull","Your ignore list is full."
58,"AddToIgnoreListFailed","Unable to add {0} to ignore list because: {1}"
59,"AddedToIgnoreList","{0} has been added to your ignore list."
60,"RemoveFromIgnoreListFailed","Unable to remove {0} from ignore list because: {1}"
61,"RemovedFromIgnoreList","{0} has been removed from your ignore list."
62,"FailedToClearIgnoreList","Unable to clear ignore list because: {0}"
63,"IgnoreListCleared","Your ignore list has been cleared."
64,"FailedToAddNamedFriend","Unable to add {0} to friends list because: {1}"
65,"FailedToAddUnnamedFriend","Unable to add account to friends list because: {0}"
66,"FailedToAcceptFriend","Unable to accept friend request because: {0}"
67,"FailedToRemoveFriend","Unable to remove friend because: {0}"
68,"TriedToFriendSelf","You cannot add yourself as a friend."
69,"AccountBanned","Your account has been banned by an administrator."
70,"AccountChildLocked","Your account has been locked by parents."
71,"LoginRateLimited","You have attempted to log in too often within a short time period. Try again later."
72,"AccountLocked","Your account has been locked. Please contact support."
73,"NotAccountOwner","Operation cannot be performed because this instance is not the owner of the account."
74,"TemporaryLockout","Your account has been temporarily locked while an administrator works with it."
75,"Kicked","You have been kicked from the server by an administrator."
76,"StashTabDoesNotExist","The specified stash tab does not exist."
77,"LeaguePasswordInvalid","The password is not correct for this league."
78,"InstanceRateLimited","You have been kicked for performing too many actions too fast."
79,"FriendsListFull","Your friends list has reached maximum size."
80,"NotOnFriendsList","This account is not on your friend list."
81,"AlreadyOnFriendsList","This account is already on your friends list."
82,"LeagueUnavailableToNonBeta","This league is only available to Beta players."
83,"InstanceDoesNotExist","The instance does not exist."
84,"Muted","You cannot do this action while muted."
85,"Ignored","You have been ignored by the target player."
86,"PvPMatchDoesNotExist","This PvP match type does not exist."
87,"ItemDoesNotExist","The specified item does not exist."
88,"NeedNormalStashTab","You must have at least one normal stash tab to upgrade."
89,"NotEnoughCredit","You don't have enough credit to purchase this item."
90,"PackagePurchaseIncomplete","Your purchase did not complete successfully. Please contact support."
91,"MultiplePurchasesNotAllowed","You may only purchase this microtransaction once."
92,"CantDeleteWithMicrotransactions","Please remove all cosmetic effects from items on this character first. You can do this in the Microtransaction stash."
93,"NotEnoughRoomForItem","Not enough room for item."
94,"SavedCredentialsNewLocation","You are logging in from a new location. Please re-enter your password."
95,"SavedCredentialsBad","Your saved credentials are out of date. Please re-enter your password."
96,"LoginRequiresUnlockCode","Your account has been locked until you can provide an unlock code from your email."
97,"UnlockCodeIncorrect","The unlock code you have provided is incorrect."
98,"UnlockEmailTooSoon","It has been too soon since the last account unlock email was sent."
99,"DailyDealDoesNotExist","Deal does not exist."
100,"MicrotransactionDoesNotExist","Microtransaction does not exist."
101,"AccountNameDisallowed","Account name disallowed."
102,"BannedLoginIp","Your IP has been banned. Please contact support if you think this is a mistake."
103,"GeneralFailure","An unexpected problem has occurred."
104,"CurrencyTradingPrevented","You cannot trade currency or unique items to other players until you have reached level 25 on at least one character on your account."
105,"AccountAlreadyHasSteam","This account already has a Steam account associated with it."
106,"SteamAssociateEmailSent","An email has been sent to confirm that you own this account. Please click the link in your email to continue."
107,"SteamIdAlreadyInUse","This Steam account already has a Path of Exile account associated with it."
108,"NoAssociatedSteamId","This account does not have a Steam account associated with it."
109,"MapDeviceBusy","Activation failed. The device is busy."
110,"MapDeviceTooManyItems","Activation failed."
