"rownum","PassiveSkillsKey","PassiveTreeExpansionJewelSize","i32","PassiveJewelSlotsKey","rid","[i32]"
0,1309,"",0,"","",[]
1,1310,"",0,"","",[]
2,1311,"",0,"","",[]
3,1312,"",0,"","",[]
4,1313,"",0,"","",[]
5,1314,"",0,"","",[]
6,1315,"",0,"","",[]
7,1316,"",0,"","",[]
8,1317,"",0,"","",[]
9,1318,"",0,"","",[]
10,1319,"",0,"","",[]
11,1320,2,0,"",2913,"[3,5,5]"
12,1321,2,1,"",2914,"[0,11,11]"
13,1322,2,2,"",2915,"[2,3,3]"
14,1323,"",0,"","",[]
15,1324,2,3,"",2916,"[1,1,1]"
16,1325,"",0,"","",[]
17,1326,2,4,"",2917,"[5,9,9]"
18,1327,"",0,"","",[]
19,1328,"",0,"","",[]
20,1329,2,5,"",2918,"[4,7,7]"
21,2877,1,0,11,2919,"[2,3]"
22,2878,1,1,11,2920,"[3,5]"
23,2879,1,2,11,2921,"[3,7]"
24,2880,0,0,21,2922,[1]
25,2881,0,0,22,2923,[2]
26,2882,0,0,23,2924,[3]
27,2883,1,0,12,2925,"[5,9]"
28,2884,1,1,12,2926,"[5,11]"
29,2885,1,2,12,2927,"[0,1]"
30,2886,0,0,27,2928,[4]
31,2887,0,0,28,2929,[5]
32,2888,0,0,29,2930,[0]
33,2889,1,0,13,2931,"[1,1]"
34,2890,1,1,13,2932,"[2,3]"
35,2891,1,2,13,2933,"[3,5]"
36,2892,0,0,33,2934,[0]
37,2893,0,0,34,2935,[1]
38,2894,0,0,35,2936,[2]
39,2895,1,0,15,2937,"[5,11]"
40,2896,1,1,15,2938,"[1,1]"
41,2897,1,2,15,2939,"[2,3]"
42,2898,0,0,39,2940,[5]
43,2899,0,0,40,2941,[0]
44,2900,0,0,41,2942,[1]
45,2901,1,0,17,2943,"[4,7]"
46,2902,1,1,17,2944,"[5,9]"
47,2903,1,2,17,2945,"[5,11]"
48,2904,0,0,45,2946,[3]
49,2905,0,0,46,2947,[4]
50,2906,0,0,47,2948,[5]
51,2907,1,0,20,2949,"[3,5]"
52,2908,1,1,20,2950,"[4,7]"
53,2909,1,2,20,2951,"[5,9]"
54,2910,0,0,51,2952,[2]
55,2911,0,0,52,2953,[3]
56,2912,0,0,53,2954,[4]
