"rownum","string","[rid]","i32"
0,"global_auras",[465],-1
1,"global_auras",[459],-2
2,"global_auras",[461],-3
3,"global_auras",[463],-4
4,"global_auras",[159],-5
5,"global_auras",[143],-6
6,"global_auras",[148],-7
7,"global_auras",[151],-8
8,"global_auras",[145],-9
9,"global_auras",[947],-10
10,"global_auras",[953],-11
11,"global_auras",[958],-12
12,"global_auras",[975],-13
13,"global_auras",[981],-14
14,"global_auras",[986],-15
15,"global_auras",[998],-16
16,"global_auras",[999],-17
17,"global_auras",[1000],-18
18,"global_auras",[1008],-19
19,"global_auras",[1007],-20
20,"global_auras",[1045],-21
21,"global_auras",[1046],-22
22,"global_auras",[1047],-23
23,"global_auras",[1065],-24
24,"global_auras",[1067],-25
25,"global_auras",[1068],-26
26,"global_auras",[1069],-27
27,"global_auras",[1135],-28
28,"global_auras",[1140],-29
29,"global_auras",[1138],-30
30,"global_auras",[1141],-31
31,"global_auras",[1145],-32
32,"global_auras",[1146],-33
33,"global_auras",[1193],-34
34,"global_auras",[1196],-35
35,"global_auras",[1199],-36
36,"global_auras",[1223],-37
37,"global_auras",[1224],-38
38,"global_auras",[1291],-39
39,"global_auras",[1292],-40
40,"global_auras",[1316],-41
41,"global_auras",[1335],-42
42,"global_auras",[1336],-43
43,"global_auras",[1356],-44
44,"global_auras",[1361],-45
45,"global_auras",[1362],-46
46,"global_auras",[1363],-47
47,"global_auras",[1364],-48
48,"global_auras",[1403],-49
49,"global_auras",[1409],-50
50,"global_auras",[1410],-51
51,"global_auras",[1497],-52
52,"global_auras",[1498],-53
53,"global_auras",[1499],-54
54,"global_auras",[1500],-55
55,"global_auras",[1501],-56
56,"global_auras",[1502],-57
57,"anger",[144],0
58,"anger",[145],1
59,"anger",[146],2
60,"hatred",[147],0
61,"hatred",[148],1
62,"hatred",[149],2
63,"hatred",[710],3
64,"wrath",[150],0
65,"wrath",[151],1
66,"wrath",[152],2
67,"haste",[154],0
68,"haste",[459],1
69,"haste",[155],2
70,"steelskin",[1025],0
71,"steelskin",[1472],1
72,"steelskin",[1026],2
73,"ignite",[2],0
74,"ignite",[365],1
75,"ignite",[458],2
76,"ignite",[366],3
77,"ignite",[367],4
78,"ignite",[368],5
79,"ignite",[369],6
80,"ignite",[1005],7
81,"ignite",[1085],8
82,"ignite",[1153],9
83,"ignite",[1343],10
84,"ignite",[1302],11
85,"ignite",[1344],12
86,"ignite",[1341],13
87,"ignite",[1443],14
88,"ignite",[1558],15
89,"ignite",[1566],16
90,"ignite",[1574],17
91,"ignite",[1575],18
92,"ignite",[1597],19
93,"shock",[5],0
94,"shock",[212],1
95,"shock",[213],2
96,"shock",[214],3
97,"shock",[1086],4
98,"shock",[215],5
99,"shock",[1559],6
100,"shock",[1567],7
101,"fire_exposure",[991],0
102,"cold_exposure",[992],0
103,"lightning_exposure",[993],0
104,"fire_exposure",[1560],1
105,"cold_exposure",[1561],1
106,"lightning_exposure",[1562],1
107,"fire_exposure",[1563],2
108,"cold_exposure",[1564],2
109,"lightning_exposure",[1565],2
110,"infernal_blow_debuff",[867],0
111,"infernal_blow_debuff",[1576],1
112,"infernal_blow_debuff2",[868],0
113,"infernal_blow_debuff2",[1577],1
114,"infernal_blow_debuff3",[869],0
115,"infernal_blow_debuff3",[1578],1
116,"arcane_cloak",[1187],0
117,"arcane_cloak",[1579],1
118,"exsanguinate",[1488],0
119,"exsanguinate",[1580],1
120,"void_burst",[1581],0
121,"ambush_stealth",[1583],0
122,"cold_snap",[1585],4
123,"blood_rage",[13],0
124,"blood_rage",[1586],1
125,"lightning_strike_vaal_debuff",[854],0
126,"lightning_strike_vaal_debuff",[854],1
127,"lightning_strike_vaal_debuff",[1590],2
128,"herald_of_ash_buff",[892],-1
129,"herald_of_ash_buff",[317],0
130,"herald_of_ash_burning_buff",[165],0
131,"herald_of_ash_buff",[489],1
132,"herald_of_ash_burning_buff",[458],1
133,"herald_of_ash_buff",[488],2
134,"herald_of_ash_burning_buff",[165],2
135,"herald_of_ash_buff",[667],3
136,"herald_of_ash_burning_buff",[365],3
137,"herald_of_ash_buff",[671],4
138,"herald_of_ash_burning_buff",[165],4
139,"herald_of_ash_buff",[714],5
140,"herald_of_ash_burning_buff",[165],5
141,"herald_of_ash_buff",[800],6
142,"herald_of_ash_burning_buff",[808],6
143,"herald_of_ash_buff",[804],7
144,"herald_of_ash_burning_buff",[165],7
145,"herald_of_ash_buff",[873],8
146,"herald_of_ash_burning_buff",[165],8
147,"herald_of_ash_buff",[877],9
148,"herald_of_ash_burning_buff",[165],9
149,"herald_of_ash_buff",[886],10
150,"herald_of_ash_burning_buff",[165],10
151,"herald_of_ash_buff",[897],11
152,"herald_of_ash_burning_buff",[165],11
153,"herald_of_ash_buff",[902],12
154,"herald_of_ash_burning_buff",[165],12
155,"herald_of_ash_buff",[1029],13
156,"herald_of_ash_burning_buff",[165],13
157,"herald_of_ash_buff",[1052],14
158,"herald_of_ash_burning_buff",[1085],14
159,"herald_of_ash_buff",[1149],15
160,"herald_of_ash_burning_buff",[1153],15
161,"herald_of_ash_buff",[1229],16
162,"herald_of_ash_burning_buff",[165],16
163,"herald_of_ash_buff",[1276],17
164,"herald_of_ash_burning_buff",[165],17
165,"herald_of_ash_buff",[1298],18
166,"herald_of_ash_burning_buff",[1302],18
167,"herald_of_ash_buff",[1367],19
168,"herald_of_ash_burning_buff",[165],19
169,"herald_of_ash_buff",[1437],20
170,"herald_of_ash_burning_buff",[1441],20
171,"herald_of_thunder_buff",[892],-1
172,"herald_of_thunder_buff",[319],0
173,"herald_of_thunder_buff",[319],1
174,"herald_of_thunder_buff",[592],2
175,"herald_of_thunder_buff",[669],3
176,"herald_of_thunder_buff",[673],4
177,"herald_of_thunder_buff",[716],5
178,"herald_of_thunder_buff",[802],6
179,"herald_of_thunder_buff",[806],7
180,"herald_of_thunder_buff",[875],8
181,"herald_of_thunder_buff",[879],9
