"rownum","i32","rid","bool","i32","bool","i32","i32","bool","i32","i32","i32","bool","i32","i32","i32","bool","bool","bool","rid","bool","rid"
0,0,584,1,9,1,4,7,1,1000,5,10,1,0,0,0,"","","","","",""
1,1,585,1,19,"",2,4,1,0,20,60,1,0,0,0,"","","","","",""
2,2,595,1,6,"",2,4,1,0,15,45,1,0,0,0,"","","","","",""
3,3,596,1,4,"",2,4,1,0,20,60,1,0,0,0,"","","","","",""
4,4,607,1,3,1,2,7,1,0,20,60,1,0,0,0,"","","","","",""
5,5,633,1,2,1,2,7,1,0,20,60,1,0,0,0,"","","","","",""
6,6,634,"",4,"",4,2,"",0,0,0,"",0,0,0,"","","","","",""
7,7,634,"",0,"",4,2,"",0,0,0,"",0,0,0,"","","","","",""
8,8,634,"",3,"",4,2,"",0,0,0,"",0,0,0,"","","","","",""
9,9,640,"",0,"",4,6,"",0,0,0,"",0,0,0,"","","","","",""
10,10,666,"",14,"",4,7,"",2600,0,0,"",0,0,0,"","","","","",""
11,11,668,"",0,"",4,7,"",0,0,0,"",0,220,0,"","","","","",""
12,14,696,1,6,1,2,7,1,0,30,60,1,0,0,0,"","","","","",""
13,15,683,"",1,1,4,2,1,0,0,0,"",90,0,0,"","","","","",""
14,16,684,"",1,1,4,2,1,0,0,0,"",0,0,0,"","","","","",""
15,17,685,"",1,1,4,2,1,0,0,0,"",0,0,0,"","","","","",""
16,18,671,1,0,"",3,7,1,0,5,30,1,0,0,0,"","","","","",""
17,19,704,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","",""
18,20,704,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","",""
19,21,704,"",0,"",3,4,"",0,0,0,"",20,0,0,"","","","","",""
20,22,704,"",0,"",3,4,"",0,0,0,"",-20,0,0,"","","","","",""
21,23,694,"",7,1,2,7,"",200,0,0,"",0,0,0,"","","","","",""
22,24,719,"",5,1,3,7,1,0,0,0,"",0,0,0,"","","","","",""
23,25,745,1,9,"",2,4,1,0,20,60,1,0,45,0,"","","","","",""
24,26,755,"",10,1,4,7,"",0,0,0,"",0,0,0,"","","","","",""
25,27,773,1,9,1,4,7,1,1000,5,10,1,0,0,0,"","","","","",""
26,28,278,"",5,"",2,6,"",500,0,0,"",0,15,0,"","","","","",""
27,29,781,"",0,"",2,7,"",0,0,0,"",0,15,0,"","","","","",""
28,30,818,"",10,"",4,2,"",0,0,0,"",180,220,0,"","","","","",""
29,31,820,"",7,1,4,7,"",0,0,0,"",0,0,0,"","","","","",""
30,32,782,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","",""
31,33,783,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","",""
32,34,784,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","",""
33,35,785,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","",""
34,36,786,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","",""
35,37,787,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","",""
36,38,788,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","",""
37,39,789,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","",""
38,40,790,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","",""
39,41,791,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","",""
40,42,792,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","",""
41,43,793,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","",""
42,44,794,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","",""
43,45,795,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","",""
44,46,796,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","",""
45,47,111,1,40,"",4,7,"",8000,10,40,1,0,0,0,"","","","","",""
46,48,826,1,0,"",4,6,1,0,95,100,1,0,0,0,"","","","","",""
47,49,854,"",0,"",4,9,1,0,0,0,"",0,0,1,"","","","","",""
48,50,857,1,19,1,3,7,1,100,10,30,1,0,0,0,"","",1,"","",""
49,51,858,1,4,"",3,7,1,500,20,60,1,0,20,0,"","","","","",""
50,52,915,"",15,1,2,7,"",0,0,0,"",0,0,0,"","","","","",""
51,53,920,"",0,"",3,6,1,0,0,0,"",0,0,0,"","","",4,"",""
52,54,952,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","",7,"",""
53,55,954,"",7,1,4,7,"",0,19,20,"",0,0,0,"","","","","",""
54,56,982,1,0,"",2,4,1,0,10,0,"",0,0,1,"","","","","",""
55,57,1006,1,0,"",4,5,"",0,25,0,"",0,0,307201,"","","","","",""
56,58,1010,1,0,"",5,4,1,0,0,0,"",0,0,1,"","","","","",""
57,59,1017,"",0,"",4,2,1,0,0,0,"",90,5,512001,"","","","","",""
58,60,184,"",0,"",3,7,1,0,0,0,"",0,45,0,"","","","","",""
59,61,1028,"",0,"",3,4,1,0,0,0,"",0,0,0,"","","","","",""
60,62,1029,"",0,"",3,6,"",0,0,0,"",0,0,1,"",1,"","","",""
61,63,1027,"",0,"",3,7,"",0,120,160,1,0,90,0,"","","","",1,""
62,64,1062,1,0,"",3,4,1,0,40,0,"",0,0,0,"","","","",1,""
63,65,1078,1,2,"",2,4,1,0,40,80,1,0,0,0,"","","","","",""
64,66,1081,1,0,"",2,4,1,0,10,0,"",0,0,1,"","","","","",""
65,67,1086,"",0,"",4,2,1,0,0,0,"",0,0,0,"","","","","",""
