"rownum","SkillTotemsKey","TotemSkinId","MonsterVarietiesKey"
0,1,0,1888
1,2,0,1890
2,3,0,1889
3,1,1,1891
4,2,1,1893
5,3,1,1892
6,1,2,1988
7,2,2,1988
8,3,2,1988
9,1,3,1989
10,2,3,1989
11,3,3,1989
12,1,4,1990
13,2,4,1990
14,3,4,1990
15,1,5,2003
16,2,5,2003
17,3,5,2003
18,1,6,2004
19,2,6,2004
20,3,6,2004
21,1,7,2005
22,2,7,2005
23,3,7,2005
24,1,8,2006
25,2,8,2006
26,3,8,2006
27,1,9,1991
28,2,9,1991
29,3,9,1991
30,1,10,2007
31,2,10,2007
32,3,10,2007
33,1,11,2011
34,2,11,2011
35,3,11,2011
36,4,0,1904
37,4,1,1905
38,4,2,1906
39,4,3,1907
40,4,4,1908
41,4,5,1909
42,4,6,1910
43,4,7,1911
44,4,8,1912
45,4,10,1913
46,5,0,1894
47,5,1,1895
48,5,2,1896
49,5,3,1897
50,5,4,1898
51,5,5,1899
52,5,6,1900
53,5,7,1901
54,5,8,1902
55,5,10,1903
56,6,0,1914
57,6,1,1915
58,6,2,1916
59,6,3,1917
60,6,4,1918
61,6,5,1919
62,6,6,1920
63,6,7,1921
64,6,8,1922
65,6,10,1923
66,7,0,1924
67,7,1,1925
68,7,2,1926
69,7,3,1927
70,7,4,1928
71,7,5,1929
72,7,6,1930
73,7,7,1931
74,7,8,1932
75,7,10,1933
76,8,0,1946
77,8,-1,1945
78,8,-2,1934
79,8,1,1935
80,8,2,1936
81,8,3,1937
82,8,4,1938
83,8,5,1939
84,8,6,1940
85,8,7,1941
86,8,8,1942
87,8,9,1943
88,8,10,1944
89,9,0,1958
90,9,1,1959
91,9,2,1960
92,9,3,1961
93,9,4,1962
94,9,5,1963
95,9,6,1964
96,9,7,1965
97,9,8,1966
98,9,10,1967
99,10,0,1968
100,10,1,1969
101,10,2,1970
102,10,3,1971
103,10,4,1972
104,10,5,1973
105,10,6,1974
106,10,7,1975
107,10,8,1976
108,10,10,1977
109,11,0,1978
110,11,1,1979
111,11,2,1980
112,11,3,1981
113,11,4,1982
114,11,5,1983
115,11,6,1984
116,11,7,1985
117,11,8,1986
118,11,10,1987
119,12,0,1991
120,12,1,1992
121,12,2,1993
122,12,3,1994
123,12,4,1995
124,12,5,1996
125,12,6,1997
126,12,7,1998
127,12,8,1999
128,12,10,2000
129,12,12,2001
130,13,0,4287
131,13,1,4288
132,15,0,4289
133,15,1,4291
134,15,2,4293
135,16,0,4290
136,16,1,4292
137,16,2,4294
138,17,0,1946
139,17,-1,1947
140,17,1,1948
141,17,2,1949
142,17,3,1950
143,17,4,1951
144,17,5,1952
145,17,6,1953
146,17,7,1954
147,17,8,1955
148,17,9,1956
149,17,10,1957
150,18,0,7228
151,18,1,7229
152,18,2,7230
153,18,3,7231
154,18,4,7232
155,18,5,7233
156,18,6,7234
157,18,7,7235
158,18,8,7236
159,18,10,7237
160,18,12,7238
161,18,13,7239
162,19,0,7240
163,19,1,7241
164,19,2,7242
165,19,3,7243
166,19,4,7244
167,19,5,7245
168,19,6,7246
169,19,7,7247
170,19,8,7248
171,19,10,7249
172,19,12,7250
173,1,14,7972
174,2,14,7972
175,3,14,7972
176,4,14,7973
177,5,14,7974
178,6,14,7975
179,7,14,7976
180,8,14,7977
181,9,14,7978
182,10,14,7979
183,11,14,7980
184,12,14,7981
185,17,14,7982
186,18,14,7983
187,19,14,7984
188,1,15,8129
189,2,15,8129
190,3,15,8129
191,4,15,8130
192,5,15,8131
193,6,15,8132
194,7,15,8133
195,8,15,8134
196,9,15,8135
197,10,15,8136
198,11,15,8137
199,12,15,8138
200,17,15,8139
201,18,15,8140
202,19,15,8141
203,20,0,4295
204,20,1,4291
205,20,2,4293
