"rownum","rid","i32","[i32]","[rid]","rid","i32","bool","i32","i32","i32","i32"
0,7780,0,[3],[6012],"",0,1,-30,0,150,800
1,7780,1,[1],"[6017,9021]","",0,1,-30,0,150,800
2,7783,0,[1],[],"",0,1,0,0,150,800
3,7785,0,"[1,3]","[6016,9021]","",0,1,-30,0,150,800
4,7787,0,"[1,3]","[5995,9021]","",0,1,-30,0,150,800
5,7789,0,[2],[1569],"",10,1,-15,0,150,800
6,7791,0,[2],[6000],"",10,1,10,0,150,800
7,7793,0,"[3,1]",[6013],"",0,1,-30,0,150,800
8,7795,0,"[1,3]","[5995,9021]","",0,1,-30,0,150,800
9,7797,0,[2],"[6000,1573]","",10,1,10,0,150,800
10,7799,0,"[3,1]",[6013],"",0,1,-30,0,150,800
11,7800,0,"[1,3]","[5995,9021]","",0,1,-30,0,150,800
12,7801,0,[2],"[6000,1573]","",10,1,10,0,150,800
13,7802,0,"[3,1]",[6014],"",0,1,-30,0,150,800
14,7803,0,"[1,3]",[5995],"",0,1,-30,0,150,800
15,7842,0,"[3,1]","[6044,9021]","",0,1,-30,0,150,800
16,7844,0,[3],"[6045,9021]","",0,1,-30,0,150,800
17,7844,1,[1],[],"",0,1,-30,0,150,800
18,7846,0,"[1,3]","[6046,9021]","",0,1,-30,0,150,800
19,7848,0,"[1,3]","[6047,9021]","",0,1,-30,0,150,800
20,7850,0,[2],[6516],"",10,1,-15,0,150,800
21,7852,0,[2],[3762],"",10,1,10,0,150,800
22,7854,0,[2],[],7801,10,1,5,0,150,800
23,7856,0,"[3,1]","[6044,9021]","",0,1,-30,0,150,800
24,7857,0,[3],"[6045,9021]","",0,1,-30,0,150,800
25,7857,1,[1],[],"",0,1,-30,0,150,800
26,7858,0,"[1,3]","[6046,9021]","",0,1,-30,0,150,800
27,7859,0,"[1,3]","[6047,9021]","",0,1,-30,0,150,800
28,7861,0,[2],[6516],"",10,1,-15,0,150,800
29,7862,0,[2],[3762],"",10,1,10,0,150,800
30,7863,0,[2],[],7801,10,1,5,0,150,800
31,7864,0,[3],"[6045,9021]","",0,1,-30,0,150,800
32,7864,1,[1],[],"",0,1,-30,0,150,800
33,7866,0,"[1,3]","[6047,9021]","",0,1,-30,0,150,800
34,7868,0,"[3,1]",[6048],"",0,1,-15,0,150,800
35,7870,0,[2],[3762],"",10,1,10,0,150,800
36,7872,0,[3],"[6045,9021]","",0,1,-30,0,150,800
37,7872,1,[1],[],"",0,1,-30,0,150,800
38,7873,0,"[1,3]","[6047,9021]","",0,1,-30,0,150,800
39,7874,0,"[3,1]",[6048],"",0,1,-15,0,150,800
40,7875,0,[2],[3762],"",0,1,10,0,150,800
41,7876,0,"[3,1]",[6049],"",0,1,-30,0,150,800
42,7877,0,[2],[3763],"",10,1,10,0,150,800
43,7805,0,[2],[9030],"",0,1,0,0,150,800
44,7809,0,[1],[6531],"",0,1,0,0,150,800
45,7811,0,[1],[6531],"",0,1,0,0,150,800
46,7813,0,[1],[6531],"",0,1,0,0,150,800
47,7816,0,[1],[6531],"",0,1,0,0,150,800
48,7818,1,[2],[561],"",0,1,0,0,150,800
49,7821,0,[1],[6531],"",0,1,0,0,150,800
50,7840,0,[1],[6531],"",0,1,0,0,150,800
51,7806,0,[1],[6531],"",0,1,0,0,150,800
52,7807,0,[1],[6531],"",0,1,0,0,150,800
53,7822,0,[2],[7800],"",0,1,15,0,150,800
54,7823,0,[2],[7800],"",0,1,15,0,150,800
55,7824,0,[2],[7800],"",0,1,15,0,150,800
56,7826,0,[2],[7798],"",0,1,15,0,150,800
57,7828,0,[2],[7798],"",0,1,15,0,150,800
58,7829,0,[2],[7798],"",0,1,15,0,150,800
59,7831,0,[2],[],"",0,1,0,0,150,800
60,7832,0,[2],[],"",0,1,0,0,150,800
61,7833,0,[2],[],"",0,1,0,0,150,800
62,7835,0,[2],[6079],"",5,1,-30,0,150,800
63,7836,0,[2],[6079],"",5,1,-30,0,150,800
64,7837,0,[2],[6079],"",5,1,-30,0,150,800
65,7886,0,[3],[],"",0,1,0,1,150,800
66,7889,0,[1],[],"",0,1,0,1,150,800
67,7890,0,[1],[],"",0,1,0,1,150,800
68,7893,0,[2],[6064],"",0,1,-30,0,150,800
69,7895,0,[2],[6526],"",0,1,-30,0,150,800
