"rownum","BaseItemTypesKey","AddedModsKeys","NegativeWeight_TagsKeys","NegativeWeight_Values","ForcedAddModsKeys","ForbiddenDelveCraftingTagsKeys","AllowedDelveCraftingTagsKeys","CanMirrorItem","CorruptedEssenceChance","CanImproveQuality","CanRollEnchant","HasLuckyRolls","SellPrice_ModsKeys","CanRollWhiteSockets","Weight_TagsKeys","Weight_Values","DelveCraftingModifierDescriptionsKeys","BlockedDelveCraftingModifierDescriptionsKeys"
0,235,[],[310],[0],[],[],[],"",0,"","","",[],"",[309],[1000],"[11,29]",[12]
1,236,[],[309],[0],[],[],[],"",0,"","","",[],"",[310],[1000],"[12,28]",[11]
2,237,[],[313],[0],[],[],[],"",0,"","","",[],"",[311],[1000],"[13,27]",[10]
3,238,[],[312],[0],[],[],[],"",0,"","","",[],"",[313],[1000],"[10,31]",[14]
4,239,[],[311],[0],[],[],[],"",0,"","","",[],"",[312],[1000],"[14,30]",[13]
5,240,[],[317],[0],[],[],[],"",0,"","","",[],"",[316],[1000],"[17,33]",[18]
6,241,[],[316],[0],[],[],[],"",0,"","","",[],"",[317],[1000],"[18,32]",[17]
7,242,[],[318],[0],[],[],[],"",0,"","","",[],"","[315,314]","[1000,1000]","[16,34]",[15]
8,243,[],"[315,314]","[0,0]",[],[],[],"",0,"","","",[],"",[318],[600],"[15,35]",[16]
9,244,[],[319],[15],[],[],[],"",0,"","","",[],"",[34],[1000],"[19,26]",[25]
10,245,[],[34],[15],[],[],[],"",0,"","","",[],"",[319],[1000],"[20,25]",[26]
11,246,[],[324],[0],[],[],[],"",0,"","","",[],"",[323],[1000],"[21,37]",[22]
12,247,[],[323],[0],[],[],[],"",0,"","","",[],"",[324],[1000],"[22,36]",[21]
13,248,[],[],[],[],[],[],"",0,"","","",[],"","[320,321,647]","[1000,1000,1000]",[23],[]
14,249,[],[],[],[],[],"[0,2,5,6,4,3,7]","",0,1,"","",[],"",[],[],[9],[]
15,250,[],[],[],[],[],"[4,5,6]","",0,"",1,"",[],"",[],[],[8],[]
16,251,[],[],[],[],[],"[0,2,5,6,4,3]","",0,"","","",[],1,[],[],[7],[]
17,252,"[15000,15001,15002]",[],[],[],[],[],"",0,"","","",[],"",[27],[1000],[24],[]
18,253,[],[],[],"[15004,15005,15006,15008,15009,15010,15007,15011]","[13,14,15]",[],"",0,"","","",[],"",[],[],[6],[]
19,254,[],[],[],[15003],[],"[0,4,6,5,2]","",0,"","","",[],"",[],[],[5],[]
20,255,[],[],[],[],[],[],1,0,"","","",[],"",[],[],[4],[]
21,256,[],[],[],[],[],"[0,2,5,6,4,3,8,9,10,11]","",100,"","","",[],"",[],[],[3],[]
22,257,"[15000,15001,15002,15004,15005,15006,15008,15009,15010,15007,15003]",[],[],[],[],[],"",10,"","","",[],"",[],[],[2],[]
23,258,[],[],[],[],[],[],"",0,"","",1,[],"",[],[],[1],[]
24,259,[],[],[],[],[],[],"",0,"","","","[14668,14669,14670,14671,14672,14673,14674,14675,14676]","",[],[],[0],[]
