"rownum","i32","string","[i32]","[i32]","[rid]","i32","i32","bool"
0,0,"Default","[25,30,35,40]","[0,1045220557,1045220557,1045220557]","[2014,2015,2016,2017]",3,0,""
1,1,"Powerball1","[20,26,32]","[0,1056964608,1056964608]","[2876,2877,2878]",4,0,""
2,2,"Powerball2","[20,26,32,38]","[0,1051260355,1051260355,1051260355]","[2876,2877,2878,2879]",4,0,""
3,3,"Powerball3","[20,26,32,38,44]","[0,1048576000,1048576000,1048576000,1048576000]","[2876,2877,2878,2879,2880]",4,0,""
4,4,"Powerball4","[20,26,32,38,44,50]","[0,1045220557,1045220557,1045220557,1045220557,1045220557]","[2876,2877,2878,2879,2880,2881]",4,0,""
5,5,"Powerball5","[20,26,32,38,44,50,56]","[0,1043207291,1043207291,1043207291,1043207291,1042536202,1042536202]","[2876,2877,2878,2879,2880,2881,2882]",4,0,""
6,6,"Powerball6","[20,26,32,38,44,50,56,62]","[0,1041194025,1041194025,1041194025,1041194025,1041194025,1041865114,1041865114]","[2876,2877,2878,2879,2880,2881,2882,2883]",4,0,""
7,7,"Powerball7","[20,26,32,38,44,50,56,62,68]","[0,1039516303,1039516303,1039516303,1039516303,1040522936,1040522936,1040522936,1040522936]","[2876,2877,2878,2879,2880,2881,2882,2883,2884]",4,0,""
8,8,"Powerball8","[20,26,32,38,44,50,56,62,68,74]","[0,1038174126,1038174126,1038174126,1038174126,1038174126,1038174126,1038174126,1038174126,1038174126]","[2876,2877,2878,2879,2880,2881,2882,2883,2884,2885]",4,0,""
9,9,"ViperNaputzi","[40,33,26,19,0]","[0,1058642330,1058642330,1077936128]","[3142,3143,3144,3145]",4,0,1
10,10,"MetamorphShockNova","[10,15,20,25,30,35,40]","[0,1045220557,1045220557,1045220557,1045220557,1045220557]","[3186,3186,3186,3186,3186,3186]",2,0,1
11,11,"AfflictionExplosion1","[9,18,28]","[0,1048576000,1048576000]","[3779,3780,3781]",4,0,""
12,12,"AfflictionExplosion2","[9,18,28,37]","[0,1048576000,1048576000,1048576000]","[3779,3780,3781,3782]",4,0,""
13,13,"AfflictionExplosion3","[9,18,28,37,46]","[0,1048576000,1048576000,1048576000,1048576000]","[3779,3780,3781,3782,3783]",4,0,""
14,14,"AfflictionExplosion4","[9,18,28,37,46,55]","[0,1048576000,1048576000,1048576000,1048576000,1048576000]","[3779,3780,3781,3782,3783,3784]",4,0,""
15,15,"AfflictionExplosion5","[9,18,28,37,46,55,64]","[0,1048576000,1048576000,1048576000,1048576000,1048576000,1048576000]","[3779,3780,3781,3782,3783,3784,3785]",4,0,""
16,16,"AfflictionExplosion6","[9,18,28,37,46,55,64,74]","[0,1048576000,1048576000,1048576000,1048576000,1048576000,1048576000,1048576000]","[3779,3780,3781,3782,3783,3784,3785,3786]",4,0,""
17,17,"AfflictionExplosion7","[9,18,28,37,46,55,64,74,83]","[0,1048576000,1048576000,1048576000,1048576000,1048576000,1048576000,1048576000,1048576000]","[3779,3780,3781,3782,3783,3784,3785,3786,3787]",4,0,""
18,18,"AfflictionExplosion8","[9,18,28,37,46,55,64,74,83,92]","[0,1048576000,1048576000,1048576000,1048576000,1048576000,1048576000,1048576000,1048576000,1048576000]","[3779,3780,3781,3782,3783,3784,3785,3786,3787,3788]",4,0,""
