"rownum","ModsKey","i32","i32","i32","i32","i32","bool","bool"
0,18523,0,11,100,1,6,1,1
1,18524,0,50,100,3,6,1,1
2,18575,0,11,100,1,6,1,1
3,18579,0,11,100,1,6,1,1
4,18580,0,11,100,1,6,1,1
5,18581,0,11,100,1,6,1,1
6,18582,0,11,100,1,6,1,1
7,18587,0,11,100,1,6,1,1
8,18590,150,11,100,1,3,1,1
9,18591,150,25,100,4,5,1,1
10,18592,75,68,100,6,7,1,1
11,18593,150,11,100,1,3,1,1
12,18594,150,25,100,4,5,1,1
13,18595,75,68,100,6,7,1,1
14,18596,150,11,100,1,3,1,1
15,18597,150,25,100,4,5,1,1
16,18598,75,68,100,6,7,1,1
17,18589,75,68,100,3,6,1,1
18,18599,150,40,100,1,3,1,1
19,18600,75,68,100,4,5,1,1
20,18588,37,68,100,6,7,1,1
21,18577,0,11,100,1,3,1,1
22,18601,0,25,100,4,5,1,1
23,18602,0,68,100,6,7,1,1
24,18603,0,68,100,6,7,1,1
25,18583,0,11,100,1,3,1,1
26,18604,0,25,100,4,5,1,1
27,18605,0,68,100,6,7,1,1
28,18578,150,11,100,1,3,1,1
29,18606,75,40,100,4,5,1,1
30,18607,37,68,100,6,7,1,1
31,18584,150,11,100,1,6,1,1
32,18585,75,68,100,4,7,1,1
33,18608,150,68,100,3,7,1,1
