"rownum","BaseItemTypesKey","Name","Group","LifePerUse","ManaPerUse","RecoveryTime","BuffDefinitionsKey","BuffStatValues"
0,4581,"Small Life Flask",1,70,0,60,"",[]
1,4582,"Medium Life Flask",1,150,0,65,"",[]
2,4583,"Large Life Flask",1,250,0,70,"",[]
3,4584,"Greater Life Flask",1,360,0,70,"",[]
4,4585,"Grand Life Flask",1,640,0,60,"",[]
5,4586,"Giant Life Flask",1,830,0,80,"",[]
6,4587,"Colossal Life Flask",1,1000,0,70,"",[]
7,4588,"Sacred Life Flask",1,1200,0,60,"",[]
8,4589,"Hallowed Life Flask",1,1990,0,80,"",[]
9,4590,"Sanctified Life Flask",1,1460,0,30,"",[]
10,4591,"Divine Life Flask",1,2400,0,70,"",[]
11,4592,"Eternal Life Flask",1,2080,0,40,"",[]
12,4593,"Small Life Flask",1,70,0,40,"",[]
13,4594,"Medium Life Flask",1,130,0,50,"",[]
14,4595,"Large Life Flask",1,200,0,60,"",[]
15,4596,"Small Mana Flask",2,0,50,30,"",[]
16,4597,"Medium Mana Flask",2,0,70,35,"",[]
17,4598,"Large Mana Flask",2,0,90,40,"",[]
18,4599,"Greater Mana Flask",2,0,120,40,"",[]
19,4600,"Grand Mana Flask",2,0,170,45,"",[]
20,4601,"Giant Mana Flask",2,0,250,50,"",[]
21,4602,"Colossal Mana Flask",2,0,350,50,"",[]
22,4603,"Sacred Mana Flask",2,0,480,55,"",[]
23,4604,"Hallowed Mana Flask",2,0,700,60,"",[]
24,4605,"Sanctified Mana Flask",2,0,1100,65,"",[]
25,4606,"Divine Mana Flask",2,0,1400,50,"",[]
26,4607,"Eternal Mana Flask",2,0,1800,70,"",[]
27,4608,"Small Hybrid Flask",3,100,70,50,"",[]
28,4609,"Medium Hybrid Flask",3,230,100,50,"",[]
29,4610,"Large Hybrid Flask",3,510,140,50,"",[]
30,4611,"Colossal Hybrid Flask",3,690,200,50,"",[]
31,4612,"Sacred Hybrid Flask",3,1440,400,50,"",[]
32,4613,"Hallowed Hybrid Flask",3,1740,480,50,"",[]
33,4614,"Diamond Flask",4,0,0,40,114,[100]
34,4615,"Ruby Flask",4,0,0,50,115,"[50,-20]"
35,4616,"Sapphire Flask",4,0,0,50,116,"[50,-20]"
36,4617,"Topaz Flask",4,0,0,50,117,"[50,-20]"
37,4618,"Granite Flask",4,0,0,40,118,[1500]
38,4619,"Quicksilver Flask",4,0,0,40,119,[40]
39,4620,"Amethyst Flask",4,0,0,45,120,[35]
40,4621,"Quartz Flask",4,0,0,40,121,"[1,6,6]"
41,4622,"Jade Flask",4,0,0,40,122,[1500]
42,4623,"Basalt Flask",4,0,0,50,123,[20]
43,4624,"Aquamarine Flask",4,0,0,50,124,[-40]
44,4625,"Stibnite Flask",4,0,0,50,126,[20]
45,4626,"Sulphur Flask",4,0,0,50,127,[40]
46,4627,"Silver Flask",4,0,0,40,128,[1]
47,4628,"Bismuth Flask",4,0,0,55,125,[35]
48,4629,"Gold Flask",4,0,0,30,129,[30]
49,4630,"Corundum Flask",4,0,0,50,1859,[30]
50,4631,"Iron Flask",4,0,0,30,130,[200]
