"rownum","ScarabType","Tier","BaseItemTypesKey"
0,0,1,7764
1,0,2,7765
2,0,3,7766
3,0,4,7767
4,1,1,7752
5,1,2,7753
6,1,3,7754
7,1,4,7755
8,2,1,7756
9,2,2,7757
10,2,3,7758
11,2,4,7759
12,3,1,7760
13,3,2,7761
14,3,3,7762
15,3,4,7763
16,4,1,7772
17,4,2,7773
18,4,3,7774
19,4,4,7775
20,5,1,7776
21,5,2,7777
22,5,3,7778
23,5,4,7779
24,6,1,7784
25,6,2,7785
26,6,3,7786
27,6,4,7787
28,7,1,7788
29,7,2,7789
30,7,3,7790
31,7,4,7791
32,8,1,7792
33,8,2,7793
34,8,3,7794
35,8,4,7795
36,9,1,7796
37,9,2,7797
38,9,3,7798
39,9,4,7799
40,10,1,7800
41,10,2,7801
42,10,3,7802
43,10,4,7803
44,11,1,7804
45,11,2,7805
46,11,3,7806
47,11,4,7807
48,12,1,7808
49,12,2,7809
50,12,3,7810
51,12,4,7811
52,13,1,7780
53,13,2,7781
54,13,3,7782
55,13,4,7783
56,14,1,7812
57,14,2,7813
58,14,3,7814
59,14,4,7815
60,15,1,7816
61,15,2,7817
62,15,3,7818
63,15,4,7819
