"rownum","Contract_BaseItemTypesKey","Level","Cost1_BaseItemTypesKeys","Cost1_Values","Cost2_BaseItemTypesKeys","Cost2_Values","Cost3_BaseItemTypesKeys","Cost3_Values","Cost4_BaseItemTypesKeys","Cost4_Values"
0,7879,1,[10],[1],[11],[1],[6],[1],[],[]
1,7879,46,[7],[1],[6],[1],[2],[1],[],[]
2,7880,1,[10],[1],[11],[1],[6],[1],[],[]
3,7880,46,[7],[1],[6],[1],[2],[1],[],[]
4,7881,1,[10],[1],[11],[1],[6],[1],[],[]
5,7881,46,[7],[1],[6],[1],[2],[1],[],[]
6,7882,1,[10],[1],[11],[1],[6],[1],[],[]
7,7882,46,[7],[1],[6],[1],[2],[1],[],[]
8,7883,1,[10],[1],[11],[1],[6],[1],[],[]
9,7883,46,[7],[1],[6],[1],[2],[1],[],[]
10,7884,1,[10],[1],[11],[1],[6],[1],[],[]
11,7884,46,[7],[1],[6],[1],[2],[1],[],[]
12,7885,1,[10],[1],[11],[1],[6],[1],[],[]
13,7885,46,[7],[1],[6],[1],[2],[1],[],[]
14,7886,1,[10],[1],[11],[1],[6],[1],[],[]
15,7886,46,[7],[1],[6],[1],[2],[1],[],[]
