"rownum","WorldAreasKey","BaseItemTypesKey","i32","MonsterVarietiesKey","PantheonPanelLayoutKey"
0,1084,7712,1390,3991,0
1,1251,7713,1391,7688,0
2,1227,7714,1392,4857,0
3,1119,7715,1393,2135,1
4,1172,7716,1394,3817,1
5,1091,7717,1395,2069,1
6,1183,7718,1396,4191,2
7,1188,7719,1397,3825,2
8,1192,7720,1398,5441,2
9,1153,7721,1399,2383,3
10,1202,7722,1400,1410,3
11,1249,7723,1401,7727,3
12,1197,7724,1403,5276,6
13,1127,7725,1406,5298,8
14,1212,7726,1407,5308,9
15,1215,7727,1408,5496,10
16,1173,7728,1402,5077,11
17,1118,7729,1405,5027,13
18,1222,7730,1409,5345,14
19,1145,7731,1404,1354,15
