"rownum","Id","ItemClassesKeys","string","Text"
0,"OneHandMelee","[7,56,11,12,9,6,32,10]","1HandedMelee","One Hand Melee"
1,"TwoHandMelee","[16,17,15,14,57]","2HandedMelee","Two Hand Melee"
2,"OneHandRanged",[8],"1HandedRange","One Hand Ranged"
3,"TwoHandRanged",[13],"2HandedRange","Two Hand Ranged"
4,"Shield",[26],"Shield","Shield"
5,"Helmet",[25],"Helmet","Helmet"
6,"BodyArmour",[24],"Armour","Body Armour"
7,"Gloves",[22],"Gloves","Gloves"
8,"Boots",[23],"Boots","Boots"
9,"Ring",[5],"Ring","Ring"
10,"Amulet",[4],"Amulet","Amulet"
11,"Belt",[21],"Belt","Belt"
12,"Flask","[0,1,2,33,34]","Flask","Flask"
13,"Quiver",[20],"Quiver","Quiver"
14,"Map",[35],"","Map"
15,"MapFragment",[38],"","Map Fragment"
16,"Jewel","[41,50]","","Jewel"
