"rownum","Id","rid","rid","bool","bool","bool","bool","i32","bool"
0,0,"",266,1,1,"",1,0,1
1,1,68,"","",1,"",1,0,1
2,2,152,153,"",1,"",1,0,1
3,3,267,268,"",1,"",1,0,1
4,4,"","","",1,"",1,0,1
5,5,267,"","",1,"",1,0,1
6,6,267,"",1,1,"",1,0,1
7,7,1400,"","","","",1,0,1
8,8,2064,"","","",1,1,0,1
9,9,2369,"","","",1,1,0,1
10,10,2528,"","","",1,1,0,1
11,11,2505,"","","","",1,0,1
12,12,2875,"","","","",1,0,1
13,13,267,"","",1,"",1,0,1
14,14,3203,"","",1,"",1,0,1
15,15,3204,"","",1,"",1,0,1
16,16,3205,"","",1,"",1,0,1
17,17,3256,"","","","",1,0,1
18,18,3396,"","","","",1,-100,1
19,19,491,266,1,"","",1,0,1
20,20,1796,"","","","",1,0,1
21,21,3601,"","","","",1,0,1
22,22,3688,"","","","",1,0,1
23,23,3689,"","","","",1,0,1
24,24,3690,"","","","",1,0,1
25,25,3847,"","","",1,1,0,1
26,26,4196,"","","","",1,0,1
27,27,4308,"","","","",1,0,1
28,28,4729,"","","","",1,0,1
29,29,4884,"",1,"",1,1,0,1
30,30,4907,"","",1,"",1,0,1
31,31,5164,"","","",1,1,0,1
32,32,5163,"","","","",1,0,1
33,33,5167,"","","",1,1,0,1
34,34,5168,"","","",1,1,0,1
35,35,5166,"","","",1,1,0,1
36,36,5213,"",1,1,1,1,0,1
37,37,5214,"",1,1,1,1,0,1
38,38,5612,"","",1,1,1,0,1
39,39,5711,"","","","",1,0,1
