"rownum","MonsterVarietiesKey","Spirit_ModsKeys","Touched_ModsKeys","Possessed_ModsKeys","MinZoneLevel","MaxZoneLevel","SpawnWeight","SummonedMonster_MonsterVarietiesKey","i32","ModsKeys0","ModsKeys1"
0,3352,[7941],"[7942,8118,8117,8122]","[7943,8034,8119,8121]",10,100,1000,"",125,[8160],[8161]
1,3353,[7944],"[7945,8118,8117,8122]","[7946,8032,8119,8121]",6,100,2500,"",125,[8160],[8161]
2,3354,[7947],"[7948,8118,8117,8122]","[7949,8034,8119,8121]",10,100,1000,2818,125,[8160],[8161]
3,3355,[7950],"[7951,8118,8117,8122]","[7952,8034,8119,8121]",10,100,1000,"",125,[8160],[8161]
4,3356,[7979],"[7980,8118,8117,8122]","[7981,8035,8119,8121]",30,100,500,"",125,[8160],[8161]
5,3357,[7992],"[7993,8118,8117,8122]","[7994,8034,8119,8121]",15,100,1000,"",8,[8160],[8161]
6,3358,"[7959,7960]","[7961,8118,8117,8122]","[7962,8034,8119,8121]",15,100,1000,1660,125,[8160],[8161]
7,3359,[7985],"[7986,8118,8117,8122]","[7987,8034,8119,8121]",6,100,1000,"",125,[8160],[8161]
8,3360,[7953],"[7954,8118,8117,8122]","[7955,8034,8119,8121]",20,100,1000,"",125,[8160],[8161]
9,3361,[7956],"[7957,8118,8117,8122]","[7958,8035,8119,8121]",30,100,500,268,125,[8160],[8161]
10,3362,[7963],"[7964,8118,8117,8122]","[7965,8032,8119,8121]",1,100,2500,"",125,[8160],[8161]
11,3363,[7966],"[7967,8118,8117,8122]","[7968,8032,7969,8119,8121]",1,100,2500,"",125,[8160],[8161]
12,3364,[],"[7970,8118,8117,8122]","[7971,8035,8119,8121]",60,100,1,"",125,[8160],[8161]
13,3365,[7972],"[7973,8118,8117,8122]","[7974,8035,8119,8121]",60,100,500,"",125,[8160],[8161]
14,3366,[7976],"[7977,8118,8117,8122]","[7978,8032,8119,8121]",1,100,2500,"",125,[8160],[8161]
15,3367,[7982],"[7983,8118,8117,8122]","[7984,8032,8119,8121]",6,100,2500,"",125,[8160],[8161]
16,3368,"[7988,7989]","[7990,8118,8117,8122]","[7991,8034,8119,8121]",20,100,1000,42,125,[8160],[8161]
17,3369,[7995],"[7996,8118,8117,8122]","[7997,8035,8119,8121]",40,100,500,"",10,[8160],[8161]
18,3370,[8001],"[8002,8118,8117,8122]","[8003,8034,8119,8121]",20,100,1000,"",125,[8160],[8161]
19,3371,[8004],"[8005,8118,8117,8122]","[8006,8032,8119,8121]",1,100,2500,"",125,[8160],[8161]
20,3372,[8008],"[8009,8118,8117,8122]","[8010,8034,8119,8121]",10,100,1000,"",125,[8160],[8161]
21,3373,[8011],"[8013,8118,8117,8122]","[8014,8012,8035,8119,8121]",40,100,500,"",125,[8160],[8161]
22,3376,[8015],"[8016,8118,8117,8122]","[8031,8017,8035,8119,8121]",1,100,0,"",125,[8160],[8161]
23,3374,[8018],"[8019,8118,8117,8122]","[8020,8033,8120,8121]",1,100,0,"",125,[8160],[8161]
24,3375,[8021],"[8022,8118,8117,8122]","[8023,8033,8120,8121]",1,100,0,"",125,[8160],[8161]
25,3377,[8024],"[8025,8118,8117,8122]","[8026,8032,8119,8121]",1,100,0,"",125,[8160],[8161]
26,3378,[8024],"[8025,8118,8117,8122]","[8027,8032,8119,8121]",1,100,0,"",125,[8160],[8161]
27,3379,[8024],"[8025,8118,8117,8122]","[8028,8032,8119,8121]",1,100,0,"",125,[8160],[8161]
28,3380,[8024],"[8025,8118,8117,8122]","[8029,8032,8119,8121]",1,100,0,"",125,[8160],[8161]
29,3381,[8024],"[8025,8118,8117,8122]","[8030,8032,8119,8121]",1,100,0,"",125,[8160],[8161]
30,3382,[18615],"[18616,8118,8117,8122]","[18617,8035,8119,8121]",68,100,0,3575,125,[8160],[8161]
31,3383,[18612],"[18613,8118,8117,8122]","[18614,8035,8119,8121]",68,100,0,"",125,[8160],[8161]
32,3384,[18618],"[18619,8118,8117,8122]","[18620,8035,8119,8121]",68,100,0,"",125,[8160],[8161]
33,6875,[],"[7964,8118,8117,8122]","[7965,8032,8119,8121]",1,100,0,"",125,[8160],[8161]
34,6876,[],"[7964,8118,8117,8122]","[7965,8032,8119,8121]",1,100,0,"",125,[8160],[8161]
35,6877,[],"[7964,8118,8117,8122]","[7965,8032,8119,8121]",1,100,0,"",125,[8160],[8161]
36,6878,[],"[7964,8118,8117,8122]","[7965,8032,8119,8121]",1,100,0,"",125,[8160],[8161]
37,6879,[],"[7964,8118,8117,8122]","[7965,8032,8119,8121]",1,100,0,"",125,[8160],[8161]
