"rownum","BaseItemTypesKey","SpawnWeight","ModsKey","Tier","bool","bool","rid","rid","i32"
0,4110,1818,9134,1,"","","","",3
1,4111,1818,9135,1,"","","","",0
2,4112,1818,9136,1,"","","","",0
3,4113,1818,9138,1,"","","","",0
4,4114,1818,9137,1,"","","","",0
5,4115,1818,9139,1,"","","","",0
6,4116,1818,9140,1,"","","","",0
7,4117,1818,9141,1,"","","","",0
8,4118,1,9159,1,"","","","",0
9,4119,1818,9160,1,"","","","",0
10,4120,1818,9161,1,"","","","",0
11,4121,1818,9162,1,"","","","",0
12,4134,2100,9163,2,"","","","",0
13,4122,2100,10790,2,"","","","",0
14,4123,2100,10786,2,"","","","",0
15,4124,2100,10789,2,"","","","",0
16,4125,2100,10791,2,"","","","",0
17,4126,2100,10787,2,"","","","",0
18,4127,350,10798,2,"","","","",0
19,4128,350,10798,2,"","","","",0
20,4129,350,10797,2,"","","","",0
21,4130,350,10797,2,"","","","",0
22,4131,350,10799,2,"","","","",0
23,4132,350,10799,2,"","","","",0
24,4133,2100,10795,2,"","","","",0
25,4135,2400,10788,3,"","","","",0
26,4136,2400,10796,3,"","","","",0
27,4137,2400,10794,3,"","","","",0
28,4138,2400,10800,3,"","","","",0
29,4139,2400,10792,3,"","","","",0
30,4140,800,10793,3,"","","","",0
31,4141,800,10793,3,"","","","",0
32,4142,800,10793,3,"","","","",0
33,4143,2400,10785,3,"","","","",0
34,4144,100,"",4,"","","","",0
