"rownum","SetId","AchievementsRequired","Rewards","TotemPieceEveryNAchievements","Message","NotificationIcon","HideoutName","string"
0,8,1,[500],0,"","","","SeraphBootsCerulean"
1,8,2,[499],0,"","","","SeraphBodyCerulean"
2,8,3,[501],0,"","","","SeraphGlovesCerulean"
3,8,4,[502],0,"","","","SeraphHelmetCerulean"
4,9,1,[512],0,"","","","SeraphBootsSanguine"
5,9,2,[511],0,"","","","SeraphBodySanguine"
6,9,3,[513],0,"","","","SeraphGlovesSanguine"
7,9,4,[514],0,"","","","SeraphHelmetSanguine"
8,7,1,[6509],0,"","","","HideoutTotemPole1"
9,10,1,[6511],0,"","","","HideoutTotemPole2"
10,11,5,[504],0,"","","","SeraphBootsGolden"
11,11,10,[505],0,"","","","SeraphGlovesGolden"
12,11,15,[503],0,"","","","SeraphBodyGolden"
13,11,20,[506],0,"","","","SeraphHelmetGolden"
14,12,7,[649],0,"","","","RigwaldBoots"
15,12,14,[650],0,"","","","RigwaldGloves"
16,12,21,[651],0,"","","","RigwaldBody"
17,12,28,[648],0,"","","","RigwaldHelmet"
18,12,18,[6513],2,"","","","HideoutTotemPole3"
19,13,12,[684],0,"","","","PerandusFootprints"
20,13,24,[685],0,"","","","PerandusWeapon"
21,13,36,[686],0,"","","","PerandusPortal"
22,13,19,[6515],3,"","","","HideoutTotemPole4"
23,14,12,[707],0,"","","","ProphecyFootprints"
24,14,24,[708],0,"","","","ProphecyWeapon"
25,14,36,[3464],0,"","","","NavaliMonkey"
26,14,19,[6517],3,"","","","HideoutTotemPole5"
27,15,12,[775],0,"","","","EssenceFootprints"
28,15,24,[773],0,"","","","EssenceWings"
29,15,36,[774],0,"","","","EssencePortal"
30,15,19,[6519],3,"","","","HideoutTotemPole6"
31,16,12,[832],0,"","","","BreachFootprints"
32,16,24,[813],0,"","","","BreachPortal"
33,16,36,[803],0,"","","","DemonicWings"
34,16,19,[6521],3,"","","","HideoutTotemPole7"
35,17,12,[890],0,"","","","LegacyFootprintsEffect"
36,17,24,[896],0,"","","","LegacyWeaponEffect"
37,17,36,[845],0,"","","","LegacyPortalEffect"
38,17,19,[6523],3,"","","","HideoutTotemPole8"
39,18,12,[996],0,"","","","HarbingerEyes"
40,18,24,"[997,998]",0,"","","","HarbingerCrownBundle"
41,18,36,[999],0,"","","","HarbingerCharacterEffect"
42,18,19,[6525],3,"","","","HideoutTotemPole9"
43,19,12,[1196],0,"","","","AbyssHelmet"
44,19,24,[1072],0,"","","","AbyssWings"
45,19,36,[1199],0,"","","","AbyssPortalEffect"
46,19,19,[6527],3,"","","","HideoutTotemPole10"
47,20,12,[1577],0,"","","","BestiaryHelmet"
48,20,24,[1557],0,"","","","BestiaryWings"
49,20,36,[1578],0,"","","","BestiaryPortalEffect"
50,20,19,[6529],3,"","","","HideoutTotemPole11"
51,21,1,[],0,"Congratulations!\nYou earned a Sin and Innocence Mystery Box!","Art/2DItems/Effects/MysteryChest/SinInnocenceMysteryBox.dds","Sin and Innocence Mystery Box","MysteryPackSinAndInnocenceBox"
52,22,12,[1614],0,"","","","IncursionBandana"
53,22,24,[1616],0,"","","","IncursionCloak"
54,22,36,[1617],0,"","","","IncursionPortalEffect"
55,22,19,[6531],3,"","","","HideoutTotemPole12"
56,23,1,[],0,"Congratulations!\nYou earned an Apocalypse Mystery Box!","Art/2DItems/Effects/MysteryChest/ApocalypseMysteryBox.dds","Apocalypse Mystery Box","MysteryPackApocalypseBox"
57,24,12,[3528],0,"","","","DelvePet"
58,24,24,[1792],0,"","","","DelveBackAttachment"
59,24,36,[1782],0,"","","","DelvePortalEffect"
60,24,19,[6533],3,"","","","HideoutTotemPole13"
61,25,12,[1848],0,"","","","BetrayalHelmetAttachment"
62,25,24,[1849],0,"","","","BetrayalAuraEffect"
63,25,36,[1850],0,"","","","BetrayalCloak"
64,25,19,[6535],3,"","","","HideoutTotemPole14"
65,26,12,"[2031,2032]",0,"","","","SynthesisHelmetBundle"
66,26,24,[3542],0,"","","","SynthesisPet"
67,26,36,[2033],0,"","","","SynthesisWings"
68,26,19,[6537],3,"","","","HideoutTotemPole15"
69,27,1,[],0,"Congratulations!\nYou earned a Glimmerwood Mystery Box!","Art/2DItems/Effects/MysteryChest/DarkwoodMysteryBox.dds","Glimmerwood Mystery Box","MysteryPackGlimmerwoodBox"
70,28,12,[2217],0,"Earned Monolith Crown Microtransaction!","","","LegionHelmet"
71,28,24,[2218],0,"Earned Monolith Aura Effect Microtransaction!","","","LegionAuraEffect"
72,28,36,[2219],0,"Earned Monolith Wings Microtransaction!","","","LegionWings"
73,28,19,[6539],3,"Earned Legion Totem!\nThe more challenges you complete, the bigger it gets!","","","HideoutTotemPole16"
74,29,12,[2306],0,"Earned Blight Helmet Microtransaction!","","","BlightHelmet"
75,29,24,[2307],0,"Earned Blight Portal Effect Microtransaction!","","","BlightPortalEffect"
76,29,36,[2308],0,"Earned Blight Wings Microtransaction!","","","BlightWings"
77,29,19,[6541],3,"Earned Blight Totem!\nThe more challenges you complete, the bigger it gets!","","","HideoutTotemPole17"
78,30,12,[2435],0,"Earned Metamorph Footprints Effect Microtransaction!","","","MetamorphFootprintsEffect"
79,30,24,[2436],0,"Earned Metamorph Weapon Effect Microtransaction!","","","MetamorphWeaponEffect"
80,30,36,[2437],0,"Earned Metamorph Portal Effect Microtransaction!","","","MetamorphPortalEffect"
81,30,19,[6543],0,"Earned Metamorph Totem!\nThe more challenges you complete, the bigger it gets!","","","HideoutTotemPole18"
82,31,12,[2548],0,"Earned Delirium Horn Microtransaction!","","","DeliriumHorns"
83,31,24,[2549],0,"Earned Delirium Cloak Microtransaction!","","","DeliriumCloak"
84,31,36,[2550],0,"Earned Delirium Wings Microtransaction!","","","DeliriumWings"
85,31,19,[6545],3,"Earned Delirium Totem!\nThe more challenges you complete, the bigger it gets!","","","HideoutTotemPole19"
86,32,12,[2710],0,"Earned Harvest Footprints Effect Microtransaction!","","","HarvestFootprintsEffect"
87,32,24,[2711],0,"Earned Harvest Cloak Microtransaction!","","","HarvestCloak"
88,32,36,[2712],0,"Earned Harvest Portal Effect Microtransaction!","","","HarvestPortalEffect"
89,32,19,[6547],3,"Earned Harvest Totem!\nThe more challenges you complete, the bigger it gets!","","","HideoutTotemPole20"
90,33,12,"[2814,2815,2816]",0,"Earned Heist Helmet Pack!","Art/2DItems/Effects/Hats/HeistHelmetPack.dds","","HeistHelmetPack"
91,33,24,[3621],0,"Earned Heist Cat Pet Microtransaction!","","","HeistPet"
92,33,36,[2817],0,"Earned Heist Portal Effect Microtransaction!","","","HeistPortalEffect"
93,33,19,[6549],3,"Earned Heist Totem!\nThe more challenges you complete, the bigger it gets!","","","HideoutTotemPole21"
94,34,1,[],0,"Congratulations!\nYou earned a Twilight Mystery Box!","Art/2DItems/Effects/MysteryChest/TwilightMysteryBox.dds","Twilight Mystery Box","MysteryPackTwilightBox"
95,35,1,[],0,"Congratulations!\nYou earned a Twilight Mystery Box!","Art/2DItems/Effects/MysteryChest/TwilightMysteryBox.dds","Twilight Mystery Box","MysteryPackTwilightBox"
96,36,1,[],0,"Congratulations!\nYou earned a Twilight Mystery Box!","Art/2DItems/Effects/MysteryChest/TwilightMysteryBox.dds","Twilight Mystery Box","MysteryPackTwilightBox"
97,37,12,[3018],0,"Congratulations!\nYou earned the Ritual Weapon Effect!","","","RitualWeaponEffect"
98,37,24,[3019],0,"Congratulations!\nYou earned the Ritual Character Effect!","","","RitualCharacterEffect"
99,37,36,[],0,"Congratulations!\nYou earned the Ritualist's Hideout!","Art/2DItems/Hideout/RitualHideout.dds","Ritualist's Hideout","HideoutRitualLeague"
