"rownum","StatsKey","Description","BaseItemTypesKey","ModsKey"
0,19086,"Quality (Elemental Damage Modifiers)",276,0
1,19087,"Quality (Caster Modifiers)",277,1
2,19088,"Quality (Attack Modifiers)",278,2
3,19089,"Quality (Defence Modifiers)",279,3
4,19090,"Quality (Life and Mana Modifiers)",280,4
5,19091,"Quality (Resistance Modifiers)",281,5
6,19092,"Quality (Attribute Modifiers)",282,6
7,19093,"Quality (Physical and Chaos Damage Modifiers)",283,7
8,19094,"Quality (Speed Modifiers)",284,8
9,19095,"Quality (Critical Modifiers)",285,9
