"rownum","Id","BaseItemTypesKey","i32","i32","i32","i32","i32","i32","bool","bool","bool","bool"
0,"Metadata/Items/Currency/Mushrune1",7821,132,40,0,1,1,68,1,"","",""
1,"Metadata/Items/Currency/Mushrune2",7822,232,40,1,1,1,68,1,"","",""
2,"Metadata/Items/Currency/Mushrune3",7823,331,40,2,1,1,68,1,"","",""
3,"Metadata/Items/Currency/Mushrune4",7824,433,40,3,1,1,68,1,"","",""
4,"Metadata/Items/Currency/Mushrune5",7825,531,40,4,1,1,68,1,"","",""
5,"Metadata/Items/Currency/Mushrune6",7826,633,40,5,1,1,68,1,"","",""
6,"Metadata/Items/Currency/Mushrune6b",7827,735,40,6,1,1,68,1,"","",""
7,"Metadata/Items/Currency/Mushrune7",7828,132,127,7,1,1,68,1,"","",""
8,"Metadata/Items/Currency/Mushrune8",7829,232,127,8,1,1,68,1,"","",""
9,"Metadata/Items/Currency/Mushrune9",7830,331,127,9,1,1,68,1,"","",""
10,"Metadata/Items/Currency/Mushrune10",7831,433,127,10,1,1,68,1,"","",""
11,"Metadata/Items/Currency/Mushrune11",7832,531,127,11,1,1,68,1,"","",""
12,"Metadata/Items/Currency/Mushrune12",7833,633,127,12,1,1,68,"","","",""
13,"CraftingItem","",364,230,13,2,4,59,"",1,"",""
14,"CraftingInputs1","",498,230,15,1,1,68,"","",1,""
15,"CraftingInputs2","",498,314,16,1,1,68,"","",1,""
16,"CraftingInputs3","",498,398,17,1,1,68,"","",1,""
17,"BlightedMapSlots","",52,555,18,60,1,56,"","","",""
18,"CraftingInputCorrupt","",574,282,78,1,1,68,"","",1,1
19,"Metadata/Items/Currency/MushruneCorrupt",7820,735,127,79,1,1,68,"","","",""
