"rownum","Id","MonsterVarietiesKey","i32","rid","bool","bool","i32","i32","bool","rid","rid","i32","bool","i32","string","bool","bool"
0,0,3270,125,"",1,1,0,0,"","","",0,"",0,"","",1
1,1,401,125,330,1,1,0,0,"","","",0,"",0,"","",1
2,2,3228,125,"",1,1,0,0,"","","",0,"",0,"","",1
3,3,1659,125,"",1,1,0,0,"","","",0,"",0,"","",1
4,4,1660,125,"",1,1,0,0,"","","",0,"",0,"","",1
5,5,268,125,330,1,1,0,0,"","","",0,"",0,"","",1
6,6,42,125,330,1,1,0,0,"","","",0,"",0,"","",1
7,7,"",11,409,1,1,0,0,"","","",0,"",0,"","",1
8,8,"",10,409,1,1,0,0,"","","",0,"",0,"","",1
9,9,"",9,330,1,1,0,0,"","","",0,"",0,"","",1
10,10,836,125,"",1,1,0,0,"","","",0,"",0,"","",1
11,11,"",12,"",1,1,0,0,"","","",0,"",0,"","",1
12,12,"",13,"",1,1,0,0,"","","",0,"",0,"","",1
13,13,843,125,"",1,1,0,0,"","","",0,"",0,"","",1
14,14,4040,125,246,1,1,0,0,"","","",0,"",0,"","",1
15,15,4098,125,"",1,1,0,0,"","","",0,"",0,"","",1
16,16,4099,125,"",1,1,0,0,"","","",0,"",0,"","",1
17,17,4100,125,"",1,1,0,0,"","","",0,"",0,"","",1
18,18,1043,125,"",1,1,0,0,"","","",0,"",0,"","",1
19,19,3843,125,"",1,1,0,0,"","","",0,"",0,"","",1
20,20,3226,125,"",1,1,0,0,"","","",0,"",0,"","",1
21,21,3494,125,"",1,1,0,0,"","","",0,"",0,"","",1
22,22,1661,125,"",1,1,0,0,"","","",0,"",0,"","",1
23,23,125,125,599,1,1,0,0,"","","",0,"",0,"","",1
24,24,419,125,599,1,1,0,0,"","","",0,"",0,"","",1
25,25,3872,125,"",1,1,0,0,"","","",0,"",0,"","",1
26,26,4031,125,330,1,1,0,0,"","","",0,"",0,"","",1
27,27,4032,125,330,1,1,0,0,"","","",0,"",0,"","",1
28,28,"",15,330,1,1,0,0,"","","",0,"",0,"","",1
29,29,"",16,330,1,1,0,0,"","","",0,"",0,"","",1
30,30,3617,125,526,1,1,0,0,"","","",0,"",0,"","",1
31,31,"",14,406,1,1,0,0,"","","",0,"",0,"","",1
32,32,3844,125,"",1,1,0,0,"","","",0,"",0,"","",1
33,33,3688,125,"",1,1,0,0,"","","",0,"",0,"","",1
34,34,3846,125,"",1,1,0,0,"","","",0,"",0,"","",1
35,35,3689,125,"",1,1,0,0,"","","",0,"",0,"","",1
36,36,3690,125,"",1,1,0,0,"","","",0,"",0,"","",1
37,37,3691,125,"",1,1,0,0,"","","",0,"",0,"","",1
38,38,2733,125,"",1,1,0,0,"","","",0,"",0,"","",1
39,39,2734,125,"",1,1,0,0,"","","",0,"",0,"","",1
40,40,2735,125,"",1,1,0,0,"","","",0,"",0,"","",1
41,41,1652,125,"",1,1,0,0,"","","",0,"",0,"","",1
42,42,795,125,20,1,1,0,0,"","","",0,"",0,"","",1
43,43,114,125,20,1,1,0,0,"","","",0,"",0,"","",1
44,44,296,125,20,1,1,0,0,"","","",0,"",0,"","",1
45,45,413,125,20,1,1,0,0,"","","",0,"",0,"","",1
46,46,124,125,599,1,1,0,0,"","","",0,"",0,"","",1
47,47,418,125,599,1,1,0,0,"","","",0,"",0,"","",1
48,48,3685,125,"",1,1,0,0,"","","",0,"",0,"","",1
49,49,3899,125,475,1,1,0,0,"","","",0,"",0,"","",1
50,50,3549,125,20,1,1,0,0,"","","",0,"",0,"","",1
51,51,3550,125,20,1,1,0,0,"","","",0,"",0,"","",1
52,52,3551,125,20,1,1,0,0,"","","",0,"",0,"","",1
53,53,4210,125,"",1,1,0,0,"","","",0,"",0,"","",1
54,54,3230,125,"",1,1,0,0,"","","",0,"",0,"","",1
55,55,4304,125,"",1,1,0,0,"","","",0,"",0,"","",1
56,56,3874,125,"",1,1,0,0,"","","",0,"",0,"","",1
57,57,2379,125,"",1,1,0,0,"","","",0,"",0,"","",1
58,58,2380,125,"",1,1,0,0,"","","",0,"",0,"","",1
59,59,1392,125,758,1,1,0,0,"","","",0,"",0,"","",1
60,60,4437,125,"",1,1,0,0,"","","",0,"",0,"","",1
61,61,4439,125,450,1,1,0,0,"","","",0,"",0,"","",1
62,62,2780,125,"",1,1,0,0,"","","",0,"",0,"","",1
63,63,4305,125,"",1,1,0,0,"","","",0,"",0,"","",1
64,64,4306,125,"",1,1,0,0,"","","",0,"",0,"","",1
65,65,4307,125,"",1,1,0,0,"","","",0,"",0,"","",1
66,66,4525,125,"",1,1,0,0,"","","",0,"",0,"","",1
67,67,1370,125,"",1,1,0,0,"","","",0,"",0,"","",1
68,68,1370,125,"",1,1,0,0,"","","",0,"",0,"","",1
69,69,1370,125,"",1,1,0,0,"","","",0,"",0,"","",1
70,70,1370,125,"",1,1,0,0,"","","",0,"",0,"","",1
71,71,3031,125,282,1,1,0,0,"","","",0,"",0,"","",1
72,72,3032,125,282,1,1,0,0,"","","",0,"",0,"","",1
73,73,4311,125,"",1,1,0,0,"","","",0,"",0,"","",1
74,74,4359,125,760,1,1,0,0,"","","",0,"",0,"","",1
75,75,284,125,793,1,1,0,0,"","","",0,"",0,"","",1
76,76,4308,125,"",1,1,0,0,"","","",0,"",0,"","",1
77,77,4202,125,"",1,1,0,0,"","","",0,"",0,"","",1
