"rownum","Id","BaseItemType","PosX","PosY","i32","i32","Width","Height","i32","bool"
0,"Metadata/Items/Currency/CurrencyRefreshBarter",8156,368,193,0,4,1,1,74,1
1,"Metadata/Items/Currency/CurrencyRefreshDealer",8157,571,193,1,4,1,1,74,1
2,"Metadata/Items/Currency/CurrencyRefreshGambler",8158,170,193,2,4,1,1,74,1
3,"Metadata/Items/Currency/CurrencyRefreshSaga",8159,769,193,3,4,1,1,74,1
4,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction1_1",8160,120,288,0,0,1,1,74,1
5,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction1_2",8161,120,380,0,1,1,1,74,1
6,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction1_3",8162,211,288,1,0,1,2,82,1
7,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction1_4",8163,123,476,0,2,2,2,82,1
8,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction2_1",8164,321,288,0,5,1,1,74,1
9,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction2_2",8165,321,380,0,6,1,1,74,1
10,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction2_3",8166,414,288,1,5,1,2,82,1
11,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction2_4",8167,324,476,0,7,2,2,82,1
12,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction3_1",8168,519,288,2,0,1,1,74,1
13,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction3_2",8169,519,380,2,1,1,1,74,1
14,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction3_3",8170,613,288,3,0,1,2,82,1
15,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction3_4",8171,523,476,2,2,2,2,82,1
16,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction4_1",8172,721,288,2,5,1,1,74,1
17,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction4_2",8173,721,380,2,6,1,1,74,1
18,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction4_3",8174,813,288,3,5,1,2,82,1
19,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction4_4",8175,725,476,2,7,2,2,82,1
20,"Metadata/Items/Expedition/ExpeditionLogbook",8153,112,690,4,0,10,6,78,""
