"rownum","Id","BaseItemTypesKey","PosX","PosY","Order","SizeX","SizeY","bool","i32","i32"
0,"Metadata/Items/MapFragments/CurrencyVaalFragment1_1",5997,220,99,0,1,1,"",0,70
1,"Metadata/Items/MapFragments/CurrencyVaalFragment1_2",5998,220,193,1,1,1,"",0,70
2,"Metadata/Items/MapFragments/CurrencyVaalFragment1_3",5999,122,193,2,1,1,"",0,70
3,"Metadata/Items/MapFragments/CurrencyVaalFragment1_4",6000,122,99,3,1,1,"",0,70
4,"Metadata/Items/MapFragments/CurrencyVaalFragment2_1",6002,744,99,4,1,1,"",0,70
5,"Metadata/Items/MapFragments/CurrencyVaalFragment2_2",6003,744,193,5,1,1,"",0,70
6,"Metadata/Items/MapFragments/CurrencyVaalFragment2_3",6004,647,193,6,1,1,"",0,70
7,"Metadata/Items/MapFragments/CurrencyVaalFragment2_4",6005,647,99,7,1,1,"",0,70
8,"Metadata/Items/MapFragments/CurrencyProphecyFragment1",6007,482,99,8,1,1,"",0,70
9,"Metadata/Items/MapFragments/CurrencyProphecyFragment2",6008,482,193,9,1,1,"",0,70
10,"Metadata/Items/MapFragments/CurrencyProphecyFragment3",6009,385,193,10,1,1,"",0,70
11,"Metadata/Items/MapFragments/CurrencyProphecyFragment4",6010,385,99,11,1,1,"",0,70
12,"Metadata/Items/MapFragments/CurrencyShaperFragment1",6012,482,674,12,1,1,"",0,70
13,"Metadata/Items/MapFragments/CurrencyShaperFragment2",6013,482,768,13,1,1,"",0,70
14,"Metadata/Items/MapFragments/CurrencyShaperFragment3",6014,385,768,14,1,1,"",0,70
15,"Metadata/Items/MapFragments/CurrencyShaperFragment4",6015,385,674,15,1,1,"",0,70
16,"Metadata/Items/MapFragments/CurrencyFragmentPantheonFlask",6027,122,542,16,1,1,"",0,70
17,"Metadata/Items/MapFragments/CurrencyBreachFragmentFire",6028,228,315,17,1,1,"",1,74
18,"Metadata/Items/MapFragments/CurrencyBreachFragmentCold",6029,329,315,18,1,1,"",1,74
19,"Metadata/Items/MapFragments/CurrencyBreachFragmentLightning",6030,430,315,19,1,1,"",1,74
20,"Metadata/Items/MapFragments/CurrencyBreachFragmentPhysical",6031,532,315,20,1,1,"",1,74
21,"Metadata/Items/MapFragments/CurrencyBreachFragmentChaos",6032,633,315,21,1,1,"",1,74
22,"Metadata/Items/Currency/CurrencyBreachFireShard",182,228,197,22,1,1,1,1,74
23,"Metadata/Items/Currency/CurrencyBreachColdShard",183,329,197,23,1,1,1,1,74
24,"Metadata/Items/Currency/CurrencyBreachLightningShard",184,430,197,24,1,1,1,1,74
25,"Metadata/Items/Currency/CurrencyBreachPhysicalShard",185,532,197,25,1,1,1,1,74
26,"Metadata/Items/Currency/CurrencyBreachChaosShard",186,633,197,26,1,1,1,1,74
27,"Metadata/Items/MapFragments/CurrencyOfferingToTheGoddess",6054,247,542,27,1,1,"",0,70
28,"Metadata/Items/Scarabs/ScarabBreach1",7752,491,677,28,1,1,"",2,75
29,"Metadata/Items/Scarabs/ScarabBreach2",7753,592,677,29,1,1,"",2,75
30,"Metadata/Items/Scarabs/ScarabBreach3",7754,693,677,30,1,1,"",2,75
31,"Metadata/Items/Scarabs/ScarabMaps1",7756,491,287,31,1,1,"",2,75
32,"Metadata/Items/Scarabs/ScarabMaps2",7757,592,287,32,1,1,"",2,75
33,"Metadata/Items/Scarabs/ScarabMaps3",7758,693,287,33,1,1,"",2,75
