"rownum","Id","BuffDefinitionsKey","i32","i32","i32","i32","i32","i32","i32","i32","i32","[i32]","rid","f32","bool","[rid]"
0,"UltimatumRecoveryDebuff1",1776,3,0,60,0,0,0,0,72,0,[],"",0,1,[]
1,"UltimatumAreaAndProjectileSpeedDebuff",1777,2,0,150,0,0,0,0,158,0,[],"",0,1,[]
2,"UltimatumBuffsExpireFaster",1778,1,0,214,0,0,0,0,218,0,[],"",0,1,[]
3,"UltimatumCooldownSpeedDebuff",1779,1,0,278,0,0,0,0,282,0,[],"",0,1,[]
4,"UltimatumVulnerabilityDebuff",1772,1,0,342,0,0,0,0,346,0,"[-100,1,-50]","",0,1,[]
5,"UltimatumMonsterSpeedBuff",1783,3,0,412,0,0,0,0,424,0,"[-100,5,0]","",0,1,[]
6,"Unhinged",1696,0,0,72,0,0,0,0,456,0,[],"",0,1,[]
7,"PainSuppression",1788,3,0,490,0,0,0,0,502,0,[],"",0,1,"[13984,13916,14069]"
8,"PlayerDebuffExtraCriticalRolls",1801,1,0,614,0,0,0,0,618,0,[],"",0,1,[]
9,"PlayerDebuffHinderedMsOnFlaskUse",1802,1,0,686,0,0,0,0,690,0,[],"",0,1,[]
10,"PlayerDebuffCancelFlaskEffectOnFlaskUse",1803,1,0,772,0,0,0,0,776,0,[],"",0,1,[]
11,"PlayerDebuffCursesandNonDamagingAilmentsReflectedToSelf",1804,2,0,890,0,0,0,0,898,0,[],"",0,1,[]
12,"PlayerDebuffSelfLightningDamageOnSkillUseManaSpentOnCost",1805,1,0,1014,0,0,0,0,1018,0,[],"",0,1,[]
13,"PlayerDebuffRandomProjectileDirection",1806,1,0,772,0,0,0,0,1096,0,[],"",0,1,[]
14,"UltimatumFrostInfection",345,0,0,72,0,1,1,0,1146,0,[],1525,0,1,[]
15,"PlayerDebuffAurasAlsoAffectEnemies",1808,1,0,772,0,0,0,0,1222,0,[],"",0,1,[]
16,"ScionMovementSpeed",488,1,0,1262,0,60,3,0,1266,0,[],"",0,1,[]
17,"OccultistWitherNearbyEnemies",1223,1,0,1338,0,0,0,0,1342,0,[],"",0,1,[]
18,"ScionAuguryOfPenitence",569,1,0,1390,0,60,1,0,1394,0,[],"",0,1,[]
19,"OccultistPowerChargeOnManaSpent",919,0,0,72,0,0,0,0,1464,0,[],"",0,1,[]
20,"OccultistNearbyEnemiesColdChaosResistLifeRegen",617,3,0,1560,0,60,1,0,1572,0,[],"",0,1,[]
21,"ChampionMovementSpeed",487,1,0,1622,0,60,3,0,1626,0,[],"",0,1,[]
22,"JuggernautPhysDamagePreventedAsLifeRegen",1060,0,0,72,0,0,0,0,1722,0,[],"",0,1,[]
23,"OccultistFreezeNearbyChilledEnemies",1224,2,0,1796,0,0,0,0,1804,0,[],"",0,1,[]
24,"ChampionFortify",393,1,0,1838,0,0,0,0,1842,0,[],"",0,1,[]
25,"PendulumOfDestruction",1041,0,0,72,0,0,0,0,1888,0,[],"",0,1,[]
26,"ChieftanPhysicalAsFireCycle",1047,1,0,342,0,0,0,0,1946,0,[],"",0,1,[]
27,"ChampionDamageAgainstImpaled",1228,2,0,2006,0,60,3,0,2014,0,[],"",0,1,[]
28,"SaboteurBlind",1496,0,0,72,0,35,1,0,2056,0,[9],"",0,1,[]
29,"AuguryOfPenitence",568,2,0,2102,0,60,1,0,2110,0,[],"",0,1,[]
30,"OccultistNearbyChilledEnemiesReducedHitDamage",1226,1,0,2208,0,60,1,0,2212,0,[],"",0,1,[]
31,"OccultistNearbyHinderedEnemiesReducedDotDamage",1227,1,0,2312,0,60,1,0,2316,0,[],"",0,1,[]
32,"TricksterGhostDance",1260,0,0,72,0,0,0,0,2362,0,[],"",0,1,[]
33,"SlayerCritMultiplier",1319,1,0,2406,0,60,1,0,2410,0,[],"",0,1,[]
34,"GuardianDamageSpeedAreaIntimidate",1340,4,0,2484,0,60,2,0,2500,0,[],"",0,1,[]
35,"AfflictionNearbyEnemiesChilled",1496,0,0,72,0,30,1,0,2572,0,[1],"",0,1,[]
36,"AfflictionNearbyEnemiesFireExposure",1496,0,0,72,0,30,1,0,2650,0,"[3,-10]","",0,1,[]
37,"ReplenishingPresenceLifeRegenAura",1540,1,0,2732,0,60,3,0,2736,0,[],"",0,1,[]
38,"DeadeyeTailwind",1068,1,0,2782,0,60,3,0,2786,0,[],"",0,1,[]
39,"ScionTailwind",1068,1,0,2782,0,60,3,0,2828,0,[],"",0,1,[]
40,"UltimatumDealNoDamageFor2SecondEvery8Seconds",1821,0,0,72,0,0,0,0,2932,0,"[8000,2000]","",0,1,[]
41,"UltimatumLoseChargesEverySecond",1822,0,0,72,0,0,0,0,3006,0,[1000],"",0,1,[]
42,"UltimatumAltarProtection",1825,0,0,72,0,22,2,0,3058,0,[],1540,0,1,[]
43,"UltimatumRecoveryDebuff2",1776,3,0,3118,0,0,0,0,3130,0,[],"",0,1,[]
44,"WitherNearbyEnemiesRoyale",1223,1,0,3184,0,0,0,0,3188,0,[],"",0,1,[]
