"rownum","string","rid","i32","string","string","i32","bool","i32","i32"
0,"Act1",0,1,"Art/2DArt/UIImages/InGame/WorldPanelMapAct1","",0,"",2565,1155
1,"Act2",0,2,"Art/2DArt/UIImages/InGame/WorldPanelMapAct2","",0,"",2565,1155
2,"Act3",0,3,"Art/2DArt/UIImages/InGame/WorldPanelMapAct3","",0,"",2565,1155
3,"Act4",0,4,"Art/2DArt/UIImages/InGame/WorldPanelMapAct4","",0,"",2565,1155
4,"Act5",0,5,"Art/2DArt/UIImages/InGame/WorldPanelMapAct5","",0,"",2565,1155
5,"Act6",1,6,"Art/2DArt/UIImages/InGame/WorldPanelMapAct6","",0,"",2565,1155
6,"Act7",1,7,"Art/2DArt/UIImages/InGame/WorldPanelMapAct7","",0,"",2565,1155
7,"Act8",1,8,"Art/2DArt/UIImages/InGame/WorldPanelMapAct8","",0,"",2565,1155
8,"Act9",1,9,"Art/2DArt/UIImages/InGame/WorldPanelMapAct9","",0,"",2565,1155
9,"Act10",1,10,"Art/2DArt/UIImages/InGame/WorldPanelMapAct10","",0,"",2565,1155
10,"Epilogue",2,11,"Art/2DArt/UIImages/InGame/WorldPanelMapAct11","Art/2DArt/UIImages/InGame/WorldPanelMapEpilogue2",0,"",2565,1155
11,"Epilogue2",2,12,"Art/2DArt/UIImages/InGame/WorldPanelConquerors","",0,1,60,275
12,"Epilogue3",2,13,"Art/2DArt/UIImages/InGame/WorldPanelMaven","",0,1,60,374
