"rownum","Id","ExtraFeature","ExpeditionFaction","MinLevel","MaxLevel","i32","Area","ExpeditionAreas","i32","bool","UnearthAchievements"
0,"Boss1",27,0,68,100,1,"",[],1000,1,[]
1,"Boss2",28,1,68,100,1,"",[],1000,1,[]
2,"Boss3",24,2,75,100,1,1721,[],1000,1,[]
3,"Boss4",24,3,81,100,1,1722,[],1000,1,[]
4,"CryptArchers",25,1,1,100,1,1723,"[4,6,8,9,11]",12000,"",[8177]
5,"Sewers",25,"",1,100,1,1724,"[4,7,8,13]",12000,"",[8178]
6,"UndergroundSand",25,"",1,100,1,1725,"[3,4,7,8,11]",12000,"",[8179]
7,"CryptSarcophagi",25,"",1,100,1,1726,"[6,9,10,11,12]",12000,"",[8180]
8,"PirateCave",26,"",1,100,1,1727,"[1,2,5,15]",12000,"",[8181]
9,"ForgottenGrotto",26,"",1,100,1,1728,"[1,2,5,9,12,14,15]",12000,"",[8182]
10,"BaitCave",26,3,81,100,1,1730,"[1,2,5,14]",1,"",[]
11,"FungiDungeon",26,0,1,100,1,1729,"[3,4,10,13]",12000,"",[8183]
12,"SealedVault",25,2,1,100,1,1731,"[3,4,6,8,13]",12000,"",[8184]
13,"SpiderNest",25,"",1,100,1,1732,"[1,2,3,4,6,10,13,14]",12000,"",[8185]
