"rownum","Id","BaseItemTypesKeys","WorldAreasKey","MicrotransactionPortalVariation","AreaLevel","i32","i32","IsLegionMap","bool","bool","bool","[rid]"
0,"Disabled","[6055,6056,6057]",0,"",0,2565,1,"","","","",[]
1,"Atziri1","[5997,5998,5999,6000]",745,24,0,2565,0,"","","","",[]
2,"Atziri2","[6002,6003,6004,6005]",746,24,0,2565,0,"","","","",[]
3,"VaalFragment1_1",[5997],1482,"",72,2565,0,"","","","",[]
4,"VaalFragment1_2",[5998],1482,"",70,2565,0,"","","","",[]
5,"VaalFragment1_3",[5999],1482,"",71,2565,0,"","","","",[]
6,"VaalFragment1_4",[6000],1482,"",69,2565,0,"","","","",[]
7,"VaalFragment2_1",[6002],1482,"",74,2565,0,"","","","",[]
8,"VaalFragment2_2",[6003],1482,"",76,2565,0,"","","","",[]
9,"VaalFragment2_3",[6004],1482,"",75,2565,0,"","","","",[]
10,"VaalFragment2_4",[6005],1482,"",73,2565,0,"","","","",[]
11,"PaleCourt","[6007,6008,6009,6010]",274,"",0,2565,0,"","","","",[]
12,"ShapersRealm","[6012,6013,6014,6015]",1233,20,0,2565,0,"",1,"","",[]
13,"EldersRealm","[6017,6018,6019,6020]",1266,108,0,2565,0,"",1,"","",[]
14,"UberEldersRealm","[6022,6023,6024,6025]",1267,20,0,2565,0,"",1,"","",[]
15,"BreachDomainFire",[6028],1052,"",0,2565,0,"","","","",[]
16,"BreachDomainCold",[6029],1053,"",0,2565,0,"","","","",[]
17,"BreachDomainLightning",[6030],1054,"",0,2565,0,"","","","",[]
18,"BreachDomainPhysical",[6031],1050,"",0,2565,0,"","","","",[]
19,"BreachDomainChaos",[6032],1051,"",0,2565,0,"","","","",[]
20,"ClassicVault",[6058],275,27,0,2565,0,"","","","",[]
21,"MaligaroMap",[4749],106,"",0,1283,0,"","","","",[]
22,"340Vault",[6059],276,27,0,2565,0,"","","","",[]
23,"BreachDomainFire2",[6033],1057,"",0,2565,0,"","","","",[]
24,"BreachDomainCold2",[6034],1058,"",0,2565,0,"","","","",[]
25,"BreachDomainLightning2",[6035],1059,"",0,2565,0,"","","","",[]
26,"BreachDomainPhysical2",[6036],1055,"",0,2565,0,"","","","",[]
27,"BreachDomainChaos2",[6037],1056,"",0,2565,0,"","","","",[]
28,"BreachDomainFire3",[6038],1062,"",0,2565,0,"","","","",[]
29,"BreachDomainCold3",[6039],1063,"",0,2565,0,"","","","",[]
30,"BreachDomainLightning3",[6040],1064,"",0,2565,0,"","","","",[]
31,"BreachDomainPhysical3",[6041],1060,"",0,2565,0,"","","","",[]
32,"BreachDomainChaos3",[6042],1061,"",0,2565,0,"","","","",[]
33,"BreachDomainFire4",[6043],1067,"",0,2565,0,"","","","",[]
34,"BreachDomainCold4",[6044],1068,"",0,2565,0,"","","","",[]
35,"BreachDomainLightning4",[6045],1069,"",0,2565,0,"","","","",[]
36,"BreachDomainPhysical4",[6046],1065,"",0,2565,0,"","","","",[]
37,"BreachDomainChaos4",[6047],1066,"",0,2565,0,"","","","",[]
38,"EndgameLegionMap","[6048,6050,6051,6052,6049]",1277,86,0,2565,2,1,"","","",[]
39,"EndgameLegionMap2","[6048,6050,6051,6052,6049]",1278,86,0,2565,3,1,"","","",[]
40,"EndgameLegionMap3","[6048,6050,6051,6052,6049]",1279,86,0,2565,4,1,"","","",[]
41,"EndgameLegionMap4","[6048,6050,6051,6052,6049]",1280,86,0,2565,5,1,"","","",[]
42,"AfflictionBoss",[6053],1483,122,0,2565,0,"","","","",[]
43,"MavenFight","[8074,8075,8076,8077,8078,8079,8080,8081,8082,8083,8084,8085,8086,8087,8088,8089,8090,8091,8092,8093,8094,8095,8096,8097,8098,8099,8100,8101,8102,8103,8104,8105,8106,8107,8108,8109,8110,8111,8112,8113,8114,8115,8116,8117,8118]",1697,157,0,2565,1,1,"",1,1,[]
44,"MavenBoss",[8119],1698,157,0,2565,0,1,"","",1,[]
45,"UberLabTrial",[6054],1484,14,0,2565,0,"","","","",[7778]
46,"VaalVault",[6060],277,24,0,2565,0,"","","","",[]
47,"IncursionTemple",[8145],284,50,0,2565,0,"","","","",[]
48,"UltimatumTrial",[8146],1704,159,0,2565,0,"","","",1,[]
49,"HarvestBoss",[8147],1283,135,0,2565,0,"","","","",[]
