"rownum","BaseItemTypesKey","Word","FlavourTextKey","ItemVisualIdentityKey","bool"
0,5510,97,79,6103,1
1,5542,214,216,7163,1
2,5499,215,217,7164,""
3,5545,301,303,7317,1
4,5529,363,390,7468,1
5,5520,386,413,8073,1
6,5504,148,149,6987,1
7,5572,97,79,6103,1
8,5611,301,303,7317,1
9,5592,363,390,7468,1
10,5582,386,413,8073,1
11,5625,587,573,8074,1
12,5584,643,802,9287,1
13,5615,700,889,9356,1
14,5566,148,149,6987,1
15,5556,152,153,7006,1
16,5578,154,159,7049,1
17,5590,184,191,7082,1
18,5573,207,209,7099,1
19,5596,211,213,7103,1
20,5595,214,216,7163,1
21,5561,215,217,7164,""
22,5493,152,153,7006,1
23,5664,97,79,6103,1
24,5785,301,303,7317,1
25,5706,363,390,7468,1
26,5756,386,413,8073,1
27,5766,587,573,8074,1
28,5774,643,802,9287,1
29,5777,700,889,9356,1
30,5750,784,1045,9673,1
31,5672,786,1047,9674,1
32,5816,928,1421,9900,""
33,5817,928,1421,9901,""
34,5738,148,149,6987,1
35,5818,928,1421,9902,""
36,5802,930,1442,9904,1
37,5799,934,1443,9905,""
38,5748,152,153,7006,1
39,5754,154,159,7049,1
40,5760,184,191,7082,1
41,5758,207,209,7099,1
42,5780,211,213,7103,1
43,5718,214,216,7163,1
44,5744,215,217,7164,""
45,5516,154,159,7049,1
46,5891,97,79,6103,1
47,5938,301,303,7317,1
48,5843,363,390,7468,1
49,5920,386,413,8073,1
50,5894,587,573,8074,1
51,5884,643,802,9287,1
52,5844,700,889,9356,1
53,5908,784,1045,9673,1
54,5875,786,1047,9674,1
55,5970,928,1421,9900,""
56,5971,928,1421,9901,""
57,5874,148,149,6987,1
58,5972,928,1421,9902,""
59,5899,930,1442,9904,1
60,5859,934,1443,9905,""
61,5882,938,1444,9906,1
62,5918,152,153,7006,1
63,5933,154,159,7049,1
64,5906,184,191,7082,1
65,5896,207,209,7099,1
66,5937,211,213,7103,1
67,5883,214,216,7163,1
68,5897,215,217,7164,""
69,5527,184,191,7082,1
70,5515,206,208,7098,1
71,5511,207,209,7099,1
72,5552,209,211,7103,1
73,5532,211,213,7103,1
74,5531,223,225,7172,1
75,5973,928,1421,9903,""
