"rownum","i32","[rid]","[rid]","i32","i32","i32","i32","i32","bool","i32","i32","i32","bool","bool","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","bool","bool","i32","i32","bool","i32","bool","rid","[i32]","i32","bool","bool","rid","bool","[rid]","bool","bool","rid","bool","[rid]","bool","bool"
0,0,[],[],100,2,3,25,0,1,3,2,0,1,"",0,0,8,0,1,0,7,0,1,0,"","",210,7,"",0,"","",[],1,1,1,"","",[],"",1,"","",[],"",""
1,1,[],[],100,2,3,25,0,1,3,2,0,1,"",0,0,8,0,1,0,7,0,1,0,"","",180,7,"",0,"","",[],1,1,1,"","",[],"",1,"","",[],"",""
2,2,[],[],100,2,3,25,0,1,3,2,0,1,"",0,0,8,0,1,0,7,0,1,0,"","",210,7,"",0,"","",[],1,1,1,"","",[],"",1,"","",[],"",""
3,3,[],[],100,2,3,25,0,1,3,2,0,1,"",0,0,8,0,1,0,7,0,1,0,"","",270,7,"",0,"","",[],1,1,1,"","",[],"",1,"","",[],"",""
4,4,[],[],250,2,3,20,0,1,3,2,0,1,"",0,0,8,0,1,0,7,0,1,0,"","",350,7,"",0,"","",[],1,1,1,"","",[],"",1,"","",[],"",""
5,5,[],[],250,2,3,20,0,1,3,2,0,1,"",0,0,8,0,1,0,7,0,1,0,"","",140,7,"",0,"","",[],1,1,1,"","",[],"",1,"","",[],"",""
6,6,[],[],0,2,3,20,0,1,3,2,0,1,"",0,0,8,0,1,0,7,0,1,0,"","",140,7,"",0,"","",[],1,1,1,"","",[],"",1,"","",[],"",""
7,7,[],[],0,2,3,20,0,1,3,2,0,1,"",0,0,8,0,1,0,7,0,1,0,"","",140,7,"",0,"","",[],1,1,1,"","",[],"",1,"","",[],"",""
8,8,[],[],0,2,3,15,0,1,3,2,0,1,"",0,0,8,0,1,0,7,0,1,0,"","",140,7,"",0,"","",[],1,1,1,"","",[],"",1,"","",[],"",""
9,9,[],[],0,2,2,30,0,1,6,2,100,1,"",0,0,8,0,1,0,7,0,1,0,"","",150,7,"",0,"","",[],1,1,1,"","",[],"",1,"","",[],"",""
10,10,[],[],0,1,3,17,0,1,13,13,0,1,"",0,0,8,0,1,0,7,0,1,0,"","",0,7,"",0,"","",[],1,1,1,"","",[],"",1,"","",[],"",""
11,11,[],[],0,3,3,0,7,1,3,2,0,1,"",0,0,8,0,1,0,7,0,1,0,"","",0,7,"",0,"","",[],1,1,1,"","",[],"",1,"","",[],"",""
12,12,[763],[],0,1,4,10,0,1,13,13,0,1,"",0,0,8,0,1,0,7,0,1,0,"","",0,7,"",0,"","",[],1,1,1,"","",[],"",1,"","",[],"",""
13,13,[],[],0,1,2,10,0,1,13,13,0,1,"",0,0,8,0,1,0,7,0,1,0,"","",0,7,"",0,"","",[],1,1,1,"","",[],"",1,"","",[],"",""
14,14,[1922],[],0,1,2,10,0,1,13,13,0,1,"",0,0,8,0,1,0,7,0,1,0,"","",0,7,"",0,"","",[],1,1,1,"","",[],"",1,"","",[],"",""
15,15,[],[],0,2,2,15,0,1,4,2,0,1,"",0,0,8,0,1,0,7,0,1,0,"","",120,7,"",0,"","",[],1,1,1,"","",[],"",1,"","",[],"",""
16,16,[],[],0,1,2,15,0,1,13,13,0,1,"",0,0,8,0,1,0,7,0,1,0,"","",0,7,"",0,"","",[],1,1,1,"","",[],"",1,"","",[],"",""
17,17,[1828],[],100,1,2,20,0,1,13,13,0,1,"",0,0,8,0,1,0,7,0,1,0,"","",0,7,"",0,"","",[],1,1,1,"","",[],"",1,"","",[],"",""
18,18,[],[],250,2,2,40,0,1,3,13,0,1,"",0,0,8,0,1,0,4,0,1,0,"","",350,7,"",0,"","",[],1,1,1,"","",[],"",1,"","",[],"",""
19,19,[1947],[],0,1,3,15,0,1,13,13,0,1,"",0,0,8,0,1,0,7,0,1,0,"","",0,7,"",0,"","",[],1,1,1,"","",[],"",1,"","",[],"",""
20,20,[],[],0,2,2,30,0,1,6,2,100,1,"",0,0,8,0,1,0,7,0,1,0,"","",270,7,"",0,"","",[],1,1,1,"","",[],"",1,"","",[],"",""
21,21,[2075],[],0,2,2,20,0,1,6,2,10,1,"",0,0,8,0,1,0,4,0,1,0,"","",160,7,"",0,"","",[],1,1,1,"","",[],"",1,"","",[],"",""
