"rownum","MapPinsKey0","MapPinsKey1","i32","RestrictedAreaText","i32","i32","i32","i32","i32","i32","i32"
0,0,1,1,"You must complete the quest 'Enemy at the Gate' first.",2,2565,2565,0,0,120,0
1,0,2,2565,"",2565,2565,2565,0,0,124,0
2,2,3,2565,"",2565,2565,2565,0,0,124,0
3,2,4,2565,"",2565,2565,2565,0,0,124,0
4,4,5,2565,"",2565,2565,2565,0,0,124,0
5,4,7,25,"You must complete the quest 'Breaking Some Eggs' first.",26,2565,2565,0,0,238,0
6,7,6,2565,"",2565,2565,2565,0,0,238,0
7,7,8,2565,"",2565,2565,2565,0,0,238,0
8,8,9,2565,"",2565,2565,2565,0,0,238,0
9,9,10,2565,"",2565,2565,2565,0,0,238,0
10,10,11,2565,"",2565,2565,2565,0,0,238,0
11,11,12,2565,"",2565,2565,2565,0,0,238,0
12,12,13,2565,"",2565,2565,2565,0,0,238,0
13,12,14,2565,"",2565,2565,2565,0,0,238,0
14,17,18,2565,"",2565,2565,2565,0,0,238,0
15,17,19,2565,"",2565,2565,2565,0,0,238,0
16,17,25,2565,"",2565,2565,2565,0,0,238,0
17,19,21,2565,"",2565,2565,2565,0,0,238,0
18,19,20,2565,"",2565,2565,2565,0,0,238,0
19,21,24,2565,"",2565,2565,2565,0,0,238,0
20,21,23,2565,"",2565,2565,2565,0,0,238,0
21,21,33,2565,"",2565,2565,2565,0,0,238,0
22,22,33,2565,"",2565,2565,2565,0,0,238,0
23,25,30,2565,"",2565,2565,2565,0,0,238,0
24,25,27,2565,"",2565,2565,2565,0,0,238,0
25,27,28,2565,"",2565,2565,2565,0,0,238,0
26,30,29,100,"You must complete the quest 'The Root of the Problem' first.",101,2565,2565,0,0,362,0
27,29,26,2565,"",2565,2565,2565,0,0,362,0
28,26,31,2565,"",2565,2565,2565,0,0,362,0
29,26,32,2565,"",2565,2565,2565,0,0,362,0
30,14,15,2565,"",2565,2565,2565,0,0,362,0
31,11,16,234,"You must complete the quest 'The Way Forward' first.",231,2565,2565,0,0,470,0
32,34,35,2565,"",2565,2565,2565,0,0,470,0
33,34,36,2565,"",2565,2565,2565,0,0,470,0
