"rownum","Id","AtlasRegionsKey","MinTier","MaxTier","SpawnWeight_TagsKeys","SpawnWeight_Values"
0,"OutsideTopLeftWhite1",0,1,5,[181],"[1000,1000]"
1,"OutsideTopLeftYellow1",0,6,10,"[179,181]","[1000,1000,1000]"
2,"OutsideTopLeftRed1",0,11,16,"[179,181]","[1000,1000,1000]"
3,"InsideTopLeftWhite1",1,1,5,"[185,704]","[1000,1000]"
4,"InsideTopLeftYellow1",1,6,10,"[185,183,704]","[1000,1000,1000]"
5,"InsideTopLeftRed1",1,11,16,"[185,183,704]","[1000,1000,1000]"
6,"InsideTopRightWhite1",2,1,5,"[186,187]","[1000,1000]"
7,"InsideTopRightYellow1",2,6,10,"[186,187,454]","[1000,1000,1000]"
8,"InsideTopRightRed1",2,11,16,"[186,187,454]","[1000,1000,1000]"
9,"OutsideTopRightWhite1",3,1,5,"[458,705]","[1000,1000]"
10,"OutsideTopRightYellow1",3,6,10,"[455,458,705]","[1000,1000,1000]"
11,"OutsideTopRightRed1",3,11,16,"[455,458,705]","[1000,1000,1000]"
12,"OutsideBottomLeftWhite1",4,1,5,"[180,707]","[1000,1000]"
13,"OutsideBottomLeftYellow1",4,6,10,"[454,180,707]","[1000,1000,1000]"
14,"OutsideBottomLeftRed1",4,11,16,"[454,180,707]","[1000,1000,1000]"
15,"InsideBottomLeftWhite1",5,1,5,"[189,188]","[1000,1000]"
16,"InsideBottomLeftYellow1",5,6,16,"[189,188,455]","[1000,1000,1000]"
17,"InsideBottomLeftRed1",5,11,16,"[189,188,455]","[1000,1000,1000]"
18,"InsideBottomRightWhite1",6,1,5,"[190,706]","[1000,1000]"
19,"InsideBottomRightYellow1",6,6,10,"[190,182,706]","[1000,1000,1000]"
20,"InsideBottomRightRed1",6,11,16,"[190,182,706]","[1000,1000,1000]"
21,"OutsideBottomRightWhite1",7,1,5,"[184,708]","[1000,1000]"
22,"OutsideBottomRightYellow1",7,6,10,"[178,184,708]","[1000,1000,1000]"
23,"OutsideBottomRightRed1",7,11,16,"[178,184,708]","[1000,1000,1000]"
