"rownum","InfluenceOutcome","[rid]","rid","[rid]","i32","[i32]","[i32]"
0,0,"[1801,1802,1803,1804]","",[],20,[],[]
1,1,"[1801,1802,1803,1804]","",[],30,[],[]
2,2,"[1801,1802,1803,1804]","",[],40,[],[]
3,3,"[1805,1806,1807,1808,1809]","",[],20,[],[]
4,4,"[1805,1806,1807,1808,1809]","",[],30,[],[]
5,5,"[1805,1806,1807,1808,1809]","",[],40,[],[]
6,6,"[1810,1811,1812,1813,1814]","",[],20,[],[]
7,7,"[1810,1811,1812,1813,1814]","",[],30,[],[]
8,8,"[1810,1811,1812,1813,1814]","",[],40,[],[]
9,9,"[1815,1816,1817]","",[],20,[],[]
10,10,"[1815,1816,1817]","",[],30,[],[]
11,11,"[1815,1816,1817]","",[],40,[],[]
12,12,[1818],"",[],15,[],[]
13,13,[1819],"",[],15,[],[]
14,14,[1820],"",[],15,[],[]
15,15,[1821],"",[],15,[],[]
16,16,[],"",[10859],0,[],[15]
17,17,[1822],"",[],6,[],[]
18,18,[1823],"",[],4,[],[]
19,19,[1824],"",[],6,[],[]
20,20,[],1454,[],0,"[1,25,30,8,30]",[]
21,21,[],1455,[],0,"[1,1,15,20,30,1,1]",[]
22,22,[],1456,[],0,"[1,30,10,10,30]",[]
23,23,[],1457,[],0,"[15,30,30,15,40]",[]
