"rownum","Id","Image","BackgroundImage","[rid]","[f32]","rid","rid"
0,"Generic","Art/2DArt/UIImages/InGame/MissionTimer","Art/2DArt/UIImages/InGame/Console/TimerBackground",[],[],"",""
1,"Incursion","Art/2DArt/UIImages/InGame/MissionTimerIncursion","Art/2DArt/UIImages/InGame/Console/TimerIncursionBackground",[],[],"",""
2,"Zana","Art/2DArt/UIImages/InGame/MissionTimerZana","Art/2DArt/UIImages/InGame/Console/TimerZanaBackground",[],[],"",""
3,"Legion","Art/2DArt/UIImages/InGame/MissionTimerLegion","Art/2DArt/UIImages/InGame/Console/TimerLegionBackground",[],[],"",""
4,"Breach","Art/2DArt/UIImages/InGame/MissionTimerBreach","Art/2DArt/UIImages/InGame/Console/TimerBreachBackground",[],[],"",""
5,"Abyss","Art/2DArt/UIImages/InGame/MissionTimerAbyss","Art/2DArt/UIImages/InGame/Console/TimerAbyssBackground",[],[],"",""
6,"Affliction","Art/2DArt/UIImages/InGame/MissionTimer","Art/2DArt/UIImages/InGame/Console/TimerBackground",[],[],"",""
7,"Heist","Art/2DArt/UIImages/InGame/MissionTimer","Art/2DArt/UIImages/InGame/Console/TimerBackground",[],[],"",""
8,"Ultimatum","Art/2DArt/UIImages/InGame/MissionTimerUltimatum","Art/2DArt/UIImages/InGame/Console/TimerUltimatumBackground","[260,261,262]","[3,2,1]",259,""
9,"Royale","Art/2DArt/UIImages/InGame/MissionTimer","Art/2DArt/UIImages/InGame/Console/TimerBackground","[263,264,265,266,267,268]","[5,4,3,2,1,0]","",269
