"rownum","Id","BaseItemType","X","Y","IntId","Width","Height","i32"
0,"Metadata/Items/Currency/CurrencyAfflictionOrbCurrency",46,94,296,0,1,1,72
1,"Metadata/Items/Currency/CurrencyAfflictionOrbUniques",47,94,396,1,1,1,72
2,"Metadata/Items/Currency/CurrencyAfflictionOrbGems",48,94,498,2,1,1,72
3,"Metadata/Items/Currency/CurrencyAfflictionOrbWeapons",49,94,600,3,1,1,72
4,"Metadata/Items/Currency/CurrencyAfflictionOrbArmour",50,94,702,4,1,1,72
5,"Metadata/Items/Currency/CurrencyAfflictionOrbMaps",51,196,346,5,1,1,72
6,"Metadata/Items/Currency/CurrencyAfflictionOrbTrinkets",52,196,448,6,1,1,72
7,"Metadata/Items/Currency/CurrencyAfflictionOrbAbyss",53,196,550,7,1,1,72
8,"Metadata/Items/Currency/CurrencyAfflictionOrbPerandus",54,196,654,8,1,1,72
9,"Metadata/Items/Currency/CurrencyAfflictionOrbHarbinger",55,297,448,9,1,1,72
10,"Metadata/Items/Currency/CurrencyAfflictionOrbBreach",56,297,550,10,1,1,72
11,"GenericSlot1","",431,397,11,1,1,72
12,"GenericSlot2","",431,499,12,1,1,72
13,"GenericSlot3","",431,601,13,1,1,72
14,"GenericSlot4","",431,703,14,1,1,72
15,"Metadata/Items/Currency/CurrencyAfflictionShard",197,196,175,15,1,1,72
16,"Metadata/Items/MapFragments/CurrencyAfflictionFragment",6053,670,175,16,1,1,72
17,"Metadata/Items/Currency/CurrencyAfflictionOrbEssences",57,569,448,17,1,1,72
18,"Metadata/Items/Currency/CurrencyAfflictionOrbFragments",58,569,550,18,1,1,72
19,"Metadata/Items/Currency/CurrencyAfflictionOrbScarabs",59,671,346,19,1,1,72
20,"Metadata/Items/Currency/CurrencyAfflictionOrbFossils",60,671,448,20,1,1,72
21,"Metadata/Items/Currency/CurrencyAfflictionOrbProphecies",61,671,550,21,1,1,72
22,"Metadata/Items/Currency/CurrencyAfflictionOrbDivinationCards",62,671,654,22,1,1,72
23,"Metadata/Items/Currency/CurrencyAfflictionOrbTalismans",64,772,296,23,1,1,72
24,"Metadata/Items/Currency/CurrencyAfflictionOrbLabyrinth",65,772,396,24,1,1,72
25,"Metadata/Items/Currency/CurrencyAfflictionOrbIncubators",66,772,498,25,1,1,72
26,"Metadata/Items/Currency/CurrencyAfflictionOrbMetamorphosis",68,772,600,26,1,1,72
27,"Metadata/Items/Currency/CurrencyAfflictionOrbBlight",67,772,702,27,1,1,72
