"rownum","Id","Description","CharactersKey","Level","PassiveSkillsKeys","IsPVP","CharacterStartStateSetKey","rid","CharacterStartQuestStateKeys","bool","InfoText","rid"
0,"StrDefault","",0,1,[],"",0,"",[],"","",""
1,"IntDefault","",1,1,[],"",0,"",[],"","",""
2,"StrDexIntDefault","",2,1,[],"",0,"",[],"","",""
3,"DexDefault","",3,1,[],"",0,"",[],"","",""
4,"StrDexDefault","",4,1,[],"",0,"",[],"","",""
5,"DexIntDefault","",5,1,[],"",0,"",[],"","",""
6,"StrIntDefault","",6,1,[],"",0,"",[],"","",""
7,"StrPvPPreCon1","Heavy Strike",0,28,"[328,76,31,35,350,34,27,327,649,436,82,91,1261,379,36,1265,1255,81,24,32,1260,648,84,1262,438,469,1264,23,50,453,2,471,38,1263,92]",1,1,"",[7],"","",""
8,"DexPvPPreCon1","Tornado Shot",3,28,"[927,309,1045,483,614,404,273,274,896,728,287,1099,727,1777,294,694,769,674,926,320,510,266,306,295,319,618,733,405,610,321,597,1100,513,301,349]",1,1,"",[7],"","",""
9,"IntPvPPreCon1","Freezing Pulse",1,28,"[192,1089,388,555,1348,544,540,577,400,729,1161,549,410,398,1111,1056,480,539,531,409,399,569,526,1088,191,1057,1058,1158,102,396,1110,1160,1087,651,1159]",1,1,"",[7],"","",""
10,"StrIntPvPPreCon1","Firestorm",6,28,"[1417,894,730,765,543,79,1968,83,199,470,1419,556,1266,1345,573,1886,397,747,787,548,1967,753,1890,1245,1247,1267,767,533,1887,1895,1888,196,892,1259,551]",1,1,"",[7],"","",""
11,"DexIntPvPPreCon1","Frenzy",5,28,"[1972,606,595,1047,389,498,565,771,1354,250,776,336,898,1048,605,314,652,123,1875,252,1975,897,1973,282,778,507,783,316,121,251,566,779,315,1876,777]",1,1,"",[7],"","",""
12,"StrDexPvPPreCon1","Double Strike",4,28,"[1272,672,334,494,601,484,519,1230,1273,612,912,55,913,356,1232,56,755,768,466,628,1226,1271,803,1225,1231,1229,477,911,1270,1234,1228,335,1333,1140,1227]",1,1,"",[7],"","",""
13,"StrDexIntPvpPreCon1","Ethereal Knives",2,28,"[806,982,1144,491,823,972,732,85,489,1145,976,1151,893,981,441,488,818,977,820,819,973,1146,86,821,427,807,811,1153,1102,822,1152,77,983,78,80]",1,1,"",[7],"","",""
14,"StrPvPBlank","Fresh Level 28",0,28,[],1,1,"",[7],"","",""
15,"IntPvPBlank","Fresh Level 28",1,28,[],1,1,"",[7],"","",""
16,"DexPvPBlank","Fresh Level 28",3,28,[],1,1,"",[7],"","",""
17,"StrIntPvPBlank","Fresh Level 28",6,28,[],1,1,"",[7],"","",""
18,"StrDexPvPBlank","Fresh Level 28",4,28,[],1,1,"",[7],"","",""
19,"DexIntPvPBlank","Fresh Level 28",5,28,[],1,1,"",[7],"","",""
20,"StrDexIntPvPBlank","Fresh Level 28",2,28,[],1,1,"",[7],"","",""
21,"StrAct2Race","Marauder",0,12,[],"",2,18,[0],"","",""
22,"DexAct2Race","Ranger",3,12,[],"",2,18,[0],"","",""
23,"IntAct2Race","Witch",1,12,[],"",2,18,[0],"","",""
24,"DexIntAct2Race","Shadow",5,12,[],"",2,18,[0],"","",""
25,"StrDexAct2Race","Duelist",4,12,[],"",2,18,[0],"","",""
26,"StrIntAct2Race","Templar",6,12,[],"",2,18,[0],"","",""
27,"StrDexIntAct2Race","Scion",2,12,[],"",2,18,[0],"","",""
28,"StrAct3Race","Marauder",0,22,[],"",3,38,"[0,1]","","",""
29,"DexAct3Race","Ranger",3,22,[],"",3,38,"[0,1]","","",""
30,"IntAct3Race","Witch",1,22,[],"",3,38,"[0,1]","","",""
31,"DexIntAct3Race","Shadow",5,22,[],"",3,38,"[0,1]","","",""
32,"StrDexAct3Race","Duelist",4,22,[],"",3,38,"[0,1]","","",""
33,"StrIntAct3Race","Templar",6,22,[],"",3,38,"[0,1]","","",""
34,"StrDexIntAct3Race","Scion",2,22,[],"",3,38,"[0,1]","","",""
35,"StrAct4Race","Marauder",0,32,[],"",4,"","[0,1,5]","","",""
36,"DexRangedAct4Race","Ranger (Bow)",3,32,[],"",4,"","[0,1,5]","","",""
37,"DexMeleeAct4Race","Ranger (Melee)",3,32,[],"",4,"","[0,1,5]","","",""
38,"IntAct4Race","Witch",1,32,[],"",4,"","[0,1,5]","","",""
39,"DexIntAct4Race","Shadow",5,32,[],"",4,"","[0,1,5]","","",""
40,"StrDexAct4Race","Duelist",4,32,[],"",4,"","[0,1,5]","","",""
41,"StrIntCasterAct4Race","Templar",6,32,[],"",4,"","[0,1,5]","","",""
42,"StrIntMeleeAct4Race","Templar (Melee)",6,32,[],"",6,"","[0,1,5]","","",""
43,"StrDexIntAct4Race","Scion",2,32,[],"",4,"","[0,1,5]","","",""
44,"StrBLAMTRace","Marauder",0,1,[],"",7,2,[],"","",""
45,"DexBLAMTRace","Ranger",3,1,[],"",7,2,[],"","",""
46,"IntBLAMTRace","Witch",1,1,[],"",7,2,[],"","",""
47,"DexIntBLAMTRace","Shadow",5,1,[],"",7,2,[],"","",""
48,"StrDexBLAMTRace","Duelist",4,1,[],"",7,2,[],"","",""
49,"StrIntBLAMTRace","Templar",6,1,[],"",7,2,[],"","",""
50,"StrDexIntBLAMTRace","Scion",2,1,[],"",7,2,[],"","",""
