"rownum","Tier","NormalPurchase_BaseItemTypesKeys","NormalPurchase_Costs","MagicPurchase_BaseItemTypesKeys","MagicPurchase_Costs","RarePurchase_BaseItemTypesKeys","RarePurchase_Costs","UniquePurchase_BaseItemTypesKeys","UniquePurchase_Costs"
0,1,[7],[1],[7],[2],[7],[3],[2],[10]
1,2,[7],[1],[7],[2],[7],[3],[2],[10]
2,3,[7],[2],[7],[3],[7],[4],[2],[10]
3,4,[7],[2],[7],[3],[7],[4],[2],[10]
4,5,[7],[3],[7],[4],[7],[5],[2],[10]
5,6,[7],[4],[7],[5],[7],[6],[2],[10]
6,7,[6],[1],"[6,7]","[1,1]",[6],[2],[2],[10]
7,8,[6],[2],"[6,7]","[2,1]",[6],[3],[2],[10]
8,9,[6],[3],"[6,7]","[3,1]",[6],[4],[2],[10]
9,10,[6],[4],"[6,7]","[4,1]",[6],[5],[2],[10]
10,11,[6],[5],"[6,7]","[5,1]",[6],[6],[2],[10]
11,12,[2],[4],"[2,7]","[4,1]","[2,6]","[4,1]",[2],[10]
12,13,[2],[5],"[2,7]","[5,1]","[2,6]","[5,1]",[2],[10]
13,14,[2],[7],"[2,7]","[7,1]","[2,6]","[7,1]",[2],[10]
14,15,[2],[11],"[2,7]","[11,1]","[2,6]","[11,1]",[2],[10]
15,16,[2],[25],"[2,7]","[25,1]","[2,6]","[25,1]",[2],[10]
