"rownum","GrantedEffectsKey","SetId","StatsKeys","StatsValuesPermille","Weight","[i32]","[i32]"
0,0,0,[175],[1000],50,[],[]
1,0,1,"[175,434]","[-2000,3000]",100,[],[]
2,0,2,"[6333,7842]","[3000,-2000]",40,[],[]
3,0,3,[12708],[250],10,[],[]
4,2876,0,[175],[1000],50,[],[]
5,61,0,[434],[500],50,[],[]
6,61,1,[5533],[1500],100,[],[]
7,61,2,[216],[500],100,[],[]
8,61,3,[3573],[500],100,[],[]
9,70,0,[434],[500],50,[],[]
10,98,0,[341],[1000],50,[],[]
11,98,1,[434],[1000],100,[],[]
12,98,2,[24],[1000],100,[],[]
13,98,3,[70],[500],20,[],[]
14,102,0,[434],[500],50,[],[]
15,102,1,[70],[500],100,[],[]
16,102,2,[12680],[100],100,[],[]
17,102,3,[402],[1000],20,[],[]
18,165,0,[70],[500],50,[],[]
19,165,1,[343],[1000],20,[],[]
20,165,2,[12989],[2000],50,[],[]
21,165,3,[12990],[5000],50,[],[]
22,186,0,[177],[1000],50,[],[]
23,186,1,[24],[1000],100,[],[]
24,186,2,[472],[1000],100,[],[]
25,226,0,[215],[1000],50,[],[]
26,226,1,[3493],[2000],100,[],[]
27,226,2,"[4548,3351]","[1000,-2000]",20,[],[]
28,236,0,[70],[500],50,[],[]
29,236,1,[486],[2000],100,[],[]
30,236,2,[5440],[1000],100,[],[]
31,244,0,[486],[1000],50,[],[]
32,244,1,[434],[500],100,[],[]
33,244,2,[6333],[1000],100,[],[]
34,262,0,"[554,95]","[1000,500]",50,[],[]
35,262,1,[1234],[250],100,[],[]
36,262,2,[13016],[5000],100,[],[]
37,262,3,[13063],[500],20,[],[]
38,273,0,[70],[500],50,[],[]
39,273,1,[24],[3000],100,[],[]
40,273,2,[12685],[10000],20,[],[]
41,305,0,[70],[500],50,[],[]
42,305,1,[173],[50],100,[],[]
43,305,2,[6918],[50],20,[],[]
44,305,3,[13087],[250],50,[],[]
45,311,0,[216],[500],50,[],[]
46,311,1,[1492],[3000],10,[42],[]
47,311,2,[13010],[4000],20,[],[]
48,330,0,[70],[500],50,[],[]
49,330,1,[174],[50],20,[],[]
50,330,2,[24],[1000],100,[],[]
51,502,0,[42],[500],50,[],[]
52,502,1,"[42,10228]","[-1000,1000]",50,[],[]
53,502,2,[1104],[1000],100,[],[]
54,503,0,[70],[500],50,[],[]
55,503,1,[3351],[500],5,[],[]
56,503,2,[9127],[500],50,[],[]
57,507,0,[498],[500],50,[],[]
58,507,1,"[213,14051,175]","[1000,-1000,500]",100,[],[]
59,507,2,[13254],[1000],50,[],[]
60,505,0,[498],[500],50,[],[]
61,505,1,"[213,14051,175]","[1000,-1000,500]",100,[],[]
62,505,2,[13254],[1000],50,[],[]
63,509,0,[175],[500],50,[],[]
64,509,1,[12588],[3000],100,[],[]
65,509,2,[498],[500],100,[],[]
66,511,0,[49],[500],50,[],[]
67,511,1,[455],[500],100,[],[]
68,511,2,[1105],[1000],100,[],[]
69,513,0,[84],[1000],50,[],[]
70,513,1,[95],[1000],100,[],[]
71,513,2,[12914],[200],20,[],[]
72,514,0,[619],[500],100,[],[]
73,514,1,"[434,24]","[500,-1000]",50,[],[]
74,514,2,[434],[250],50,[],[]
75,516,0,[56],[500],50,[],[]
76,516,1,[554],[1500],100,[],[]
77,516,2,[1106],[1000],100,[],[]
78,538,0,"[159,617]","[1000,1000]",50,[],[]
79,538,1,[5474],[2000],100,[],[]
80,538,2,[2102],[6000],100,[],[]
81,538,3,"[12706,4141]","[1000,500]",10,[42],[]
82,550,0,[434],[500],50,[],[]
83,550,1,[9812],[1000],100,[],[]
84,550,2,[1107],[1000],100,[],[]
85,563,0,[8476],[250],50,[],[]
86,563,1,[12846],[100],5,[],[]
87,563,2,[12986],[2000],50,[],[]
88,568,0,[209],[1000],50,[],[]
89,568,1,[434],[500],100,[],[]
90,568,2,[25],[1000],100,[],[]
91,611,0,[486],[1000],50,[],[]
92,611,1,[216],[2000],100,[],[]
93,611,2,[3617],[500],5,[],[]
94,611,3,[13012],[2000],20,[],[]
95,616,0,[216],[3000],10000,[],[]
96,616,1,[12662],[1000],1,[],[]
97,617,0,[216],[3000],50,[],[]
98,618,0,[10147],[1000],50,[],[]
99,618,1,[554],[1000],100,[],[]
100,618,2,[213],[500],100,[],[]
101,623,0,[554],[1000],50,[],[]
102,623,1,[95],[250],100,[],[]
103,623,2,[3878],[500],20,[],[]
104,625,0,[95],[500],50,[],[]
105,625,1,[554],[1000],100,[],[]
106,625,2,[6086],[750],100,[],[]
107,626,0,[479],[500],50,[],[]
108,626,1,[24],[500],100,[],[]
109,626,2,[402],[2000],100,[],[]
110,628,0,[9094],[500],50,[],[]
111,628,1,[584],[2000],100,[],[]
112,628,2,[9316],[5000],50,[],[]
113,630,0,[9095],[500],50,[],[]
114,630,1,[12940],[500],5,[],[]
115,630,2,[1304],[200],20,[],[]
116,631,0,[63],[500],50,[],[]
117,631,1,[597],[250],100,[],[]
118,631,2,[1107],[1000],100,[],[]
119,633,0,[186],[250],50,[],[]
120,633,1,[3351],[3000],100,[],[]
121,633,2,[13074],[1000],100,[],[]
122,775,0,[175],[1000],50,[],[]
123,775,1,[6268],[100],100,[],[]
124,775,2,[173],[100],100,[],[]
125,775,3,[1494],[2000],100,[42],[]
126,2880,0,[175],[1000],50,[],[]
127,792,0,[341],[1500],50,[],[]
128,792,1,[3845],[200],100,[],[]
129,792,2,[12956],[5000],10,[],[]
130,794,0,[175],[2000],50,[],[]
131,794,1,[6268],[100],20,[],[]
132,794,2,[49],[1000],100,[],[]
133,794,3,[8750],[-1000],50,[],[]
134,809,0,[498],[500],50,[],[]
135,809,1,[6268],[100],100,[],[]
136,809,2,[12949],[2000],100,[],[]
137,810,0,[313],[500],50,[],[]
138,810,1,[24],[500],100,[],[]
139,810,2,[312],[1000],100,[],[]
140,812,0,[617],[1000],50,[],[]
141,812,1,"[12704,159]","[1000,1000]",100,[],[]
142,812,2,[12705],[500],100,[],[]
143,812,3,[12715],[5000],20,[],[]
144,820,0,[12631],[2000],50,[],[]
145,820,1,[70],[500],100,[],[]
146,820,2,[434],[1000],100,[],[]
147,827,0,[12631],[2000],50,[],[]
148,837,0,[215],[1000],50,[],[]
149,837,1,[24],[3000],100,[],[]
150,837,2,[2073],[5000],100,[],[]
151,845,0,[175],[2000],50,[],[]
152,845,1,"[13086,634]","[3000,-1000]",50,[],[]
153,845,2,[13237],[5000],20,[],[]
154,861,0,[200],[2000],50,[],[]
155,861,1,"[12712,12713]","[2000,5000]",50,[],[]
156,861,2,[56],[1000],100,[],[]
157,897,0,"[70,3377]","[500,500]",50,[],[]
158,897,1,[1107],[1000],100,[],[]
159,897,2,[63],[1000],100,[],[]
160,897,3,[13242],[500],10,[],[]
161,906,0,[490],[500],50,[],[]
162,906,1,[1234],[100],10,[],[]
163,906,2,[10817],[250],50,[],[]
