"rownum","BaseItemTypesKey","GrantedEffectsKey","Str","Dex","Int","GemTagsKeys","VaalVariant_BaseItemTypesKey","IsVaalVariant","Description","Consumed_ModsKey","GrantedEffectsKey2","MinionGlobalSkillLevelStat","SupportSkillName","bool","bool","AwakenedVariant","RegularVariant"
0,4796,0,0,0,100,"[11,25,5,4,14,0]",5005,"","","","","","",1,1,"",""
1,5005,2876,0,0,100,"[11,25,24,5,4,14,0]","",1,"","",0,"","",1,1,"",""
2,4797,61,0,0,100,"[11,25,4,14,1,38]",5014,"","","","","","",1,1,"",""
3,4837,4885,0,0,100,"[11,25,4,14,5]",5005,"","","","","","",1,1,"",""
4,5014,70,0,0,100,"[11,25,24,4,14,1,38]","",1,"","",61,"","",1,1,"",""
5,4798,98,100,0,0,"[9,25,13,14,22,35,40,7]","","","","","","","",1,1,"",""
6,4850,4853,100,0,100,"[11,25,4,14,5,1]","","","","","","","",1,1,"",""
7,4799,7514,0,100,0,"[10,25,22,14,30,13,2,7]","","","","","","","",1,1,"",""
8,4800,4871,0,60,40,"[10,25,13,14,30,33,7]","","","","","","","",1,1,"",""
9,4801,102,100,0,0,"[9,25,13,14,33,7]","","","","","","","",1,1,"",""
10,4802,6869,100,0,0,"[9,25,13,14,7]","","","","","","","",1,1,"",""
11,5035,104,100,0,0,"[9,25,24,13,14,33,7]","",1,"","","","","",1,1,"",""
12,5015,4952,0,0,0,"[25,4,5,22]","","","","","","","",1,1,"",""
13,4803,7567,100,0,0,"[9,25,13,14,40,7]",5017,"","","","","","",1,1,"",""
14,5017,7571,100,0,0,"[9,25,24,13,14,40,7]","",1,"","",7567,"","",1,1,"",""
15,4804,165,60,40,0,"[9,25,13,14,33,7]","","","","","","","",1,1,"",""
16,4805,186,100,0,0,"[9,25,13,14,22,35,33,7]","","","","","","","",1,1,"",""
17,4806,226,100,0,0,"[27,9,25,14,15]","","","","","","","",1,1,"",""
18,4807,236,0,100,0,"[10,25,13,7,36,33]",5023,"","","","","","",1,1,"",""
19,5023,7565,0,100,0,"[10,25,24,13,7,36,15,33]","",1,"","",236,"","",1,1,"",""
20,4808,4931,40,60,0,"[10,25,13,14,33,7]","","","","","","","",1,1,"",""
21,4809,244,0,100,0,"[10,25,13,5,7,36,0,1,2,14,45,6]","","","","","","","",1,1,"",""
22,4810,256,100,0,0,"[9,25,4,15,34]","","","","","","","",1,1,"",""
23,5011,258,100,0,0,"[9,25,24,4,15,34]","",1,"","",256,"","",1,1,"",""
24,4811,262,40,60,0,"[10,25,13,7,36]","","","","","","","",1,1,"",""
25,4812,273,0,60,40,"[10,25,13,22,35,7]","","","","","","","",1,1,"",""
26,4813,305,0,100,0,"[10,25,13,5,7,36,6]","","","","","","","",1,1,"",""
27,4816,311,0,60,40,"[10,25,4,14,0]",5016,"","","","","","",1,1,"",""
28,5016,7566,0,60,40,"[10,25,24,4,14,0]","",1,"","",311,"","",1,1,"",""
29,4817,6861,0,60,40,"[10,25,4,14,0]","","","","","","","",1,1,"",""
30,4818,6870,0,60,40,"[10,25,4,5,14,33]","","","","","","","",1,1,"",""
31,4819,329,0,100,0,"[10,25,13,5,6]","","","","","","","",1,1,"",""
32,4824,330,0,100,0,"[10,25,13,5,33,6]","","","","","","","",1,1,"",""
33,4825,502,100,0,0,"[0,33,9,16]","","","Supports any skill that hits enemies.",12571,"","","",1,1,433,""
34,4826,503,0,100,0,"[13,10,16]","","","Supports attack skills.",12666,"","","",1,1,"",""
35,4827,505,0,100,0,"[10,16,5]","","","Supports projectile skills.",12610,"","","",1,1,450,""
36,4828,507,0,100,0,"[10,16,5]","","","Supports projectile skills.",12598,"","","",1,1,"",""
37,4830,509,0,100,0,"[10,16,5]","","","Supports projectile skills.",12586,"","","",1,1,"",""
