"rownum","Id","MonsterVarietiesKeys","MonsterAmount","i32","IsNegated","i32","[i32]","IsLessThen","MinimumHealthPercentage"
0,"HasIceTotemsX4",[908],4,0,"",200,[],"",1
1,"HasIceMinionsX10","[3843,3844]",10,0,"",200,[],"",1
2,"HasBloodRavensX3",[2788],3,0,"",200,[],"",1
3,"HasFireSkelliesX10",[2015],10,0,"",200,[],"",1
4,"HasNoUnmovedWickermanStatues",[4845],0,0,1,200,[],"",1
5,"HasNoUnmovedStatues",[4844],0,0,1,200,[],"",1
6,"HasVoidPitsX12",[],12,0,"",200,[398],"",1
7,"HasPylonsX12",[],12,0,"",200,[556],"",1
8,"HasLessThan7VoidPits",[],7,0,"",200,[734],1,1
9,"HasLessThan7Pylons",[],7,0,"",200,[904],1,1
10,"HasHeraldOfAshOverHalfHealth",[2169],1,0,"",200,[],"",50
11,"HasFloodOrbsX15",[3554],15,0,"",200,[],"",1
