"rownum","Id","i32","i32","rid","i32","rid","[rid]","bool","bool","bool","rid","i32","i32","i32","rid","i32","rid","rid","bool","rid","bool","rid"
0,"KillMapBoss",100,0,100,0,"",[],"",1,"","",0,0,0,0,0,1533,1534,"","",1,""
1,"KillExiles",100,0,100,0,"",[],"",1,"",2243,0,0,2,2,0,1555,1556,"","","",""
2,"FindMap",100,0,100,0,"",[],1,"","","",0,0,0,0,0,"","","","","",""
3,"FindUnique",100,0,100,0,"",[],1,"","","",0,0,0,0,0,"","","","","",""
4,"FindDivCard",100,0,100,0,"",[],1,"","","",0,0,0,0,0,"","","","","",""
5,"FindVaalFragment",100,0,100,0,"",[],1,"","","",0,0,0,0,0,"","","","","",""
6,"CompleteMission",0,0,100,0,"",[],"","",1,"",0,0,0,0,0,"","","","","",""
7,"CompleteUberLabTrial",100,0,100,0,"",[],"","",1,4812,0,0,1,1,0,"","",1,"","",""
8,"CompleteAbyss",80,0,100,0,"",[],"","","",6665,0,0,1,1,0,1548,1549,"","","",""
9,"KillMonsters1",50,0,100,0,1321,[],"",1,"","",0,0,3,5,0,1535,1536,"","","",""
10,"KillMonsters2",25,0,100,0,1310,[],"",1,"","",0,0,3,5,0,1535,1536,"","","",""
11,"KillMonsters3",25,0,100,0,1311,[],"",1,"","",0,0,3,5,0,1535,1536,"","","",""
12,"KillMonsters4",0,0,100,0,915,[],"",1,"","",0,0,3,5,0,1535,1536,"","","",""
13,"KillMonsters5",0,0,100,0,916,[],"",1,"","",0,0,3,5,0,1535,1536,"","","",""
14,"KillMonsters6",0,0,100,0,917,[],"",1,"","",0,0,3,5,0,1535,1536,"","","",""
15,"KillMonsters7",0,0,100,0,918,[],"",1,"","",0,0,3,5,0,1535,1536,"","","",""
16,"KillMonsters8",0,0,100,0,919,[],"",1,"","",0,0,3,5,0,1535,1536,"","","",""
17,"KillMonsters9",0,0,100,0,920,[],"",1,"","",0,0,3,5,0,1535,1536,"","","",""
18,"KillMonsters10",0,0,100,0,921,[],"",1,"","",0,0,3,5,0,1535,1536,"","","",""
19,"TagObjects",100,0,100,0,"",[],"","","","",8,10,13,13,0,1530,1531,"","","",""
20,"CompleteMap",100,0,100,0,"",[],"",1,"","",0,0,0,0,0,"","","","",1,""
21,"KillBeyondBoss",80,0,100,0,"",[],"",1,"",5754,0,0,1,1,0,"","","","","",""
22,"KillWarband",80,0,100,0,"",[],"",1,"",3140,0,0,1,1,0,1559,1560,"","","",""
23,"KillEssenceMonster",80,0,100,0,"",[],"",1,"",4894,0,0,2,2,0,1562,1563,"","","",""
24,"KillInvasionBoss",80,0,100,0,"",[],"",1,"",2465,0,0,1,1,0,1565,1566,"","","",""
25,"KillHarbinger",80,0,100,0,"",[],"",1,"",6325,0,0,2,2,0,1568,1569,"","","",""
26,"OpenUniqueStrongbox",20,0,100,0,"",[],"","","","",0,0,0,0,0,"","","","","",""
27,"OpenBreach",80,0,100,0,"",[],"","",1,5486,0,0,2,2,0,1574,1575,"","","",""
28,"CompleteUniqueMap",0,0,100,0,"",[],"",1,1,"",0,0,0,0,0,"","",1,"",1,""
29,"CompleteSynthesisMap",0,0,100,0,"",[],"",1,1,"",0,0,0,0,0,"","",1,"",1,""
30,"CompleteElderGuardianMap",100,81,100,0,"",[],"",1,1,"",0,0,0,0,0,"","",1,19100,1,""
31,"CompleteShaperGuardianMap",0,83,100,0,"",[],"",1,1,"",0,0,0,0,0,"","",1,"",1,""
32,"CompleteLegion",80,0,100,0,"",[],"","","",9402,0,0,1,1,0,"","","","","",""
33,"CompleteHarvest",80,0,100,0,"",[],"","",1,11855,0,0,1,1,0,"","","","","",105
34,"CompleteBlightEncounter",64,0,100,0,"",[],"","",1,10106,0,0,1,1,0,1553,"","","","",95
35,"CompleteBlightedMap",16,0,100,0,"",[],"","",1,"",0,0,0,0,0,"","","",18892,1,96
36,"OpenDelirium",80,0,100,0,"",[],"","","",12526,0,0,1,1,0,"","","","","",102
37,"KillMetamorph",80,0,100,0,"",[],"",1,"",11521,0,0,1,1,0,"",1571,"","","",97
