"rownum","GrantedEffectsKey","string","bool","bool","bool","MiscAnimated","bool","bool","i32","bool","bool","bool","bool"
0,1307,"<lock>",1,1,1,17,"",1,0,"","",1,""
1,1308,"<lock>",1,1,1,18,"",1,0,"","",1,""
2,568,"<lock>",1,1,1,39,"",1,0,"","",1,""
3,1627,"<lock>",1,1,1,9,"",1,0,"","",1,""
4,1637,"<lock>",1,1,1,12,"",1,0,"","",1,""
5,1639,"<lock>",1,1,1,7,"",1,0,"","",1,""
6,1646,"<lock>",1,1,1,12,"",1,0,"","",1,""
7,1651,"<lock>",1,1,1,10,"",1,0,"","",1,""
8,1658,"<lock>",1,1,1,11,"",1,0,"","",1,""
9,1661,"<lock>",1,1,1,39,"",1,0,"","",1,""
10,1668,"<lock>",1,1,1,40,"",1,0,"","",1,""
11,1677,"<lock>",1,1,1,41,"",1,0,"","",1,""
12,1698,"<lock>",1,1,1,12,"",1,0,"","",1,""
13,5339,"<lock>",1,1,1,4,"",1,0,"","",1,""
14,1945,"<lock>",1,1,1,40,"",1,0,"","",1,""
15,2562,"<lock>",1,1,1,39,"",1,0,"","",1,""
16,2565,"<lock>",1,1,1,40,"",1,0,"","",1,""
17,2568,"<lock>",1,1,1,41,"",1,0,"","",1,""
18,3293,"<lock>",1,1,1,39,"",1,0,"","",1,""
19,3294,"<lock>",1,1,1,40,"",1,0,"","",1,""
20,3295,"<lock>",1,1,1,41,"",1,0,"","",1,""
21,3296,"<lock>",1,1,1,6,"",1,0,"","",1,""
22,3297,"<lock>",1,1,1,5,"",1,0,"","",1,""
23,935,"<lock>","",1,"",57,"",1,0,"","",1,""
24,954,"<lock>","",1,"",57,"",1,0,"","",1,""
25,961,"<lock>","",1,"",7,"",1,0,"","",1,""
26,967,"<lock>","",1,"",57,"",1,0,"","",1,""
27,970,"<lock>","",1,"",57,"",1,0,"","",1,""
28,980,"<lock>","",1,"",9,"",1,0,"","",1,""
29,988,"<lock>","",1,"",19,"",1,0,"","",1,""
30,993,"<lock>","",1,"",57,"",1,0,"","",1,""
31,2009,"<lock>","",1,"",57,"",1,0,"","",1,""
32,2021,"<lock>","",1,"",57,"",1,0,"","",1,""
33,2028,"<lock>","",1,"",57,"",1,0,"","",1,""
34,3304,"<lock>","",1,"",19,"",1,0,"","",1,""
35,4266,"<lock>","",1,"",57,"",1,0,"","",1,""
36,7380,"<lock>","",1,"",57,"",1,0,"","",1,""
37,4818,"<lock>","",1,1,14,"",1,0,1,"",1,""
38,7902,"Head_Attachment",1,1,1,13,"",1,0,"","",1,""
39,8124,"<lock>",1,1,1,12,"",1,0,"","",1,""
40,8120,"<lock>",1,1,1,11,"",1,0,"","",1,""
41,8116,"<lock>",1,1,1,5,"",1,0,1,"","",""
42,8079,"<lock>",1,1,1,5,"",1,0,1,"","",""
43,1632,"<lock>",1,1,1,9,"",1,0,"","",1,""
44,1655,"<lock>",1,1,1,10,"",1,0,"","",1,""
45,1647,"<lock>",1,1,1,12,"",1,0,"","",1,""
46,1700,"<lock>",1,1,1,12,"",1,0,"","",1,""
47,7048,"<lock>",1,1,1,39,"",1,0,"","",1,""
48,7049,"<lock>",1,1,1,40,"",1,0,"","",1,""
49,7050,"<lock>",1,1,1,41,"",1,0,"","",1,""
50,8163,"<lock>",1,1,1,9,"",1,0,"","",1,""
51,8227,"<lock>",1,1,1,19,"",1,0,"","",1,""
52,8340,"<lock>",1,1,1,20,"",1,0,"","",1,""
53,2886,"R_Weapon",1,"","",24,1,"",1,"",1,"",1
54,1686,"R_Weapon",1,"","",24,1,"",1,"",1,"",1
55,305,"R_Weapon",1,"","",23,1,"",1,"",1,"",1
56,550,"R_Weapon",1,"","",29,1,"",1,"",1,"",1
57,912,"R_Weapon",1,"","",24,1,"",1,"",1,"",1
58,1887,"R_Weapon",1,"","",25,1,"",1,"",1,"",1
59,1618,"R_Weapon",1,"","",26,1,"",1,"",1,"",1
60,1603,"R_Weapon",1,"","",28,1,"",1,"",1,"",1
61,4400,"R_Weapon",1,"","",26,1,"",1,"",1,"",1
62,330,"R_Weapon",1,"","",27,1,"",1,"",1,"",1
63,3258,"R_Weapon",1,"","",27,1,"",1,"",1,"",1
64,8638,"<lock>",1,1,1,30,"",1,0,1,"","",""
65,2776,"<lock>",1,1,1,38,"",1,0,"","","",""
66,8857,"<lock>",1,1,1,42,"",1,0,"","","",""
67,9050,"<lock>",1,1,"",49,"",1,0,"","","",""
68,0,"<lock>",1,1,"",45,"",1,0,"","","",""
69,845,"<lock>",1,1,"",52,"",1,0,"","","",""
70,1922,"<lock>",1,1,"",51,"",1,0,"","","",""
71,9222,"<lock>",1,1,1,7,"",1,0,"","",1,""
72,1120,"<lock>",1,1,"",64,"",1,0,"","","",""
73,9308,"<root>",1,1,"",67,"","",0,"","","",""
74,9314,"<lock>",1,1,1,68,"",1,0,"","",1,""
75,2715,"<lock>",1,1,1,73,"",1,0,"","","",""
76,9367,"<lock>",1,1,1,74,"",1,0,"","",1,""
77,9333,"<lock>",1,1,1,76,"",1,0,"","","",""
78,9446,"<lock>",1,1,1,77,"",1,0,"","","",""
79,9451,"<lock>",1,1,"",80,"",1,0,"","","",""
80,7505,"<lock>",1,1,1,81,"",1,0,"","","",""
