"rownum","ItemVisualIdentityKey","WorldAreasKey","WordsKey","FlavourTextKey","HasGuildCharacter","GuildCharacter","Name"
0,6103,1148,97,79,"","g","Vaults of Atziri"
1,6987,1126,148,149,"","Ç","Maelstrom of Chaos"
2,7006,1182,152,153,"","Å","The Coward's Trial"
3,7049,1199,154,159,"","Ô","Acton's Nightmare"
4,7082,1168,184,191,"","ß","Poorjoy's Asylum"
5,7099,1155,207,209,"","À","Mao Kun"
6,7103,1204,211,213,"","#","Oba's Cursed Trove"
7,7163,1138,214,216,"","$","Olmec's Sanctum"
8,7164,1157,215,217,1,"","Untainted Paradise"
9,7317,1206,301,303,"","¿","Death and Taxes"
10,7468,1098,363,390,"","È","Whakawairua Tuahu"
11,8073,1185,386,413,1,"Ù","Hall of Grandmasters"
12,8074,1152,587,573,"","²","The Vinktar Square"
13,9287,1140,643,802,"","æ","Caer Blaidd, Wolfpack's Den"
14,9356,1100,700,889,"","™","The Perandus Manor"
15,9673,1171,784,1045,"","Õ","The Putrid Cloister"
16,9674,1128,786,1047,"","Ð","Hallowed Ground"
17,9900,1236,928,1421,1,"","The Beachhead"
18,9901,1237,928,1421,1,"","The Beachhead"
19,9902,1238,928,1421,1,"","The Beachhead"
20,9904,1160,930,1442,"","^","The Twilight Temple"
21,9905,1110,934,1443,"","‹","Doryani's Machinarium"
22,9906,1136,938,1444,"","›","Pillars of Arun"
23,10437,443,1158,1901,1,"","Altered Distant Memory"
24,10438,444,1159,1902,1,"","Augmented Distant Memory"
25,10439,445,1160,1903,1,"","Twisted Distant Memory"
26,10440,446,1161,1904,1,"","Rewritten Distant Memory"
27,10441,442,1162,1905,1,"","Cortex"
28,9903,1239,1249,1421,1,"","Infused Beachhead"
29,10442,442,1163,1905,1,"","Cortex"
30,9907,1136,939,1444,"","","Pillars of Arun"
31,7083,1168,185,191,"","","Poorjoy's Asylum"
