"rownum","NPCsKey","i32","i32","i32","i32","i32","AOFile","Stance","BetrayalTargetsKey"
0,0,1255,2565,1155,1155,25,"Metadata/NPC/Act1/Tarkleigh.ao","",""
1,16,2565,2565,1155,1155,25,"Metadata/NPC/Act3/Hargan.ao","",""
2,186,2565,1086,1155,1155,25,"Metadata/NPC/Act5/Lilly.ao","",""
3,340,2565,1255,1155,1155,25,"Metadata/NPC/League/Incursion/TreasureHunter.ao","",""
4,100,2565,673,1155,1155,25,"Metadata/NPC/Act4/Petarus.ao","",""
5,390,2565,60,1155,1155,25,"Metadata/NPC/League/Blight/BlightBuilder.ao","",""
6,342,2565,2565,1155,1155,0,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalHaku.ao","idle_axe_01",1
7,343,2565,2565,1155,1155,0,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalElreon.ao","idle_maul_01",2
8,344,2565,2565,1155,1155,0,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalTora.ao","idle_bow_01",3
9,345,2565,2565,1155,1155,0,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalVagan.ao","idle_sword_sword_01",4
10,346,2565,2565,1155,1155,0,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalVorici.ao","idle_dagger_dagger_01",5
11,347,2565,2565,1155,1155,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalHillock.ao","idle_town_01",6
12,348,2565,2565,1155,1155,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalLeo.ao","idle_town_01",7
13,349,2565,2565,1155,1155,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalGrenn.ao","idle_town_01",8
14,350,2565,2565,1155,1155,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalJanus.ao","idle_town_01",9
15,351,2565,2565,1155,1155,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalBreach.ao","idle_town_01",10
16,352,2565,2565,1155,1155,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalGravicius.ao","idle_town_01",11
17,353,2565,2565,1155,1155,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalThane.ao","idle_town_01",12
18,354,2565,2565,1155,1155,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalKeema.ao","idle_town_01",13
19,355,2565,2565,1155,1155,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalRin.ao","idle_town_01",14
20,356,2565,2565,1155,1155,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalCameria.ao","idle_town_01",15
21,357,2565,2565,1155,1155,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalAislin.ao","idle_town_01",16
22,358,2565,2565,1155,1155,25,"Metadata/Monsters/LeagueHeist/NPCAllies/TownVisitors/BetrayalRiker.ao","idle_town_01",17
