"rownum","Level","bool","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32"
0,1,"",7,8,3,4,4,58,0,0,0,0,0,0,0
1,2,"",7,8,3,4,4,58,0,0,0,250,0,0,0
2,3,"",7,8,3,4,4,58,0,0,0,500,0,6,0
3,4,"",7,8,3,4,4,58,0,0,0,750,0,6,0
4,5,"",7,8,3,4,4,58,0,0,0,1000,0,6,0
5,6,"",7,8,3,4,4,58,0,0,0,1250,0,6,0
6,7,"",7,8,3,4,4,58,0,0,0,1500,0,6,0
7,8,"",7,8,3,4,4,58,0,0,0,1750,0,10,0
8,9,"",7,8,3,4,4,58,0,0,0,2000,0,10,0
9,10,"",7,8,3,4,4,58,0,0,0,2250,0,10,0
10,11,"",7,8,3,4,4,58,0,0,0,2500,0,10,0
11,12,"",7,8,3,4,4,58,0,0,0,2750,0,10,0
12,13,"",7,8,3,4,4,58,0,0,0,3000,0,10,0
13,14,"",7,8,3,4,4,58,0,0,0,3250,0,10,0
14,15,"",7,8,3,4,4,58,0,0,0,3500,0,10,0
15,16,"",7,8,3,4,4,58,0,0,0,3750,0,10,0
16,17,"",7,8,3,4,4,58,0,0,0,4000,0,10,0
17,18,"",7,8,3,4,4,58,0,0,0,4250,0,10,0
18,19,"",7,8,3,4,4,58,0,0,0,4500,0,10,0
19,20,"",7,8,3,4,4,58,0,0,0,4750,0,10,0
20,21,"",7,8,3,4,4,58,0,0,0,5000,0,10,0
21,22,"",7,8,3,4,4,58,0,0,0,5250,0,10,0
22,23,"",7,8,3,4,4,58,0,0,0,5500,0,12,0
23,24,"",7,8,3,4,4,58,0,0,0,5750,0,12,0
24,25,"",7,8,3,4,4,58,0,0,0,6000,0,12,0
25,26,"",7,8,3,4,4,58,0,0,0,6250,0,12,0
26,27,"",7,8,3,4,4,58,0,0,0,6500,0,12,0
27,28,"",7,8,3,4,4,58,0,0,0,6750,0,12,0
28,29,"",7,8,3,4,4,58,0,0,0,7000,0,12,0
29,30,"",7,8,3,4,4,58,0,0,0,7250,0,12,0
30,31,"",7,8,3,4,4,58,0,0,0,7500,0,12,0
31,32,"",7,8,3,4,4,58,0,0,0,7750,0,12,0
32,33,"",7,8,3,4,4,58,0,0,0,8000,0,12,0
33,34,"",7,8,3,4,4,58,0,0,0,8250,0,12,0
34,35,"",7,8,3,4,4,58,0,0,0,8500,0,12,0
35,36,"",7,8,3,4,4,58,0,0,0,8750,0,12,0
36,37,"",7,8,3,4,4,58,0,0,0,9000,0,12,0
37,38,"",7,8,3,4,4,58,0,0,0,9250,0,12,0
38,39,"",7,8,3,4,4,58,0,0,0,9500,0,12,0
39,40,"",7,8,3,4,4,58,0,0,0,9750,0,12,0
40,41,"",7,8,3,4,4,58,0,0,0,10000,0,12,0
41,42,"",7,8,3,4,4,58,0,0,0,10250,0,12,0
42,43,"",7,8,3,4,4,58,0,0,0,10500,0,12,0
43,44,"",7,8,3,4,4,58,0,0,0,10750,0,12,0
44,45,"",8,9,4,4,4,65,0,0,0,11000,0,14,0
45,46,"",8,9,4,4,4,65,0,0,0,11250,0,14,0
46,47,"",8,9,4,4,4,65,0,0,0,11500,0,14,0
47,48,"",8,9,4,4,4,65,0,0,0,11750,0,14,0
48,49,"",8,9,4,4,4,65,0,0,0,12000,0,14,0
49,50,"",8,9,4,5,5,65,0,0,0,12250,0,16,0
50,51,"",8,9,4,5,5,65,0,0,0,12500,0,16,0
51,52,"",8,9,4,5,5,65,0,0,0,12750,0,18,0
52,53,"",8,9,4,5,5,65,0,0,0,13000,0,18,0
53,54,"",8,9,4,5,5,65,0,0,0,13250,0,18,0
54,55,"",9,9,4,5,5,65,0,0,0,13500,0,18,0
55,56,"",9,9,4,5,5,65,0,0,0,13750,0,18,0
56,57,"",9,9,4,5,5,65,0,0,0,14000,0,18,0
57,58,"",9,9,4,5,5,65,0,0,0,14250,0,18,0
58,59,"",9,9,4,5,5,65,0,0,0,14500,0,18,0
59,60,"",9,9,4,5,5,65,0,0,0,14750,0,18,0
60,61,"",9,9,4,5,5,65,0,0,0,15000,0,20,0
61,62,"",9,9,4,5,5,65,0,0,0,15250,0,20,0
62,63,"",9,9,4,5,5,65,0,0,0,15500,0,20,0
63,64,"",9,9,4,5,5,65,0,0,0,15750,0,20,0
64,65,"",9,9,4,5,5,65,0,0,0,16000,0,22,0
65,66,"",9,9,4,5,5,65,0,0,0,16250,0,22,0
66,67,"",9,9,4,5,5,65,0,0,0,16500,0,22,0
67,68,"",9,10,5,6,6,72,0,0,0,18000,0,32,0
68,69,"",9,10,5,6,6,72,0,0,0,19000,0,32,0
69,70,"",9,10,5,6,6,72,0,0,0,20000,0,32,0
70,71,"",9,10,5,6,6,72,0,0,0,21000,0,32,0
71,72,"",9,10,5,6,6,72,0,0,0,22000,0,32,0
72,73,"",9,10,5,7,7,72,0,0,0,23500,0,32,0
73,74,"",9,10,5,7,7,72,0,0,0,25000,0,32,0
74,75,"",9,10,5,7,7,72,0,0,0,26500,0,32,0
