"rownum","Area","PosX","PosY","Tags","[i32]","bool","TextAudio","CompletionAchievements"
0,0,0,0,[734],[1],"",11918,[]
1,1706,981,797,"[721,735]","[1,3]","",11909,[8144]
2,1707,1078,700,"[720,735]","[1,3]","",11908,[8145]
3,1708,962,587,"[721,735]","[1,3]","",11909,[8146]
4,1709,1273,421,"[722,735]","[1,3]","",11909,[8147]
5,1710,1181,611,"[727,735]","[1,3]","",11911,[8148]
6,1711,1248,862,"[717,735]","[1,3]","",11910,[8149]
7,1712,1020,314,"[723,735]","[1,3]","",11909,[8150]
8,1713,857,259,"[724,735]","[1,3]","",11909,[8151]
9,1714,938,198,"[725,735]","[1,3]","",11906,[8152]
10,1715,1093,501,"[728,735]","[1,3]","",11912,[8153]
11,1718,1282,212,"[726,735]","[1,3]","",11906,[8156]
12,1716,1132,310,"[718,735]","[1,3]",1,11907,[8154]
13,1717,1209,333,"[718,735]","[1,3]",1,11907,[8155]
14,1719,1397,229,"[729,735]","[1,3]","",11913,[8157]
15,1720,868,922,"[720,735]","[1,3]","",11908,[8158]
