"rownum","WorldAreasKey","ItemVisualIdentityKey","bool","MapsKey","FlavourTextKey","AtlasRegionsKey","AtlasNodeKeys0","AtlasNodeKeys1","AtlasNodeKeys2","AtlasNodeKeys3","AtlasNodeKeys4","Tier0","Tier1","Tier2","Tier3","Tier4","X0","X1","X2","X3","X4","Y0","Y1","Y2","Y3","Y4","f32","f32","f32","f32","f32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","DDSFile"
0,1155,7099,"",403,1810,2,[72],[72],[72],[72],[72],0,0,0,13,16,523.428,523.428,523.428,503.033,498.779,24.181,24.181,24.181,132.606,144.52,67,67,67,43,45,22,22,22,7,5,4,4,4,-8,-11,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/MaoKun.dds"
1,1228,6070,"",467,1881,5,[],"[132,124,119,3]","[124,119,50,3]","[124,119,106,3]","[119,50,3,36]",0,6,10,12,14,212.803,302.787,304.911,314.643,369.034,269.638,339.473,337.667,349.605,350.633,20,179,146,173,130,0,12,19,5,-6,0,-3,1,-10,-7,""
2,1203,6026,"",444,1856,0,[],[],[],[],"[141,109]",0,0,0,0,14,502.582,485.719,483.524,477.199,286.687,253.61,181.756,178.053,178.289,121.543,20,20,20,20,113,0,0,0,0,-9,0,0,0,0,-2,""
3,1197,6072,"",439,1850,5,"[145,124,117,81,56,24]","[145,117,81,56,1]","[145,117,81,56,30,1]","[145,117,81,56,30,1]","[145,117,81,56,30,1]",3,6,10,11,14,350.626,330.86,332.352,336.571,352.588,356.588,377.595,386.36,368.079,389.025,202,156,163,154,150,-9,3,10,11,2,18,14,8,23,9,""
4,1162,5976,"",408,1816,0,[],[],[],"[141,70,7]","[141,96,7]",0,0,0,14,16,91.972,91.972,91.972,167.675,167.675,65.541,65.541,65.541,82.159,82.159,20,20,20,102,99,0,0,0,28,31,0,0,0,17,8,""
5,1224,6073,"",463,1877,7,[],[],[],"[105,103,82,64]","[103,82,64]",0,0,0,14,16,797.882,797.882,797.882,831.348,829.737,528.822,528.822,528.822,433.038,430.052,20,20,20,147,153,0,0,0,-22,-11,0,0,0,-13,-15,""
6,1223,6050,"",462,1876,4,"[118,89,81,56]","[118,157,89,81,56]","[118,157,89,81,56]","[118,89,81,56]","[130,118,89,81,56]",4,8,11,12,15,244.672,281.355,288.773,275.456,272.755,478.743,457.829,439.328,424.033,428.55,196,210,199,150,167,21,-17,-23,0,8,-39,-22,-3,-3,-1,""
7,1215,5953,"",454,1868,0,[],"[142,141,109,53]","[141,41]","[141,4,41]","[141,128,4,41]",0,7,12,14,15,92.326,247.882,208.995,225.725,225.725,89.172,84.894,71.439,73.816,73.816,20,162,134,135,166,0,5,14,-2,12,0,32,10,13,11,""
8,1234,6065,"",476,1897,2,[],[],[],[],[],0,0,0,0,16,521.34,524.386,536.569,536.569,575.93,512.916,526.404,528.58,535.106,276.967,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,""
9,1221,6042,"",460,1874,2,"[71,52,32,26]","[77,71,52,32]","[77,71,52,32]","[77,71,52,32]","[71,52,32]",2,6,9,11,14,476.787,476.787,476.787,472.091,470.685,147.562,147.562,147.562,156.619,173.494,248,153,152,156,139,7,-3,-3,0,-12,-11,-8,-8,-7,-21,""
