"rownum","NPCKey","i32","DialogueOption","[i32]","[i32]","[i32]","Script","i32","i32","i32","i32","i32","rid","i32","[rid]","string","bool","bool","[i32]","[i32]","i32","[i32]","i32","bool","[rid]","rid","bool","bool","string","rid","rid","string","i32","i32","i32","i32"
0,1,0,"Introduction",[],[],[14],"",14,3,0,0,0,"",14,"[0,1,2,3,4,5,6]","",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,156,0,41
1,1,1,"The Medicine Chest",[50],[42],[43],"",43,5,0,0,0,"",43,[7],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,224,0,41
2,1,2,"Medicine Chest Reward",[43],[42],[41],"",41,6,0,0,0,1,72,[],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,282,0,41
3,1,3,"Medicine Chest Reward 2",[43],[1878],[1877],"",1877,6,0,0,0,2,72,[],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,344,0,41
4,1,4,"Tarkleigh",[15],[],[279],"",2565,3,0,0,0,"",279,[8],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,390,0,41
5,1,5,"Lioneye's Watch",[],[43],[40],"",40,5,0,0,0,"",40,[9],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,448,0,41
6,1,6,"Lioneye's Watch",[43],[],[40],"",2565,3,0,0,0,"",40,[10],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,472,0,41
7,1,7,"Piety",[588],[],[280],"",2565,3,0,0,0,"",280,[11],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,510,0,41
8,1,8,"Rhoas",[31],[],[282],"",2565,3,0,0,0,"",282,[12],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,548,0,41
9,1,9,"Bestel",[32],[],[283],"",2565,3,0,0,0,"",283,[13],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,588,0,41
10,1,10,"Brutus",[131],"[798,6]",[285],"",285,5,0,0,0,"",285,[14],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,636,0,41
11,1,11,"Prison Reward",[285],"[798,44]",[799],"",799,6,0,0,0,8,72,[],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,682,0,41
12,1,12,"Brutus",[6],[],[44],"",44,3,0,0,0,"",44,[15],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,706,0,41
13,1,13,"Prison Reward",[44],[798],[799],"",799,6,0,0,0,8,72,[],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,718,0,41
14,1,14,"Reopened Passage",[234],[],[286],"",2565,3,0,0,0,"",286,[16],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,778,0,41
15,1,15,"Merveil",[34],[10],[9],"",9,5,0,0,0,"",9,[17],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,824,0,41
16,1,16,"Merveil's Lair",[133],"[73,10]","[74,9]","",74,5,0,0,0,"",74,[18],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,892,0,41
17,1,17,"Merveil Reward",[74],"[73,273]",[39],"",39,6,0,0,0,10,72,[],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,940,0,41
18,1,18,"Merveil",[10],[],"[35,273]","",273,3,0,0,0,"",273,[19],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,968,0,41
19,1,19,"Merveil Reward",[273],[73],[39],"",39,6,0,0,0,10,72,[],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,980,0,41
20,1,20,"Purchase Items",[],[],[],"",2565,25,0,0,0,"",72,[],"","","",[],[],1155,[],1155,"",[],"","","","",1,"","",0,1012,0,41
21,1,21,"Sell Items",[],[],[],"",2565,26,0,0,0,"",72,[],"","","",[],[],1155,[],1155,"",[],"","","","",0,"","",0,1036,0,41
22,0,0,"Introduction",[],[3],[15],"",15,3,0,0,0,"",15,[20],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,1060,0,41
23,0,1,"Introduction",[3],[],[15],"",2565,3,0,0,0,"",15,[21],"",1,"",[],[],1155,[],1155,"",[],"","","","","","","",0,1084,0,41
24,0,2,"Hillock Reward",[1],[3],[13],"",13,6,0,0,0,0,72,[],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,1128,0,41
25,0,3,"Brutus",[131],[6],[5],"",5,5,0,0,0,"",5,[22],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,1156,0,41
26,0,4,"Brutus",[6],[7],[29],"",29,5,0,0,0,"",29,[23],"","","",[],[],1155,[],1155,"",[],"","","","","","","",0,1184,0,41
