"rownum","WorldAreasKey","ItemVisualIdentityKey","bool","Tier","i32","i32"
0,1074,6097,"",15,1,5
1,1075,5950,"",1,1,5
2,1076,5964,"",2,6,10
3,1077,5963,"",15,6,10
4,1249,6009,"",16,1,5
5,1078,6087,"",12,1,5
6,1079,6089,"",4,1,5
7,1080,5948,"",5,1,5
8,1081,5954,"",2,1,5
9,1082,5955,"",12,1,5
10,1083,5958,"",2,1,5
11,1084,6095,"",2,6,10
12,1085,6081,"",2,1,5
13,1086,6052,"",4,1,5
14,1087,6024,"",9,1,5
15,1088,6045,"",15,6,10
16,1089,5969,"",4,1,5
17,1090,6018,"",7,6,10
18,1091,5968,"",15,1,5
19,1092,5991,"",16,6,10
20,1093,5945,"",15,1,5
21,1094,6092,"",5,6,10
22,1095,6088,"",11,1,5
23,1096,6093,"",4,11,15
24,1097,5984,"",4,1,5
25,1098,7468,"",4,0,0
26,1099,6023,"",5,6,10
27,1100,9356,"",5,0,0
28,1101,5957,"",8,1,5
29,1102,6040,"",14,6,10
30,1103,6053,"",5,1,5
31,1104,6039,"",4,11,15
32,1105,5977,"",3,11,15
33,1244,6028,"",3,1,5
34,1246,6022,"",9,1,5
35,1247,6049,"",6,1,5
36,1248,6044,"",11,1,5
37,1250,5973,"",15,1,5
38,1251,5981,"",10,1,5
39,1106,6091,"",14,6,10
40,1107,6086,"",14,1,5
41,1108,6078,"",2,1,5
42,1109,6047,"",3,1,5
43,1110,9905,"",3,0,0
44,1111,5956,"",1,1,5
45,1112,5959,"",4,6,10
46,1113,5986,"",3,6,10
47,1114,6034,"",3,6,10
48,1115,5975,"",4,6,10
49,1116,5999,"",3,1,5
50,1117,6079,"",13,1,5
51,1118,6085,"",2,1,5
52,1119,5949,"",4,1,5
53,1120,5965,"",12,11,15
54,1121,5961,"",3,6,10
55,1122,5985,"",8,1,5
56,1123,5987,"",3,1,5
57,1124,5993,"",4,1,5
58,1125,6001,"",5,1,5
59,1126,6987,"",5,0,0
60,1127,5998,"",2,11,15
61,1128,9674,"",2,0,0
62,1129,6027,"",16,6,10
63,1130,6080,"",14,6,10
64,1131,6074,"",11,6,10
65,1132,6030,"",14,6,10
66,1133,6035,"",14,6,10
67,1134,5982,"",3,1,5
68,1135,5970,"",4,1,5
69,1136,9906,"",4,0,0
70,1137,5990,"",4,6,10
71,1138,7163,"",4,0,0
72,1139,6020,"",9,6,10
73,1140,9287,"",9,0,0
74,1141,6019,"",15,11,15
75,1142,5995,"",5,6,10
76,1143,6021,"",4,6,10
77,1144,6096,"",12,11,15
78,1145,6090,"",3,11,15
79,1146,6059,"",15,6,10
80,1147,5960,"",2,11,15
81,1148,6103,"",2,0,0
82,1149,5979,"",2,6,10
83,1150,6014,"",2,1,5
84,1151,6016,"",13,11,15
85,1152,8074,"",13,0,0
86,1153,5994,"",5,6,10
87,1154,6003,"",13,0,0
88,1155,7099,"",13,0,0
89,1156,6004,"",2,0,0
90,1158,6048,"",14,6,10
91,1159,6084,"",3,6,10
92,1160,9904,"",3,0,0
93,1161,6099,"",3,11,15
94,1162,5976,"",14,11,15
95,1163,5967,"",14,11,15
96,1164,6033,"",9,6,10
97,1165,6031,"",2,6,10
98,1166,6037,"",9,6,10
99,1167,6013,"",3,6,10
100,1168,7082,"",3,0,0
101,1169,5996,"",2,6,10
102,1170,6007,"",3,6,10
103,1171,9673,"",3,0,0
104,1172,6043,"",10,6,10
105,1173,6083,"",8,6,10
106,1174,6036,"",3,11,15
107,1175,6075,"",4,6,10
108,1176,5988,"",3,0,0
109,1177,6029,"",4,6,10
110,1178,6025,"",9,11,15
111,1179,5997,"",3,6,10
112,1180,6002,"",14,0,0
113,1181,6006,"",3,0,0
114,1182,7006,"",3,0,0
115,1183,6008,"",3,6,10
116,1184,6011,"",4,6,10
117,1185,8073,"",4,0,0
118,1186,6038,"",2,11,15
119,1187,5992,"",11,6,10
120,1188,5974,"",11,6,10
121,1189,5983,"",5,6,10
122,1190,6005,"",13,11,15
123,1191,6046,"",5,6,10
124,1192,5951,"",15,6,10
125,1193,5971,"",1,0,0
126,1194,5972,"",4,6,10
127,1196,6077,"",3,11,15
128,1197,6072,"",3,11,15
129,1198,6010,"",2,6,10
130,1199,7049,"",2,0,0
131,1200,5989,"",9,0,0
132,1201,5947,"",16,11,15
133,1202,5966,"",10,6,10
134,1203,6026,"",14,11,15
135,1204,7103,"",16,0,0
136,1205,6032,"",3,6,10
137,1206,7317,"",3,0,0
138,1207,5980,"",3,11,15
139,1208,6054,"",2,11,15
140,1209,5952,"",15,6,10
141,1210,6082,"",1,6,10
142,1211,6017,"",5,11,15
143,1212,6041,"",3,11,15
144,1213,6051,"",3,11,15
145,1214,6015,"",2,6,10
146,1215,5953,"",7,11,15
147,1216,6056,"",3,11,15
148,1217,6055,"",14,11,15
149,1218,5962,"",3,11,15
150,1219,6058,"",11,11,15
151,1220,6098,"",5,11,15
152,1221,6042,"",2,11,15
153,1222,6094,"",10,11,15
154,1223,6050,"",4,11,15
155,1224,6073,"",14,11,15
156,1225,6076,"",3,11,15
157,1226,6071,"",4,11,15
158,1227,6012,"",15,11,15
159,1228,6070,"",6,11,15
160,1242,5978,"",15,0,0
161,1243,6000,"",11,0,0
162,1252,6057,"",12,0,0
163,1229,6060,"",16,0,0
164,1230,6061,"",16,0,0
165,1232,6062,"",16,0,0
166,1231,6063,"",16,0,0
167,1234,6065,"",16,0,0
168,1240,5946,"",2,0,0
