"rownum","BaseItemTypesKey","RequiredJob_HeistJobsKey","RequiredLevel"
0,7897,"",0
1,7898,"",0
2,7899,"",0
3,7900,"",0
4,7935,"",2
5,7936,"",3
6,7937,"",4
7,7938,"",5
8,7939,"",2
9,7940,"",3
10,7941,"",4
11,7942,"",5
12,7943,0,2
13,7944,0,3
14,7945,0,4
15,7946,0,5
16,7947,1,2
17,7948,1,3
18,7949,1,4
19,7950,1,5
20,7951,2,2
21,7952,2,3
22,7953,2,4
23,7954,2,5
24,7955,3,2
25,7956,3,3
26,7957,3,4
27,7958,3,5
28,7959,4,2
29,7960,4,3
30,7961,4,4
31,7962,4,5
32,7963,5,2
33,7964,5,3
34,7965,5,4
35,7966,5,5
36,7967,6,2
37,7968,6,3
38,7969,6,4
39,7970,6,5
40,7971,7,2
41,7972,7,3
42,7973,7,4
43,7974,7,5
44,7975,8,2
45,7976,8,3
46,7977,8,4
47,7978,8,5
48,7979,"",2
49,7980,"",3
50,7981,"",4
51,7982,"",5
52,7983,"",2
53,7984,"",3
54,7985,"",4
55,7986,"",5
56,7987,"",2
57,7988,"",3
58,7989,"",4
59,7990,"",5
