"rownum","Level","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32"
0,1,0,4,0,8,0,20,0,10,2,0,0
1,4,37,4,0,8,0,20,0,10,2,0,0
2,6,39,4,0,8,0,20,1,10,2,0,0
3,9,42,4,0,8,0,20,1,10,2,0,0
4,13,40,4,0,8,0,20,1,10,2,0,1
5,19,47,4,0,8,0,20,1,10,2,0,1
6,25,47,4,0,8,0,20,1,10,2,0,2
7,32,53,4,0,8,0,20,1,10,2,0,2
8,40,60,4,0,8,0,20,1,10,2,0,2
9,46,65,4,0,8,0,20,2,10,2,0,3
10,55,73,4,0,8,0,20,2,10,2,0,3
11,61,78,4,0,8,0,20,2,10,2,0,4
12,68,85,4,0,8,0,20,2,10,2,0,5
13,69,85,4,0,8,0,20,2,10,2,0,5
14,70,86,4,0,8,0,20,2,10,2,0,5
15,71,87,4,0,8,0,20,2,10,2,0,5
16,72,81,4,0,8,0,20,3,10,2,0,5
17,73,82,4,0,8,0,20,3,10,2,0,6
18,74,83,4,0,8,0,20,3,10,2,0,6
19,75,83,4,0,8,0,20,3,10,2,0,6
20,76,84,4,0,8,0,20,3,10,2,0,6
21,77,89,4,0,8,0,20,3,10,2,0,6
22,78,90,4,0,8,0,20,3,10,2,0,7
23,79,91,4,0,8,0,20,3,10,2,0,7
24,80,86,4,0,8,0,20,3,10,2,0,7
25,81,87,4,0,8,0,20,3,10,2,0,7
26,82,93,4,0,8,0,20,3,10,2,0,7
27,83,94,4,0,8,0,20,3,10,2,0,8
28,101,100,4,0,8,0,60,4,20,5,0,20
